056.000000000	∞	000.216058621	000.032118469	000.023233436	000.002157014	000.000544244	000.000091352	000.000091352
057.000000000	∞	000.213529159	000.031887895	000.023091699	000.002145111	000.000541951	000.000091025	000.000091025
058.000000000	∞	000.211060957	000.031659768	000.022950614	000.002133213	000.000539626	000.000090691	000.000090691
059.000000000	∞	000.208651806	000.031434120	000.022810265	000.002121330	000.000537276	000.000090350	000.000090350
060.000000000	∞	000.206299603	000.031210977	000.022670725	000.002109472	000.000534904	000.000090003	000.000090003
061.000000000	∞	000.204002339	000.030990355	000.022532058	000.002097648	000.000532514	000.000089650	000.000089650
062.000000000	∞	000.201758102	000.030772265	000.022394322	000.002085866	000.000530110	000.000089293	000.000089293
063.000000000	∞	000.199565064	000.030556713	000.022257565	000.002074131	000.000527693	000.000088933	000.000088933
064.000000000	∞	000.197421479	000.030343697	000.022121830	000.002062451	000.000525267	000.000088568	000.000088568
065.000000000	∞	000.195325683	000.030133214	000.021987154	000.002050831	000.000522834	000.000088201	000.000088201
066.000000000	∞	000.193276080	000.029925255	000.021853568	000.002039276	000.000520398	000.000087832	000.000087832
067.000000000	∞	000.191271148	000.029719809	000.021721100	000.002027789	000.000517959	000.000087460	000.000087460
068.000000000	∞	000.189309428	000.029516859	000.021589772	000.002016375	000.000515519	000.000087087	000.000087087
069.000000000	∞	000.187389527	000.029316389	000.021459603	000.002005037	000.000513081	000.000086712	000.000086712
070.000000000	∞	000.185510108	000.029118380	000.021330608	000.001993777	000.000510646	000.000086337	000.000086337
071.000000000	∞	000.183669891	000.028922809	000.021202800	000.001982599	000.000508215	000.000085961	000.000085961
072.000000000	∞	000.181867650	000.028729653	000.021076188	000.001971505	000.000505790	000.000085585	000.000085585
073.000000000	∞	000.180102208	000.028538887	000.020950780	000.001960496	000.000503372	000.000085209	000.000085209
074.000000000	∞	000.178372439	000.028350486	000.020826579	000.001949574	000.000500961	000.000084833	000.000084833
