  0.735000008717E-03  0.291266274452E+01 -0.727865338326E+00
  0.138915002346E+00 -0.357324868441E+00  0.317809283733E+00
  0.139650002122E+00 -0.352801412344E+00  0.316031694412E+00
  0.140385001898E+00 -0.348295211792E+00  0.314249843359E+00
  0.141120001674E+00 -0.343806385994E+00  0.312463939190E+00
  0.141855001450E+00 -0.339334964752E+00  0.310674250126E+00
  0.142590001225E+00 -0.334881037474E+00  0.308880776167E+00
  0.143325001001E+00 -0.330444753170E+00  0.307083755732E+00
  0.144060000777E+00 -0.326026052237E+00  0.305283397436E+00
  0.144795000553E+00 -0.321625113487E+00  0.303479790688E+00
  0.145530000329E+00 -0.317241996527E+00  0.301673173904E+00
  0.146265000105E+00 -0.312876731157E+00  0.299863636494E+00
  0.146999999881E+00 -0.308529376984E+00  0.298051387072E+00
  0.147734999657E+00 -0.304200083017E+00  0.296236544847E+00
  0.148469999433E+00 -0.299888819456E+00  0.294419258833E+00
  0.149204999208E+00 -0.295595735312E+00  0.292599737644E+00
  0.149939998984E+00 -0.291320800781E+00  0.290778130293E+00
  0.150674998760E+00 -0.287064135075E+00  0.288954526186E+00
  0.151409998536E+00 -0.282825857401E+00  0.287129163742E+00
  0.152144998312E+00 -0.278605908155E+00  0.285302102566E+00
  0.152879998088E+00 -0.274404346943E+00  0.283473551273E+00
  0.153614997864E+00 -0.270221292973E+00  0.281643629074E+00
  0.154349997640E+00 -0.266056805849E+00  0.279812455177E+00
  0.155084997416E+00 -0.261910855770E+00  0.277980238199E+00
  0.155819997191E+00 -0.257783532143E+00  0.276147127151E+00
  0.156554996967E+00 -0.253674864769E+00  0.274313211441E+00
  0.157289996743E+00 -0.249584913254E+00  0.272478640079E+00
  0.158024996519E+00 -0.245513767004E+00  0.270643591881E+00
  0.158759996295E+00 -0.241461381316E+00  0.268808186054E+00
  0.159494996071E+00 -0.237427845597E+00  0.266972541809E+00
  0.160229995847E+00 -0.233413159847E+00  0.265136837959E+00
  0.160964995623E+00 -0.229417368770E+00  0.263301104307E+00
  0.161699995399E+00 -0.225440546870E+00  0.261465579271E+00
  0.162434995174E+00 -0.221482709050E+00  0.259630352259E+00
  0.163169994950E+00 -0.217543840408E+00  0.257795542479E+00
  0.163904994726E+00 -0.213624030352E+00  0.255961328745E+00
  0.164639994502E+00 -0.209723234177E+00  0.254127770662E+00
  0.165375009179E+00 -0.205841556191E+00  0.252295106649E+00
  0.166110008955E+00 -0.201978966594E+00  0.250463306904E+00
  0.166845008731E+00 -0.198135524988E+00  0.248632594943E+00
  0.167580008507E+00 -0.194311186671E+00  0.246803030372E+00
  0.168315008283E+00 -0.190506070852E+00  0.244974821806E+00
  0.169050008059E+00 -0.186720117927E+00  0.243148043752E+00
  0.169785007834E+00 -0.182953372598E+00  0.241322770715E+00
  0.170520007610E+00 -0.179205849767E+00  0.239499136806E+00
  0.171255007386E+00 -0.175477534533E+00  0.237677305937E+00
  0.171990007162E+00 -0.171768456697E+00  0.235857322812E+00
  0.172725006938E+00 -0.168078660965E+00  0.234039381146E+00
  0.173460006714E+00 -0.164408087730E+00  0.232223480940E+00
  0.174195006490E+00 -0.160756811500E+00  0.230409815907E+00
  0.174930006266E+00 -0.157124787569E+00  0.228598445654E+00
  0.175665006042E+00 -0.153512045741E+00  0.226789504290E+00
  0.176400005817E+00 -0.149918600917E+00  0.224983081222E+00
  0.177135005593E+00 -0.146344423294E+00  0.223179295659E+00
  0.177870005369E+00 -0.142789542675E+00  0.221378222108E+00
  0.178605005145E+00 -0.139253959060E+00  0.219579979777E+00
  0.179340004921E+00 -0.135737627745E+00  0.217784628272E+00
  0.180075004697E+00 -0.132240593433E+00  0.215992316604E+00
  0.180810004473E+00 -0.128762811422E+00  0.214203089476E+00
  0.181545004249E+00 -0.125304326415E+00  0.212417095900E+00
  0.182280004025E+00 -0.121865086257E+00  0.210634380579E+00
  0.183015003800E+00 -0.118445128202E+00  0.208855018020E+00
  0.183750003576E+00 -0.115044414997E+00  0.207079187036E+00
  0.184485003352E+00 -0.111662909389E+00  0.205306842923E+00
  0.185220003128E+00 -0.108300641179E+00  0.203538149595E+00
  0.185955002904E+00 -0.104957588017E+00  0.201773211360E+00
  0.186690002680E+00 -0.101633742452E+00  0.200012072921E+00
  0.187425002456E+00 -0.983290970325E-01  0.198254793882E+00
  0.188160002232E+00 -0.950436070561E-01  0.196501493454E+00
  0.188895002007E+00 -0.917772874236E-01  0.194752246141E+00
  0.189630001783E+00 -0.885300859809E-01  0.193007081747E+00
  0.190365001559E+00 -0.853020325303E-01  0.191266149282E+00
  0.191100001335E+00 -0.820930674672E-01  0.189529478550E+00
  0.191835001111E+00 -0.789031907916E-01  0.187797099352E+00
  0.192570000887E+00 -0.757323652506E-01  0.186069175601E+00
  0.193305000663E+00 -0.725805908442E-01  0.184345677495E+00
  0.194040000439E+00 -0.694478452206E-01  0.182626768947E+00
  0.194775000215E+00 -0.663340836763E-01  0.180912435055E+00
  0.195509999990E+00 -0.632392987609E-01  0.179202780128E+00
  0.196244999766E+00 -0.601634643972E-01  0.177497848868E+00
  0.196979999542E+00 -0.571065470576E-01  0.175797745585E+00
  0.197714999318E+00 -0.540685392916E-01  0.174102455378E+00
  0.198449999094E+00 -0.510493926704E-01  0.172412097454E+00
  0.199184998870E+00 -0.480490811169E-01  0.170726701617E+00
  0.199919998646E+00 -0.450675971806E-01  0.169046312571E+00
  0.200654998422E+00 -0.421048924327E-01  0.167371019721E+00
  0.201389998198E+00 -0.391609482467E-01  0.165700867772E+00
  0.202124997973E+00 -0.362357236445E-01  0.164035886526E+00
  0.202859997749E+00 -0.333292037249E-01  0.162376120687E+00
  0.203594997525E+00 -0.304413475096E-01  0.160721644759E+00
  0.204329997301E+00 -0.275721177459E-01  0.159072488546E+00
  0.205064997077E+00 -0.247214920819E-01  0.157428726554E+00
  0.205799996853E+00 -0.218894351274E-01  0.155790373683E+00
  0.206534996629E+00 -0.190759133548E-01  0.154157444835E+00
  0.207269996405E+00 -0.162808876485E-01  0.152530059218E+00
  0.208004996181E+00 -0.135043347254E-01  0.150908201933E+00
  0.208739995956E+00 -0.107462117448E-01  0.149291947484E+00
  0.209474995732E+00 -0.800648704171E-02  0.147681251168E+00
  0.210209995508E+00 -0.528512056917E-02  0.146076261997E+00
  0.210944995284E+00 -0.258207973093E-02  0.144476950169E+00
  0.211679995060E+00  0.102669058833E-03  0.142883375287E+00
  0.212414994836E+00  0.276916590519E-02  0.141295522451E+00
  0.213150009513E+00  0.541744800285E-02  0.139713495970E+00
  0.213885009289E+00  0.804754998535E-02  0.138137266040E+00
  0.214620009065E+00  0.106595121324E-01  0.136566907167E+00
  0.215355008841E+00  0.132533730939E-01  0.135002389550E+00
  0.216090008616E+00  0.158291682601E-01  0.133443802595E+00
  0.216825008392E+00  0.183869376779E-01  0.131891146302E+00
  0.217560008168E+00  0.209267176688E-01  0.130344420671E+00
  0.218295007944E+00  0.234485492110E-01  0.128803700209E+00
  0.219030007720E+00  0.259524732828E-01  0.127268970013E+00
  0.219765007496E+00  0.284385308623E-01  0.125740244985E+00
  0.220500007272E+00  0.309067517519E-01  0.124217554927E+00
  0.221235007048E+00  0.333571843803E-01  0.122700959444E+00
  0.221970006824E+00  0.357898697257E-01  0.121190421283E+00
  0.222705006599E+00  0.382048413157E-01  0.119685977697E+00
  0.223440006375E+00  0.406021475792E-01  0.118187658489E+00
  0.224175006151E+00  0.429818183184E-01  0.116695441306E+00
  0.224910005927E+00  0.453438982368E-01  0.115209378302E+00
  0.225645005703E+00  0.476884320378E-01  0.113729454577E+00
  0.226380005479E+00  0.500154644251E-01  0.112255707383E+00
  0.227115005255E+00  0.523250177503E-01  0.110788136721E+00
  0.227850005031E+00  0.546171478927E-01  0.109326750040E+00
  0.228585004807E+00  0.568918995559E-01  0.107871547341E+00
  0.229320004582E+00  0.591493025422E-01  0.106422558427E+00
  0.230055004358E+00  0.613894052804E-01  0.104979768395E+00
  0.230790004134E+00  0.636122375727E-01  0.103543192148E+00
  0.231525003910E+00  0.658178478479E-01  0.102112859488E+00
  0.232260003686E+00  0.680062770844E-01  0.100688733160E+00
  0.232995003462E+00  0.701775923371E-01  0.992708429694E-01
  0.233730003238E+00  0.723317712545E-01  0.978591889143E-01
  0.234465003014E+00  0.744689181447E-01  0.964537560940E-01
  0.235200002789E+00  0.765890404582E-01  0.950545743108E-01
  0.235935002565E+00  0.786921903491E-01  0.936616137624E-01
  0.236670002341E+00  0.807784125209E-01  0.922748968005E-01
  0.237405002117E+00  0.828477293253E-01  0.908944085240E-01
  0.238140001893E+00  0.849002078176E-01  0.895201787353E-01
  0.238875001669E+00  0.869358479977E-01  0.881521552801E-01
  0.239610001445E+00  0.889547467232E-01  0.867903679609E-01
  0.240345001221E+00  0.909569039941E-01  0.854348093271E-01
  0.241080000997E+00  0.929423570633E-01  0.840854719281E-01
  0.241815000772E+00  0.949111655354E-01  0.827423408628E-01
  0.242550000548E+00  0.968633666635E-01  0.814054310322E-01
  0.243285000324E+00  0.987989977002E-01  0.800747126341E-01
  0.244020000100E+00  0.100718110800E+00  0.787501931190E-01
  0.244754999876E+00  0.102620713413E+00  0.774318650365E-01
  0.245489999652E+00  0.104506887496E+00  0.761197134852E-01
  0.246224999428E+00  0.106376633048E+00  0.748137384653E-01
  0.246959999204E+00  0.108230024576E+00  0.735139250755E-01
  0.247694998980E+00  0.110067084432E+00  0.722202584147E-01
  0.248429998755E+00  0.111887834966E+00  0.709327384830E-01
  0.249164998531E+00  0.113692358136E+00  0.696513429284E-01
  0.249899998307E+00  0.115480639040E+00  0.683760643005E-01
  0.250634998083E+00  0.117252759635E+00  0.671068951488E-01
  0.251370012760E+00  0.119008734822E+00  0.658438280225E-01
  0.252105027437E+00  0.120748631656E+00  0.645868331194E-01
  0.252840012312E+00  0.122472435236E+00  0.633359253407E-01
  0.253575026989E+00  0.124180234969E+00  0.620910525322E-01
  0.254310011864E+00  0.125872045755E+00  0.608522333205E-01
  0.255045026541E+00  0.127547934651E+00  0.596194341779E-01
  0.255780011415E+00  0.129207879305E+00  0.583926476538E-01
  0.256515026093E+00  0.130851969123E+00  0.571718588471E-01
  0.257250010967E+00  0.132480219007E+00  0.559570565820E-01
  0.257985025644E+00  0.134092688560E+00  0.547482073307E-01
  0.258720010519E+00  0.135689377785E+00  0.535453148186E-01
  0.259455025196E+00  0.137270331383E+00  0.523483566940E-01
  0.260190010071E+00  0.138835623860E+00  0.511573068798E-01
  0.260925024748E+00  0.140385240316E+00  0.499721653759E-01
  0.261660009623E+00  0.141919270158E+00  0.487928949296E-01
  0.262395024300E+00  0.143437698483E+00  0.476194918156E-01
  0.263130009174E+00  0.144940584898E+00  0.464519374073E-01
  0.263865023851E+00  0.146427944303E+00  0.452902056277E-01
  0.264600008726E+00  0.147899851203E+00  0.441342853010E-01
  0.265335023403E+00  0.149356335402E+00  0.429841540754E-01
  0.266070008278E+00  0.150797381997E+00  0.418397895992E-01
  0.266805022955E+00  0.152223080397E+00  0.407011881471E-01
  0.267540007830E+00  0.153633415699E+00  0.395683161914E-01
  0.268275022507E+00  0.155028477311E+00  0.384411551058E-01
  0.269010007381E+00  0.156408250332E+00  0.373196899891E-01
  0.269745022058E+00  0.157772794366E+00  0.362039059401E-01
  0.270480006933E+00  0.159122154117E+00  0.350937694311E-01
  0.271215021610E+00  0.160456329584E+00  0.339892730117E-01
  0.271950006485E+00  0.161775365472E+00  0.328903943300E-01
  0.272685021162E+00  0.163079321384E+00  0.317971073091E-01
  0.273420006037E+00  0.164368197322E+00  0.307094026357E-01
  0.274155020714E+00  0.165642023087E+00  0.296272542328E-01
  0.274890005589E+00  0.166900843382E+00  0.285506397486E-01
  0.275625020266E+00  0.168144702911E+00  0.274795405567E-01
  0.276360005140E+00  0.169373646379E+00  0.264139398932E-01
  0.277095019817E+00  0.170587658882E+00  0.253538154066E-01
  0.277830004692E+00  0.171786800027E+00  0.242991428822E-01
  0.278565019369E+00  0.172971084714E+00  0.232499092817E-01
  0.279300004244E+00  0.174140587449E+00  0.222060922533E-01
  0.280035018921E+00  0.175295248628E+00  0.211676731706E-01
  0.280770003796E+00  0.176435202360E+00  0.201346240938E-01
  0.281505018473E+00  0.177560418844E+00  0.191069338471E-01
  0.282240003347E+00  0.178670957685E+00  0.180845800787E-01
  0.282975018024E+00  0.179766803980E+00  0.170675404370E-01
  0.283710032701E+00  0.180848076940E+00  0.160557981580E-01
  0.284445017576E+00  0.181914716959E+00  0.150493318215E-01
  0.285180032253E+00  0.182966783643E+00  0.140481246635E-01
  0.285915017128E+00  0.184004306793E+00  0.130521552637E-01
  0.286650031805E+00  0.185027331114E+00  0.120614040643E-01
  0.287385016680E+00  0.186035871506E+00  0.110758515075E-01
  0.288120031357E+00  0.187029942870E+00  0.100954808295E-01
  0.288855016232E+00  0.188009619713E+00  0.912027154118E-02
  0.289590030909E+00  0.188974887133E+00  0.815020594746E-02
  0.290325015783E+00  0.189925789833E+00  0.718526542187E-02
  0.291060030460E+00  0.190862342715E+00  0.622542994097E-02
  0.291795015335E+00  0.191784620285E+00  0.527068506926E-02
  0.292530030012E+00  0.192692622542E+00  0.432100845501E-02
  0.293265014887E+00  0.193586349487E+00  0.337638589554E-02
  0.294000029564E+00  0.194465860724E+00  0.243679829873E-02
  0.294735014439E+00  0.195331200957E+00  0.150222808588E-02
  0.295470029116E+00  0.196182340384E+00  0.572659191675E-03
  0.296205013990E+00  0.197019368410E+00 -0.351924652932E-03
  0.296940028667E+00  0.197842285037E+00 -0.127154251095E-02
  0.297675013542E+00  0.198651120067E+00 -0.218620942906E-02
  0.298410028219E+00  0.199445918202E+00 -0.309593975544E-02
  0.299145013094E+00  0.200226694345E+00 -0.400074990466E-02
  0.299880027771E+00  0.200993448496E+00 -0.490065570921E-02
  0.300615012646E+00  0.201746240258E+00 -0.579567579553E-02
  0.301350027323E+00  0.202485129237E+00 -0.668581901118E-02
  0.302085012197E+00  0.203210055828E+00 -0.757110398263E-02
  0.302820026875E+00  0.203921139240E+00 -0.845154281706E-02
  0.303555011749E+00  0.204618334770E+00 -0.932715274394E-02
  0.304290026426E+00  0.205301716924E+00 -0.101979440078E-01
  0.305025011301E+00  0.205971300602E+00 -0.110639324412E-01
  0.305760025978E+00  0.206627115607E+00 -0.119251320139E-01
  0.306495010853E+00  0.207269176841E+00 -0.127815492451E-01
  0.307230025530E+00  0.207897529006E+00 -0.136332018301E-01
  0.307965010405E+00  0.208512201905E+00 -0.144801000133E-01
  0.308700025082E+00  0.209113180637E+00 -0.153222596273E-01
  0.309435009956E+00  0.209700569510E+00 -0.161596890539E-01
  0.310170024633E+00  0.210274308920E+00 -0.169924013317E-01
  0.310905009508E+00  0.210834547877E+00 -0.178203992546E-01
  0.311640024185E+00  0.211381211877E+00 -0.186436995864E-01
  0.312375009060E+00  0.211914330721E+00 -0.194623097777E-01
  0.313110023737E+00  0.212433949113E+00 -0.202762465924E-01
  0.313845008612E+00  0.212940156460E+00 -0.210855137557E-01
  0.314580023289E+00  0.213432878256E+00 -0.218901187181E-01
  0.315315008163E+00  0.213912233710E+00 -0.226900689304E-01
  0.316050022840E+00  0.214378207922E+00 -0.234853811562E-01
  0.316785007715E+00  0.214830830693E+00 -0.242760516703E-01
  0.317520022392E+00  0.215270131826E+00 -0.250620953739E-01
  0.318255007267E+00  0.215696126223E+00 -0.258435197175E-01
  0.318990021944E+00  0.216108873487E+00 -0.266203265637E-01
  0.319725006819E+00  0.216508403420E+00 -0.273925252259E-01
  0.320460021496E+00  0.216894745827E+00 -0.281601212919E-01
  0.321195006371E+00  0.217267900705E+00 -0.289231166244E-01
  0.321930021048E+00  0.217627942562E+00 -0.296815279871E-01
  0.322665005922E+00  0.217974871397E+00 -0.304353442043E-01
