       N2_  0.127663260707E+05  0.700335000000E+01
   177   -->   176    0.6898801809E+03
   178   -->   177    0.6932018196E+03
   179   -->   178    0.6976784632E+03
   180   -->   179    0.7008554536E+03
   181   -->   180    0.7054645782E+03
   182   -->   181    0.7084668164E+03
   183   -->   182    0.7132425258E+03
   184   -->   183    0.7160330826E+03
   185   -->   184    0.7210168648E+03
   186   -->   185    0.7235505535E+03
   187   -->   186    0.7287928898E+03
   188   -->   187    0.7310145256E+03
   189   -->   188    0.7365767974E+03
   190   -->   189    0.7384191161E+03
   191   -->   190    0.7443758315E+03
   192   -->   191    0.7457571550E+03
   193   -->   192    0.7521986302E+03
   194   -->   193    0.7530198432E+03
   195   -->   194    0.7600553674E+03
   196   -->   195    0.7601966092E+03
   197   -->   196    0.7679580554E+03
   198   -->   197    0.7672746407E+03
   199   -->   198    0.7759209688E+03
   200   -->   199    0.7742386385E+03
   201   -->   200    0.7839609582E+03
   202   -->   201    0.7810704618E+03
   203   -->   202    0.7920979675E+03
   204   -->   203    0.7877485511E+03
   205   -->   204    0.8003554145E+03
   206   -->   205    0.7942473806E+03
   207   -->   206    0.8087607299E+03
   208   -->   207    0.8005369146E+03
   209   -->   208    0.8173460054E+03
   210   -->   209    0.8065820865E+03
   211   -->   210    0.8261487847E+03
   212   -->   211    0.8123421187E+03
   213   -->   212    0.8352125526E+03
   214   -->   213    0.8177696675E+03
   215   -->   214    0.8445875188E+03
   216   -->   215    0.8228100885E+03
   217   -->   216    0.8543313150E+03
   218   -->   217    0.8274009492E+03
   219   -->   218    0.8645098609E+03
   220   -->   219    0.8314710994E+03
   221   -->   220    0.8751979021E+03
   222   -->   221    0.8349403349E+03
   223   -->   222    0.8864795643E+03
   224   -->   223    0.8377191948E+03
   225   -->   224    0.8984489776E+03
   226   -->   225    0.8397087198E+03
   227   -->   226    0.9112100325E+03
   228   -->   227    0.8408009778E+03
   229   -->   228    0.9248760213E+03
   230   -->   229    0.8408799387E+03
   231   -->   230    0.9395688461E+03
   232   -->   231    0.8398230965E+03
   233   -->   232    0.9554169923E+03
   234   -->   233    0.8375040446E+03
   235   -->   234    0.9725531790E+03
   236   -->   235    0.8337959367E+03
   237   -->   236    0.9911104289E+03
   238   -->   237    0.8285761979E+03
   239   -->   238    0.1011217151E+04
   240   -->   239    0.8217328182E+03
   241   -->   240    0.1032991166E+04
   242   -->   241    0.8131713876E+03
   243   -->   242    0.1056532056E+04
   244   -->   243    0.8028233213E+03
   245   -->   244    0.1081912948E+04
   246   -->   245    0.7906545028E+03
   247   -->   246    0.1109171735E+04
   248   -->   247    0.7766737147E+03
   249   -->   248    0.1138302855E+04
   250   -->   249    0.7609394272E+03
   251   -->   250    0.1169250161E+04
   252   -->   251    0.7435638300E+03
   253   -->   252    0.1201902778E+04
   254   -->   253    0.7247134122E+03
   255   -->   254    0.1236094644E+04
   256   -->   255    0.7046048300E+03
   257   -->   256    0.1271608646E+04
   258   -->   257    0.6834958396E+03
   259   -->   258    0.1308185463E+04
   260   -->   259    0.6616723690E+03
   261   -->   260    0.1345536613E+04
   262   -->   261    0.6394331824E+03
