  0.735000008717E-03 -0.151640534401E+01  0.397928774357E+00
  0.793799981475E-01  0.859580218792E+00 -0.480211228132E+00
  0.801149979234E-01  0.853441059589E+00 -0.479345440865E+00
  0.808499976993E-01  0.847308337688E+00 -0.478455305099E+00
  0.815849974751E-01  0.841182410717E+00 -0.477541089058E+00
  0.823199972510E-01  0.835062980652E+00 -0.476603209972E+00
  0.830550044775E-01  0.828950762749E+00 -0.475641757250E+00
  0.837900042534E-01  0.822845757008E+00 -0.474657386541E+00
  0.845250040293E-01  0.816748142242E+00 -0.473650038242E+00
  0.852600038052E-01  0.810658335686E+00 -0.472620338202E+00
  0.859950035810E-01  0.804576098919E+00 -0.471568405628E+00
  0.867300033569E-01  0.798501849174E+00 -0.470494508743E+00
  0.874650031328E-01  0.792435765266E+00 -0.469399154186E+00
  0.882000029087E-01  0.786378204823E+00 -0.468282401562E+00
  0.889350026846E-01  0.780329167843E+00 -0.467144757509E+00
  0.896700024605E-01  0.774288773537E+00 -0.465986371040E+00
  0.904050022364E-01  0.768257439137E+00 -0.464807659388E+00
  0.911400020123E-01  0.762235283852E+00 -0.463608682156E+00
  0.918750017881E-01  0.756222426891E+00 -0.462389945984E+00
  0.926100015640E-01  0.750219106674E+00 -0.461151659489E+00
  0.933450013399E-01  0.744225502014E+00 -0.459894090891E+00
  0.940800011158E-01  0.738241732121E+00 -0.458617448807E+00
  0.948150008917E-01  0.732267975807E+00 -0.457322120667E+00
  0.955500006676E-01  0.726304590702E+00 -0.456008374691E+00
  0.962850004435E-01  0.720351696014E+00 -0.454676359892E+00
  0.970200002193E-01  0.714409470558E+00 -0.453326553106E+00
  0.977549999952E-01  0.708477914333E+00 -0.451958954334E+00
  0.984899997711E-01  0.702557504177E+00 -0.450574040413E+00
  0.992249995470E-01  0.696648240089E+00 -0.449171960354E+00
  0.999599993229E-01  0.690750360489E+00 -0.447753071785E+00
  0.100694999099E+00  0.684863984585E+00 -0.446317523718E+00
  0.101429998875E+00  0.678989350796E+00 -0.444865614176E+00
  0.102164998651E+00  0.673126757145E+00 -0.443397611380E+00
  0.102899998426E+00  0.667276024818E+00 -0.441913843155E+00
  0.103634998202E+00  0.661437869072E+00 -0.440414398909E+00
  0.104369997978E+00  0.655611932278E+00 -0.438899576664E+00
  0.105104997754E+00  0.649798631668E+00 -0.437369763851E+00
  0.105839997530E+00  0.643998324871E+00 -0.435825020075E+00
  0.106574997306E+00  0.638210713863E+00 -0.434265702963E+00
  0.107310004532E+00  0.632436394691E+00 -0.432692021132E+00
  0.108045004308E+00  0.626675367355E+00 -0.431104242802E+00
  0.108780004084E+00  0.620927810669E+00 -0.429502546787E+00
  0.109515003860E+00  0.615194022655E+00 -0.427887260914E+00
  0.110250003636E+00  0.609473943710E+00 -0.426258534193E+00
  0.110985003412E+00  0.603767871857E+00 -0.424616664648E+00
  0.111720003188E+00  0.598075866699E+00 -0.422961801291E+00
  0.112455002964E+00  0.592398285866E+00 -0.421294301748E+00
  0.113190002739E+00  0.586735129356E+00 -0.419614374638E+00
  0.113925002515E+00  0.581086635590E+00 -0.417922198772E+00
  0.114660002291E+00  0.575452923775E+00 -0.416217952967E+00
  0.115395002067E+00  0.569834113121E+00 -0.414501994848E+00
  0.116130001843E+00  0.564230442047E+00 -0.412774503231E+00
  0.116865001619E+00  0.558642029762E+00 -0.411035597324E+00
  0.117600001395E+00  0.553069055080E+00 -0.409285694361E+00
  0.118335001171E+00  0.547511577606E+00 -0.407524913549E+00
  0.119070000947E+00  0.541969835758E+00 -0.405753463507E+00
  0.119805000722E+00  0.536444008350E+00 -0.403971612453E+00
  0.120540000498E+00  0.530934214592E+00 -0.402179479599E+00
  0.121275000274E+00  0.525440454483E+00 -0.400377392769E+00
  0.122010000050E+00  0.519963085651E+00 -0.398565560579E+00
  0.122744999826E+00  0.514502048492E+00 -0.396744161844E+00
  0.123479999602E+00  0.509057700634E+00 -0.394913464785E+00
  0.124214999378E+00  0.503629982471E+00 -0.393073618412E+00
  0.124949999154E+00  0.498219072819E+00 -0.391224861145E+00
  0.125685006380E+00  0.492825269699E+00 -0.389367401600E+00
  0.126420006156E+00  0.487448513508E+00 -0.387501448393E+00
  0.127155005932E+00  0.482089072466E+00 -0.385627239943E+00
  0.127890005708E+00  0.476746886969E+00 -0.383744955063E+00
  0.128625005484E+00  0.471422314644E+00 -0.381854742765E+00
  0.129360005260E+00  0.466115266085E+00 -0.379956990480E+00
  0.130095005035E+00  0.460826009512E+00 -0.378051757812E+00
  0.130830004811E+00  0.455554634333E+00 -0.376139283180E+00
  0.131565004587E+00  0.450301229954E+00 -0.374219775200E+00
  0.132300004363E+00  0.445065975189E+00 -0.372293412685E+00
  0.133035004139E+00  0.439848899841E+00 -0.370360374451E+00
  0.133770003915E+00  0.434650152922E+00 -0.368420988321E+00
  0.134505003691E+00  0.429469853640E+00 -0.366475284100E+00
  0.135240003467E+00  0.424308061600E+00 -0.364523589611E+00
  0.135975003242E+00  0.419164985418E+00 -0.362565994263E+00
  0.136710003018E+00  0.414040684700E+00 -0.360602885485E+00
  0.137445002794E+00  0.408935219049E+00 -0.358634144068E+00
  0.138180002570E+00  0.403848797083E+00 -0.356660276651E+00
  0.138915002346E+00  0.398781299591E+00 -0.354681283236E+00
  0.139650002122E+00  0.393733114004E+00 -0.352697372437E+00
  0.140385001898E+00  0.388704091311E+00 -0.350708812475E+00
  0.141120001674E+00  0.383694440126E+00 -0.348715722561E+00
  0.141855001450E+00  0.378704309464E+00 -0.346718341112E+00
  0.142590001225E+00  0.373733639717E+00 -0.344716817141E+00
  0.143325001001E+00  0.368782609701E+00 -0.342711359262E+00
  0.144060000777E+00  0.363851279020E+00 -0.340702086687E+00
  0.144795000553E+00  0.358939737082E+00 -0.338689237833E+00
  0.145530000329E+00  0.354048103094E+00 -0.336672961712E+00
  0.146265000105E+00  0.349176347256E+00 -0.334653526545E+00
  0.146999999881E+00  0.344324618578E+00 -0.332631051540E+00
  0.147734999657E+00  0.339493095875E+00 -0.330605596304E+00
  0.148469999433E+00  0.334681630135E+00 -0.328577518463E+00
  0.149204999208E+00  0.329890429974E+00 -0.326546877623E+00
  0.149939998984E+00  0.325119584799E+00 -0.324513912201E+00
  0.150674998760E+00  0.320369094610E+00 -0.322478771210E+00
  0.151409998536E+00  0.315639019012E+00 -0.320441573858E+00
  0.152144998312E+00  0.310929507017E+00 -0.318402528763E+00
  0.152879998088E+00  0.306240499020E+00 -0.316361844540E+00
  0.153614997864E+00  0.301572114229E+00 -0.314319580793E+00
  0.154349997640E+00  0.296924412251E+00 -0.312276005745E+00
  0.155084997416E+00  0.292297512293E+00 -0.310231268406E+00
  0.155819997191E+00  0.287691295147E+00 -0.308185428381E+00
  0.156554996967E+00  0.283105999231E+00 -0.306138753891E+00
  0.157289996743E+00  0.278541535139E+00 -0.304091364145E+00
  0.158024996519E+00  0.273998051882E+00 -0.302043437958E+00
  0.158759996295E+00  0.269475460052E+00 -0.299995034933E+00
  0.159494996071E+00  0.264973968267E+00 -0.297946453094E+00
  0.160229995847E+00  0.260493546724E+00 -0.295897692442E+00
  0.160964995623E+00  0.256034135818E+00 -0.293849050999E+00
  0.161699995399E+00  0.251595944166E+00 -0.291800558567E+00
  0.162434995174E+00  0.247178912163E+00 -0.289752393961E+00
  0.163169994950E+00  0.242783054709E+00 -0.287704735994E+00
  0.163904994726E+00  0.238408476114E+00 -0.285657703876E+00
  0.164639994502E+00  0.234055116773E+00 -0.283611476421E+00
  0.165375009179E+00  0.229723080993E+00 -0.281566113234E+00
  0.166110008955E+00  0.225412383676E+00 -0.279521822929E+00
  0.166845008731E+00  0.221123024821E+00 -0.277478694916E+00
  0.167580008507E+00  0.216855004430E+00 -0.275436908007E+00
  0.168315008283E+00  0.212608397007E+00 -0.273396581411E+00
  0.169050008059E+00  0.208383202553E+00 -0.271357834339E+00
  0.169785007834E+00  0.204179435968E+00 -0.269320785999E+00
  0.170520007610E+00  0.199997127056E+00 -0.267285615206E+00
  0.171255007386E+00  0.195836275816E+00 -0.265252411366E+00
  0.171990007162E+00  0.191696867347E+00 -0.263221234083E+00
  0.172725006938E+00  0.187578961253E+00 -0.261192381382E+00
  0.173460006714E+00  0.183482572436E+00 -0.259165823460E+00
  0.174195006490E+00  0.179407641292E+00 -0.257141739130E+00
  0.174930006266E+00  0.175354257226E+00 -0.255120217800E+00
  0.175665006042E+00  0.171322360635E+00 -0.253101408482E+00
  0.176400005817E+00  0.167312026024E+00 -0.251085400581E+00
  0.177135005593E+00  0.163323163986E+00 -0.249072313309E+00
  0.177870005369E+00  0.159355834126E+00 -0.247062325478E+00
  0.178605005145E+00  0.155410051346E+00 -0.245055437088E+00
  0.179340004921E+00  0.151485756040E+00 -0.243051782250E+00
  0.180075004697E+00  0.147583007812E+00 -0.241051524878E+00
  0.180810004473E+00  0.143701761961E+00 -0.239054709673E+00
  0.181545004249E+00  0.139842003584E+00 -0.237061515450E+00
  0.182280004025E+00  0.136003747582E+00 -0.235071972013E+00
  0.183015003800E+00  0.132187023759E+00 -0.233086198568E+00
  0.183750003576E+00  0.128391742706E+00 -0.231104284525E+00
  0.184485003352E+00  0.124617934227E+00 -0.229126349092E+00
  0.185220003128E+00  0.120865575969E+00 -0.227152481675E+00
  0.185955002904E+00  0.117134667933E+00 -0.225182741880E+00
  0.186690002680E+00  0.113425195217E+00 -0.223217278719E+00
  0.187425002456E+00  0.109737142920E+00 -0.221256151795E+00
  0.188160002232E+00  0.106070473790E+00 -0.219299420714E+00
  0.188895002007E+00  0.102425187826E+00 -0.217347219586E+00
  0.189630001783E+00  0.988012701273E-01 -0.215399593115E+00
  0.190365001559E+00  0.951986834407E-01 -0.213456660509E+00
  0.191100001335E+00  0.916174203157E-01 -0.211518496275E+00
  0.191835001111E+00  0.880574584007E-01 -0.209585160017E+00
  0.192570000887E+00  0.845187678933E-01 -0.207656741142E+00
  0.193305000663E+00  0.810013264418E-01 -0.205733284354E+00
  0.194040000439E+00  0.775051116943E-01 -0.203814923763E+00
  0.194775000215E+00  0.740301012993E-01 -0.201901718974E+00
  0.195509999990E+00  0.705762654543E-01 -0.199993729591E+00
  0.196244999766E+00  0.671435743570E-01 -0.198090985417E+00
  0.196979999542E+00  0.637320056558E-01 -0.196193635464E+00
  0.197714999318E+00  0.603415183723E-01 -0.194301649928E+00
  0.198449999094E+00  0.569720938802E-01 -0.192415192723E+00
  0.199184998870E+00  0.536236912012E-01 -0.190534234047E+00
  0.199919998646E+00  0.502963028848E-01 -0.188658893108E+00
  0.200654998422E+00  0.469898618758E-01 -0.186789244413E+00
  0.201389998198E+00  0.437043607235E-01 -0.184925317764E+00
  0.202124997973E+00  0.404397621751E-01 -0.183067172766E+00
  0.202859997749E+00  0.371960252523E-01 -0.181214854121E+00
  0.203594997525E+00  0.339731164277E-01 -0.179368421435E+00
  0.204329997301E+00  0.307710114866E-01 -0.177527934313E+00
  0.205064997077E+00  0.275896564126E-01 -0.175693482161E+00
  0.205799996853E+00  0.244290269911E-01 -0.173865020275E+00
  0.206534996629E+00  0.212890822440E-01 -0.172042667866E+00
  0.207269996405E+00  0.181697811931E-01 -0.170226454735E+00
  0.208004996181E+00  0.150710931048E-01 -0.168416425586E+00
  0.208739995956E+00  0.119929751381E-01 -0.166612654924E+00
  0.209474995732E+00  0.893539097160E-02 -0.164815098047E+00
  0.210209995508E+00  0.589829497039E-02 -0.163023889065E+00
  0.210944995284E+00  0.288165081292E-02 -0.161239013076E+00
  0.211679995060E+00 -0.114580951049E-03 -0.159460559487E+00
  0.212414994836E+00 -0.309044145979E-02 -0.157688513398E+00
  0.213150009513E+00 -0.604597479105E-02 -0.155922919512E+00
  0.213885009289E+00 -0.898121856153E-02 -0.154163807631E+00
  0.214620009065E+00 -0.118962181732E-01 -0.152411267161E+00
  0.215355008841E+00 -0.147910164669E-01 -0.150665238500E+00
  0.216090008616E+00 -0.176656525582E-01 -0.148925796151E+00
  0.216825008392E+00 -0.205201711506E-01 -0.147193029523E+00
  0.217560008168E+00 -0.233546178788E-01 -0.145466849208E+00
  0.218295007944E+00 -0.261690299958E-01 -0.143747374415E+00
  0.219030007720E+00 -0.289634577930E-01 -0.142034590244E+00
  0.219765007496E+00 -0.317379385233E-01 -0.140328511596E+00
  0.220500007272E+00 -0.344925224781E-01 -0.138629168272E+00
  0.221235007048E+00 -0.372272543609E-01 -0.136936590075E+00
  0.221970006824E+00 -0.399421751499E-01 -0.135250821710E+00
  0.222705006599E+00 -0.426373332739E-01 -0.133571818471E+00
  0.223440006375E+00 -0.453127622604E-01 -0.131899654865E+00
  0.224175006151E+00 -0.479685254395E-01 -0.130234330893E+00
  0.224910005927E+00 -0.506046563387E-01 -0.128575861454E+00
  0.225645005703E+00 -0.532211996615E-01 -0.126924216747E+00
  0.226380005479E+00 -0.558182075620E-01 -0.125279501081E+00
  0.227115005255E+00 -0.583957135677E-01 -0.123641677201E+00
  0.227850005031E+00 -0.609537772834E-01 -0.122010715306E+00
  0.228585004807E+00 -0.634924396873E-01 -0.120386704803E+00
  0.229320004582E+00 -0.660117566586E-01 -0.118769593537E+00
  0.230055004358E+00 -0.685117468238E-01 -0.117159411311E+00
  0.230790004134E+00 -0.709924697876E-01 -0.115556180477E+00
  0.231525003910E+00 -0.734539777040E-01 -0.113959886134E+00
  0.232260003686E+00 -0.758963152766E-01 -0.112370543182E+00
  0.232995003462E+00 -0.783195197582E-01 -0.110788151622E+00
  0.233730003238E+00 -0.807236433029E-01 -0.109212696552E+00
  0.234465003014E+00 -0.831087306142E-01 -0.107644222677E+00
  0.235200002789E+00 -0.854748263955E-01 -0.106082707644E+00
  0.235935002565E+00 -0.878219828010E-01 -0.104528151453E+00
  0.236670002341E+00 -0.901502445340E-01 -0.102980546653E+00
  0.237405002117E+00 -0.924596413970E-01 -0.101439885795E+00
  0.238140001893E+00 -0.947502404451E-01 -0.999062135816E-01
  0.238875001669E+00 -0.970220714808E-01 -0.983794853091E-01
  0.239610001445E+00 -0.992751866579E-01 -0.968597084284E-01
  0.240345001221E+00 -0.101509630680E+00 -0.953468680382E-01
  0.241080000997E+00 -0.103725433350E+00 -0.938409864902E-01
  0.241815000772E+00 -0.105922669172E+00 -0.923420190811E-01
  0.242550000548E+00 -0.108101360500E+00 -0.908500030637E-01
  0.243285000324E+00 -0.110261566937E+00 -0.893649011850E-01
  0.244020000100E+00 -0.112403333187E+00 -0.878867208958E-01
  0.244754999876E+00 -0.114526674151E+00 -0.864154323936E-01
  0.245489999652E+00 -0.116631671786E+00 -0.849510580301E-01
  0.246224999428E+00 -0.118718348444E+00 -0.834935531020E-01
  0.246959999204E+00 -0.120786778629E+00 -0.820429250598E-01
  0.247694998980E+00 -0.122836947441E+00 -0.805991739035E-01
  0.248429998755E+00 -0.124868966639E+00 -0.791622772813E-01
  0.249164998531E+00 -0.126882836223E+00 -0.777322277427E-01
  0.249899998307E+00 -0.128878593445E+00 -0.763089880347E-01
  0.250634998083E+00 -0.130856290460E+00 -0.748925805092E-01
  0.251370012760E+00 -0.132816016674E+00 -0.734829604626E-01
  0.252105027437E+00 -0.134757772088E+00 -0.720801353455E-01
  0.252840012312E+00 -0.136681571603E+00 -0.706840902567E-01
  0.253575026989E+00 -0.138587504625E+00 -0.692947953939E-01
  0.254310011864E+00 -0.140475600958E+00 -0.679122507572E-01
  0.255045026541E+00 -0.142345905304E+00 -0.665364190936E-01
  0.255780011415E+00 -0.144198462367E+00 -0.651673004031E-01
  0.256515026093E+00 -0.146033287048E+00 -0.638048872352E-01
  0.257250010967E+00 -0.147850438952E+00 -0.624491348863E-01
  0.257985025644E+00 -0.149649977684E+00 -0.611000359058E-01
  0.258720010519E+00 -0.151431918144E+00 -0.597575902939E-01
  0.259455025196E+00 -0.153196305037E+00 -0.584217570722E-01
  0.260190010071E+00 -0.154943197966E+00 -0.570925287902E-01
  0.260925024748E+00 -0.156672611833E+00 -0.557698830962E-01
  0.261660009623E+00 -0.158384606242E+00 -0.544538050890E-01
  0.262395024300E+00 -0.160079196095E+00 -0.531442612410E-01
  0.263130009174E+00 -0.161756455898E+00 -0.518412478268E-01
  0.263865023851E+00 -0.163416400552E+00 -0.505447313190E-01
  0.264600008726E+00 -0.165059044957E+00 -0.492547005415E-01
  0.265335023403E+00 -0.166684493423E+00 -0.479711331427E-01
  0.266070008278E+00 -0.168292731047E+00 -0.466940067708E-01
  0.266805022955E+00 -0.169883847237E+00 -0.454232990742E-01
  0.267540007830E+00 -0.171457841992E+00 -0.441589951515E-01
  0.268275022507E+00 -0.173014745116E+00 -0.429010652006E-01
  0.269010007381E+00 -0.174554571509E+00 -0.416494868696E-01
  0.269745022058E+00 -0.176077455282E+00 -0.404042489827E-01
  0.270480006933E+00 -0.177583351731E+00 -0.391653180122E-01
  0.271215021610E+00 -0.179072320461E+00 -0.379326753318E-01
  0.271950006485E+00 -0.180544406176E+00 -0.367063060403E-01
  0.272685021162E+00 -0.181999623775E+00 -0.354861803353E-01
  0.273420006037E+00 -0.183438017964E+00 -0.342722758651E-01
  0.274155020714E+00 -0.184859648347E+00 -0.330645777285E-01
  0.274890005589E+00 -0.186264529824E+00 -0.318630561233E-01
  0.275625020266E+00 -0.187652707100E+00 -0.306676905602E-01
  0.276360005140E+00 -0.189024224877E+00 -0.294784624130E-01
  0.277095019817E+00 -0.190379068255E+00 -0.282953418791E-01
  0.277830004692E+00 -0.191717341542E+00 -0.271183066070E-01
  0.278565019369E+00 -0.193039044738E+00 -0.259473416954E-01
  0.279300004244E+00 -0.194344177842E+00 -0.247824210674E-01
  0.280035018921E+00 -0.195632860065E+00 -0.236235242337E-01
  0.280770003796E+00 -0.196905046701E+00 -0.224706232548E-01
  0.281505018473E+00 -0.198160797358E+00 -0.213237013668E-01
  0.282240003347E+00 -0.199400201440E+00 -0.201827343553E-01
  0.282975018024E+00 -0.200623199344E+00 -0.190477017313E-01
  0.283710032701E+00 -0.201829865575E+00 -0.179185755551E-01
  0.284445017576E+00 -0.203020274639E+00 -0.167953427881E-01
  0.285180032253E+00 -0.204194381833E+00 -0.156779754907E-01
  0.285915017128E+00 -0.205352291465E+00 -0.145664541051E-01
  0.286650031805E+00 -0.206494033337E+00 -0.134607553482E-01
  0.287385016680E+00 -0.207619562745E+00 -0.123608615249E-01
  0.288120031357E+00 -0.208728983998E+00 -0.112667484209E-01
  0.288855016232E+00 -0.209822297096E+00 -0.101783974096E-01
  0.289590030909E+00 -0.210899576545E+00 -0.909578613937E-02
  0.290325015783E+00 -0.211960777640E+00 -0.801889225841E-02
  0.291060030460E+00 -0.213006019592E+00 -0.694769807160E-02
  0.291795015335E+00 -0.214035302401E+00 -0.588218308985E-02
  0.292530030012E+00 -0.215048640966E+00 -0.482232868671E-02
  0.293265014887E+00 -0.216046035290E+00 -0.376811111346E-02
  0.294000029564E+00 -0.217027589679E+00 -0.271951407194E-02
  0.294735014439E+00 -0.217993333936E+00 -0.167651509400E-02
  0.295470029116E+00 -0.218943208456E+00 -0.639097066596E-03
  0.296205013990E+00 -0.219877362251E+00  0.392755464418E-03
  0.296940028667E+00 -0.220795750618E+00  0.141906575300E-02
  0.297675013542E+00 -0.221698433161E+00  0.243985094130E-02
  0.298410028219E+00 -0.222585424781E+00  0.345512758940E-02
  0.299145013094E+00 -0.223456814885E+00  0.446491222829E-02
  0.299880027771E+00 -0.224312499166E+00  0.546922534704E-02
  0.300615012646E+00 -0.225152656436E+00  0.646808277816E-02
  0.301350027323E+00 -0.225977227092E+00  0.746150128543E-02
  0.302085012197E+00 -0.226786285639E+00  0.844949670136E-02
  0.302820026875E+00 -0.227579876781E+00  0.943208113313E-02
  0.303555011749E+00 -0.228357955813E+00  0.104092815891E-01
  0.304290026426E+00 -0.229120612144E+00  0.113810971379E-01
  0.305025011301E+00 -0.229867890477E+00  0.123475575820E-01
  0.305760025978E+00 -0.230599761009E+00  0.133086740971E-01
  0.306495010853E+00 -0.231316357851E+00  0.142644513398E-01
  0.307230025530E+00 -0.232017591596E+00  0.152149181813E-01
  0.307965010405E+00 -0.232703581452E+00  0.161600708961E-01
  0.308700025082E+00 -0.233374297619E+00  0.170999336988E-01
  0.309435009956E+00 -0.234029829502E+00  0.180345214903E-01
  0.310170024633E+00 -0.234670162201E+00  0.189638417214E-01
  0.310905009508E+00 -0.235295355320E+00  0.198879018426E-01
  0.311640024185E+00 -0.235905453563E+00  0.208067186177E-01
  0.312375009060E+00 -0.236500412226E+00  0.217203106731E-01
  0.313110023737E+00 -0.237080320716E+00  0.226286798716E-01
  0.313845008612E+00 -0.237645238638E+00  0.235318355262E-01
  0.314580023289E+00 -0.238195180893E+00  0.244297888130E-01
  0.315315008163E+00 -0.238730132580E+00  0.253225490451E-01
  0.316050022840E+00 -0.239250153303E+00  0.262101311237E-01
  0.316785007715E+00 -0.239755272865E+00  0.270925369114E-01
