  0.146050000000E+01  0.521904844886E-02  0.000000000000E+00  0.272384667115E-04
  0.146812618447E+01  0.611203719305E-02  0.000000000000E+00  0.373569986492E-04
  0.147575236895E+01  0.711851475333E-02  0.000000000000E+00  0.506732522934E-04
  0.148337855342E+01  0.825157274534E-02  0.000000000000E+00  0.680884527716E-04
  0.149100473790E+01  0.952582515750E-02  0.000000000000E+00  0.907413449312E-04
  0.149863092237E+01  0.109575041051E-01  0.000000000000E+00  0.120066896213E-03
  0.150625710684E+01  0.125645422517E-01  0.000000000000E+00  0.157867721995E-03
  0.151388329132E+01  0.143666390450E-01  0.000000000000E+00  0.206400317450E-03
  0.152150947579E+01  0.163853080134E-01  0.000000000000E+00  0.268478318693E-03
  0.152913566027E+01  0.186439025378E-01  0.000000000000E+00  0.347595101838E-03
  0.153676184474E+01  0.211676177588E-01  0.000000000000E+00  0.448068041584E-03
  0.154438802921E+01  0.239834665943E-01  0.000000000000E+00  0.575206669879E-03
  0.155201421369E+01  0.271202282362E-01  0.000000000000E+00  0.735506779582E-03
  0.155964039816E+01  0.306083679573E-01  0.000000000000E+00  0.936872189007E-03
  0.156726658264E+01  0.344799275816E-01  0.000000000000E+00  0.118886540603E-02
  0.157489276711E+01  0.387683865513E-01  0.000000000000E+00  0.150298779579E-02
  0.158251895158E+01  0.435084941393E-01  0.000000000000E+00  0.189298906227E-02
  0.159014513606E+01  0.487360740001E-01  0.000000000000E+00  0.237520490894E-02
  0.159777132053E+01  0.544878028952E-01  0.000000000000E+00  0.296892066435E-02
  0.160539750500E+01  0.608009660650E-01  0.000000000000E+00  0.369675747444E-02
  0.161302368948E+01  0.677131923097E-01  0.000000000000E+00  0.458507641277E-02
  0.162064987395E+01  0.752621723776E-01  0.000000000000E+00  0.566439459099E-02
  0.162827605843E+01  0.834853647120E-01  0.000000000000E+00  0.696980612110E-02
  0.163590224290E+01  0.924196929539E-01  0.000000000000E+00  0.854139964569E-02
  0.164352842737E+01  0.102101239825E+00  0.000000000000E+00  0.104246631738E-01
  0.165115461185E+01  0.112564942105E+00  0.000000000000E+00  0.126708661911E-01
  0.165878079632E+01  0.123844291359E+00  0.000000000000E+00  0.153374085023E-01
  0.166640698080E+01  0.135971044852E+00  0.000000000000E+00  0.184881250381E-01
  0.167403316527E+01  0.148974950721E+00  0.000000000000E+00  0.221935359423E-01
  0.168165934974E+01  0.162883490976E+00  0.000000000000E+00  0.265310316326E-01
  0.168928553422E+01  0.177721645221E+00  0.000000000000E+00  0.315849831801E-01
  0.169691171869E+01  0.193511677244E+00  0.000000000000E+00  0.374467692299E-01
  0.170453790317E+01  0.210272945773E+00  0.000000000000E+00  0.442147117240E-01
  0.171216408764E+01  0.228021739758E+00  0.000000000000E+00  0.519939138025E-01
  0.171979027211E+01  0.246771137635E+00  0.000000000000E+00  0.608959943697E-01
  0.172741645659E+01  0.266530889067E+00  0.000000000000E+00  0.710387148269E-01
  0.173504264106E+01  0.287307316836E+00  0.000000000000E+00  0.825454943074E-01
  0.174266882554E+01  0.309103235744E+00  0.000000000000E+00  0.955448103477E-01
  0.175029501001E+01  0.331917884786E+00  0.000000000000E+00  0.110169482241E+00
  0.175792119448E+01  0.355746868348E+00  0.000000000000E+00  0.126555834340E+00
  0.176554737896E+01  0.380582101974E+00  0.000000000000E+00  0.144842736343E+00
  0.177317356343E+01  0.406411758130E+00  0.000000000000E+00  0.165170517147E+00
  0.178079974791E+01  0.433220207672E+00  0.000000000000E+00  0.187679748335E+00
  0.178842593238E+01  0.460987953082E+00  0.000000000000E+00  0.212509892887E+00
  0.179605211685E+01  0.489691550294E+00  0.000000000000E+00  0.239797814429E+00
  0.180367830133E+01  0.519303516776E+00  0.000000000000E+00  0.269676142536E+00
  0.181130448580E+01  0.549792224687E+00  0.000000000000E+00  0.302271490326E+00
  0.181893067027E+01  0.581121779173E+00  0.000000000000E+00  0.337702522230E+00
  0.182655685475E+01  0.613251883279E+00  0.000000000000E+00  0.376077872345E+00
  0.183418303922E+01  0.646137692394E+00  0.000000000000E+00  0.417493917533E+00
  0.184180922370E+01  0.679729662660E+00  0.000000000000E+00  0.462032414300E+00
  0.184943540817E+01  0.713973399149E+00  0.000000000000E+00  0.509758014692E+00
  0.185706159264E+01  0.748809510969E+00  0.000000000000E+00  0.560715683717E+00
  0.186468777712E+01  0.784173481570E+00  0.000000000000E+00  0.614928049198E+00
  0.187231396159E+01  0.819995563423E+00  0.000000000000E+00  0.672392724034E+00
  0.187994014607E+01  0.856200706866E+00  0.000000000000E+00  0.733079650438E+00
  0.188756633054E+01  0.892708533191E+00  0.000000000000E+00  0.796928525232E+00
  0.189519251501E+01  0.929433361964E+00  0.000000000000E+00  0.863846374331E+00
  0.190281869949E+01  0.966284302109E+00  0.000000000000E+00  0.933705352502E+00
  0.191044488396E+01  0.100316541543E+01  0.000000000000E+00  0.100634085071E+01
  0.191807106844E+01  0.103997595999E+01  0.000000000000E+00  0.108154999736E+01
  0.192569725291E+01  0.107661071924E+01  0.000000000000E+00  0.115909064079E+01
  0.193332343738E+01  0.111296042074E+01  0.000000000000E+00  0.123868089814E+01
  0.194094962186E+01  0.114891224626E+01  0.000000000000E+00  0.131999934961E+01
  0.194857580633E+01  0.118435043260E+01  0.000000000000E+00  0.140268594719E+01
  0.195620199081E+01  0.121915695986E+01  0.000000000000E+00  0.148634369278E+01
  0.196382817528E+01  0.125321232154E+01  0.000000000000E+00  0.157054112285E+01
  0.197145435975E+01  0.128639636790E+01  0.000000000000E+00  0.165481561535E+01
