  0.735000008717E-03 -0.194444549084E+01  0.527825474739E+00
  0.147000001743E-02  0.267375397682E+01 -0.587337970734E+00
  0.220500002615E-02  0.266386055946E+01 -0.596426248550E+00
  0.294000003487E-02  0.265392398834E+01 -0.605314970016E+00
  0.367500004359E-02  0.264394474030E+01 -0.614006757736E+00
  0.441000005230E-02  0.263392496109E+01 -0.622505128384E+00
  0.514500029385E-02  0.262386536598E+01 -0.630812883377E+00
  0.588000006974E-02  0.261376786232E+01 -0.638932764530E+00
  0.661499984562E-02  0.260363292694E+01 -0.646867871284E+00
  0.734999962151E-02  0.259346246719E+01 -0.654621005058E+00
  0.808500032872E-02  0.258325672150E+01 -0.662195146084E+00
  0.882000010461E-02  0.257301783562E+01 -0.669592916965E+00
  0.955499988049E-02  0.256274557114E+01 -0.676817119122E+00
  0.102899996564E-01  0.255244278908E+01 -0.683870553970E+00
  0.110250003636E-01  0.254210853577E+01 -0.690755724907E+00
  0.117600001395E-01  0.253174543381E+01 -0.697475433350E+00
  0.124949999154E-01  0.252135324478E+01 -0.704032123089E+00
  0.132299996912E-01  0.251093316078E+01 -0.710428476334E+00
  0.139649994671E-01  0.250048613548E+01 -0.716666877270E+00
  0.147000001743E-01  0.249001264572E+01 -0.722749769688E+00
  0.154349999502E-01  0.247951459885E+01 -0.728679776192E+00
  0.161700006574E-01  0.246899151802E+01 -0.734459042549E+00
  0.169050004333E-01  0.245844483376E+01 -0.740090250969E+00
  0.176400002092E-01  0.244787478447E+01 -0.745575368404E+00
  0.183749999851E-01  0.243728280067E+01 -0.750916838646E+00
  0.191099997610E-01  0.242666912079E+01 -0.756116747856E+00
  0.198449995369E-01  0.241603398323E+01 -0.761177539825E+00
  0.205799993128E-01  0.240537905693E+01 -0.766101121902E+00
  0.213150009513E-01  0.239470434189E+01 -0.770889878273E+00
  0.220500007272E-01  0.238401007652E+01 -0.775545597076E+00
  0.227850005031E-01  0.237329769135E+01 -0.780070543289E+00
  0.235200002789E-01  0.236256742477E+01 -0.784466743469E+00
  0.242550000548E-01  0.235181951523E+01 -0.788736045361E+00
  0.249899998307E-01  0.234105491638E+01 -0.792880415916E+00
  0.257249996066E-01  0.233027362823E+01 -0.796901822090E+00
  0.264599993825E-01  0.231947731972E+01 -0.800802111626E+00
  0.271949991584E-01  0.230866527557E+01 -0.804583013058E+00
  0.279300007969E-01  0.229783844948E+01 -0.808246433735E+00
  0.286650005728E-01  0.228699731827E+01 -0.811794340611E+00
  0.294000003487E-01  0.227614235878E+01 -0.815228104591E+00
  0.301350001246E-01  0.226527452469E+01 -0.818549692631E+00
  0.308699999005E-01  0.225439333916E+01 -0.821760714054E+00
  0.316050015390E-01  0.224349975586E+01 -0.824862957001E+00
  0.323400013149E-01  0.223259401321E+01 -0.827857732773E+00
  0.330750010908E-01  0.222167730331E+01 -0.830746889114E+00
  0.338100008667E-01  0.221074891090E+01 -0.833531916142E+00
  0.345450006425E-01  0.219980978966E+01 -0.836214303970E+00
  0.352800004184E-01  0.218886017799E+01 -0.838795602322E+00
  0.360150001943E-01  0.217790079117E+01 -0.841277360916E+00
  0.367499999702E-01  0.216693210602E+01 -0.843661010265E+00
  0.374849997461E-01  0.215595436096E+01 -0.845947861671E+00
  0.382199995220E-01  0.214496707916E+01 -0.848139405251E+00
  0.389549992979E-01  0.213397216797E+01 -0.850237071514E+00
  0.396899990737E-01  0.212296867371E+01 -0.852242171764E+00
  0.404249988496E-01  0.211195826530E+01 -0.854155838490E+00
  0.411599986255E-01  0.210094022751E+01 -0.855979800224E+00
  0.418950021267E-01  0.208991527557E+01 -0.857714951038E+00
  0.426300019026E-01  0.207888388634E+01 -0.859362840652E+00
  0.433650016785E-01  0.206784629822E+01 -0.860924363136E+00
  0.441000014544E-01  0.205680298805E+01 -0.862401127815E+00
  0.448350012302E-01  0.204575443268E+01 -0.863794088364E+00
  0.455700010061E-01  0.203469991684E+01 -0.865104496479E+00
  0.463050007820E-01  0.202364182472E+01 -0.866333425045E+00
  0.470400005579E-01  0.201257896423E+01 -0.867482006550E+00
  0.477750003338E-01  0.200151157379E+01 -0.868551611900E+00
  0.485100001097E-01  0.199044108391E+01 -0.869543075562E+00
  0.492449998856E-01  0.197936689854E+01 -0.870457589626E+00
  0.499799996614E-01  0.196829009056E+01 -0.871296167374E+00
  0.507149994373E-01  0.195721054077E+01 -0.872059762478E+00
  0.514499992132E-01  0.194612860680E+01 -0.872749507427E+00
  0.521849989891E-01  0.193504476547E+01 -0.873366415501E+00
  0.529199987650E-01  0.192395937443E+01 -0.873911678791E+00
  0.536549985409E-01  0.191287255287E+01 -0.874385893345E+00
  0.543900020421E-01  0.190178477764E+01 -0.874790132046E+00
  0.551250018179E-01  0.189069676399E+01 -0.875125408173E+00
  0.558600015938E-01  0.187960827351E+01 -0.875392675400E+00
  0.565950013697E-01  0.186852014065E+01 -0.875592887402E+00
  0.573300011456E-01  0.185743212700E+01 -0.875726699829E+00
  0.580650009215E-01  0.184634506702E+01 -0.875795304775E+00
  0.588000006974E-01  0.183525931835E+01 -0.875799357891E+00
  0.595350004733E-01  0.182417464256E+01 -0.875739872456E+00
  0.602700002491E-01  0.181309187412E+01 -0.875617563725E+00
  0.610050000250E-01  0.180201148987E+01 -0.875433325768E+00
  0.617399998009E-01  0.179093348980E+01 -0.875187933445E+00
  0.624749995768E-01  0.177985846996E+01 -0.874882221222E+00
  0.632100030780E-01  0.176878643036E+01 -0.874517023563E+00
  0.639450028539E-01  0.175771784782E+01 -0.874093115330E+00
  0.646800026298E-01  0.174665331841E+01 -0.873611271381E+00
  0.654150024056E-01  0.173559308052E+01 -0.873072266579E+00
  0.661500021815E-01  0.172453725338E+01 -0.872476756573E+00
  0.668850019574E-01  0.171348631382E+01 -0.871825516224E+00
  0.676200017333E-01  0.170244061947E+01 -0.871119320393E+00
  0.683550015092E-01  0.169140064716E+01 -0.870358943939E+00
  0.690900012851E-01  0.168036651611E+01 -0.869545102119E+00
  0.698250010610E-01  0.166933846474E+01 -0.868678271770E+00
  0.705600008368E-01  0.165831732750E+01 -0.867759287357E+00
  0.712950006127E-01  0.164730274677E+01 -0.866788864136E+00
  0.720300003886E-01  0.163629591465E+01 -0.865767717361E+00
  0.727650001645E-01  0.162529659271E+01 -0.864696443081E+00
  0.734999999404E-01  0.161430525780E+01 -0.863575696945E+00
  0.742349997163E-01  0.160332226753E+01 -0.862406075001E+00
  0.749699994922E-01  0.159234797955E+01 -0.861188352108E+00
  0.757049992681E-01  0.158138251305E+01 -0.859923005104E+00
  0.764399990439E-01  0.157042706013E+01 -0.858610808849E+00
  0.771749988198E-01  0.155948066711E+01 -0.857252299786E+00
  0.779099985957E-01  0.154854452610E+01 -0.855848193169E+00
  0.786449983716E-01  0.153761875629E+01 -0.854398787022E+00
  0.793799981475E-01  0.152670395374E+01 -0.852905094624E+00
  0.801149979234E-01  0.151580011845E+01 -0.851367294788E+00
  0.808499976993E-01  0.150490760803E+01 -0.849786400795E+00
  0.815849974751E-01  0.149402701855E+01 -0.848162651062E+00
  0.823199972510E-01  0.148315858841E+01 -0.846496820450E+00
  0.830550044775E-01  0.147230267525E+01 -0.844789266586E+00
  0.837900042534E-01  0.146145963669E+01 -0.843040704727E+00
  0.845250040293E-01  0.145062959194E+01 -0.841251730919E+00
  0.852600038052E-01  0.143981325626E+01 -0.839422762394E+00
  0.859950035810E-01  0.142901074886E+01 -0.837554395199E+00
