          -1           3           0           4          -4        (-9.36633244907899118E-039,0.0000000000000000)
          -1           3           1           4          -4         (1.48530396954091526E-037,0.0000000000000000)
          -1           3           2           4          -4        (-1.60195066394829372E-036,0.0000000000000000)
          -1           3           3           4          -4        (-1.33103395808893341E-035,0.0000000000000000)
          -1           3           4           4          -4         (9.00741577523712720E-035,0.0000000000000000)
          -1           3           5           4          -4         (5.10825747264801230E-034,0.0000000000000000)
          -1           3           6           4          -4        (-2.46462308631746851E-033,0.0000000000000000)
          -1           3           7           4          -4         (1.01989518228395464E-032,0.0000000000000000)
          -1           3           0           3          -3        (-1.72068697807236027E-038,0.0000000000000000)
          -1           3           1           3          -3         (2.72864882040306933E-037,0.0000000000000000)
          -1           3           2           3          -3        (-2.94294021908356252E-036,0.0000000000000000)
          -1           3           3           3          -3        (-2.44523970455580812E-035,0.0000000000000000)
          -1           3           4           3          -3         (1.65475047088021290E-034,0.0000000000000000)
          -1           3           5           3          -3         (9.38436913446369261E-034,0.0000000000000000)
          -1           3           6           3          -3        (-4.52775392453637328E-033,0.0000000000000000)
          -1           3           7           3          -3         (1.87364730933429713E-032,0.0000000000000000)
          -1           3           0           4          -3        (-1.62469124311684030E-039,0.0000000000000000)
          -1           3           1           4          -3         (2.57641970942115948E-038,0.0000000000000000)
          -1           3           2           4          -3        (-2.77875596427065439E-037,0.0000000000000000)
          -1           3           3           4          -3        (-2.30882175894886399E-036,0.0000000000000000)
          -1           3           4           4          -3         (1.56243328033687946E-035,0.0000000000000000)
          -1           3           5           4          -3         (8.86082276976350327E-035,0.0000000000000000)
          -1           3           6           4          -3        (-4.27515419476418127E-034,0.0000000000000000)
          -1           3           7           4          -3         (1.76911804119950067E-033,0.0000000000000000)
          -1           3           0           2          -2         (2.74049021483689229E-038,0.0000000000000000)
          -1           3           1           2          -2        (-4.34584296117476338E-037,0.0000000000000000)
          -1           3           2           2          -2         (4.68713890209337143E-036,0.0000000000000000)
          -1           3           3           2          -2         (3.89446515761569411E-035,0.0000000000000000)
          -1           3           4           2          -2        (-2.63547497670041689E-034,0.0000000000000000)
          -1           3           5           2          -2        (-1.49462232893899394E-033,0.0000000000000000)
          -1           3           6           2          -2         (7.21122754080577726E-033,0.0000000000000000)
          -1           3           7           2          -2        (-2.98410587324743685E-032,0.0000000000000000)
          -1           3           0           3          -2         (9.78843224422954313E-039,0.0000000000000000)
          -1           3           1           3          -2        (-1.55224014810258592E-037,0.0000000000000000)
          -1           3           2           3          -2         (1.67414360080698420E-036,0.0000000000000000)
          -1           3           3           3          -2         (1.39101785937603868E-035,0.0000000000000000)
          -1           3           4           3          -2        (-9.41334075966764527E-035,0.0000000000000000)
          -1           3           5           3          -2        (-5.33846438068841883E-034,0.0000000000000000)
          -1           3           6           3          -2         (2.57569291066053024E-033,0.0000000000000000)
          -1           3           7           3          -2        (-1.06585741455123041E-032,0.0000000000000000)
          -1           3           0           4          -2        (-2.12513822106449099E-039,0.0000000000000000)
          -1           3           1           4          -2         (3.37002370215952500E-038,0.0000000000000000)
          -1           3           2           4          -2        (-3.63468476345927151E-037,0.0000000000000000)
          -1           3           3           4          -2        (-3.01999865288540839E-036,0.0000000000000000)
          -1           3           4           4          -2         (2.04370319343703568E-035,0.0000000000000000)
          -1           3           5           4          -2         (1.15901856539696686E-034,0.0000000000000000)
          -1           3           6           4          -2        (-5.59201240157369169E-034,0.0000000000000000)
          -1           3           7           4          -2         (2.31405221321638511E-033,0.0000000000000000)
          -1           3           0           1          -1         (4.33735955656438954E-038,0.0000000000000000)
          -1           3           1           1          -1        (-6.87814296760819587E-037,0.0000000000000000)
          -1           3           2           1          -1         (7.41831027159839203E-036,0.0000000000000000)
          -1           3           3           1          -1         (6.16374967428841032E-035,0.0000000000000000)
          -1           3           4           1          -1        (-4.17115248738744722E-034,0.0000000000000000)
          -1           3           5           1          -1        (-2.36553095748378960E-033,0.0000000000000000)
          -1           3           6           1          -1         (1.14131721833335682E-032,0.0000000000000000)
          -1           3           7           1          -1        (-4.72292878735932136E-032,0.0000000000000000)
          -1           3           0           2          -1         (4.02705136567929159E-041,0.0000000000000000)
          -1           3           1           2          -1        (-6.38605923023453789E-040,0.0000000000000000)
          -1           3           2           2          -1         (6.88758128549897516E-039,0.0000000000000000)
          -1           3           3           2          -1         (5.72277585472062343E-038,0.0000000000000000)
          -1           3           4           2          -1        (-3.87273526709770951E-037,0.0000000000000000)
          -1           3           5           2          -1        (-2.19629351651845687E-036,0.0000000000000000)
          -1           3           6           2          -1         (1.05966383529504476E-035,0.0000000000000000)
          -1           3           7           2          -1        (-4.38503577466994106E-035,0.0000000000000000)
          -1           3           0           3          -1         (3.21090560652005314E-040,0.0000000000000000)
          -1           3           1           3          -1        (-5.09182315395432672E-039,0.0000000000000000)
          -1           3           2           3          -1         (5.49170381918900283E-038,0.0000000000000000)
          -1           3           3           3          -1         (4.56296466277639624E-037,0.0000000000000000)
          -1           3           4           3          -1        (-3.08786411012028626E-036,0.0000000000000000)
          -1           3           5           3          -1        (-1.75117983988346596E-035,0.0000000000000000)
          -1           3           6           3          -1         (8.44906170994782699E-035,0.0000000000000000)
          -1           3           7           3          -1        (-3.49633880354135512E-034,0.0000000000000000)
          -1           3           0           4          -1         (3.33340297130807083E-039,0.0000000000000000)
          -1           3           1           4          -1        (-5.28607829401807231E-038,0.0000000000000000)
          -1           3           2           4          -1         (5.70121457051128498E-037,0.0000000000000000)
          -1           3           3           4          -1         (4.73704363466393764E-036,0.0000000000000000)
          -1           3           4           4          -1        (-3.20566739139555944E-035,0.0000000000000000)
          -1           3           5           4          -1        (-1.81798806844678307E-034,0.0000000000000000)
          -1           3           6           4          -1         (8.77139687679244226E-034,0.0000000000000000)
          -1           3           7           4          -1        (-3.62972556177249716E-033,0.0000000000000000)
          -1           3           0           0           0         (3.00863121099867363E-056,0.0000000000000000)
          -1           3           1           0           0        (-4.77105836769699418E-055,0.0000000000000000)
          -1           3           2           0           0         (5.14574812738876420E-054,0.0000000000000000)
          -1           3           3           0           0         (4.27551587665377455E-053,0.0000000000000000)
          -1           3           4           0           0        (-2.89334084383103753E-052,0.0000000000000000)
          -1           3           5           0           0        (-1.64086241328506990E-051,0.0000000000000000)
          -1           3           6           0           0         (7.91680412921042335E-051,0.0000000000000000)
          -1           3           7           0           0        (-3.27608324181191922E-050,0.0000000000000000)
          -1           3           0           1           0        (-3.11011346987503363E-055,0.0000000000000000)
          -1           3           1           1           0         (4.93198795538608467E-054,0.0000000000000000)
          -1           3           2           1           0        (-5.31931614116797594E-053,0.0000000000000000)
          -1           3           3           1           0        (-4.41973063031450887E-052,0.0000000000000000)
          -1           3           4           1           0         (2.99093431537632375E-051,0.0000000000000000)
          -1           3           5           1           0         (1.69620931774055528E-050,0.0000000000000000)
          -1           3           6           1           0        (-8.18384090096203064E-050,0.0000000000000000)
          -1           3           7           1           0         (3.38658675795363377E-049,0.0000000000000000)
          -1           3           0           2           0        (-3.40779737500965510E-055,0.0000000000000000)
          -1           3           1           2           0         (5.40405222209942168E-054,0.0000000000000000)
          -1           3           2           2           0        (-5.82845344975913535E-053,0.0000000000000000)
          -1           3           3           2           0        (-4.84276428691561206E-052,0.0000000000000000)
          -1           3           4           2           0         (3.27721101093080473E-051,0.0000000000000000)
          -1           3           5           2           0         (1.85856166227554074E-050,0.0000000000000000)
          -1           3           6           2           0        (-8.96715563911142008E-050,0.0000000000000000)
          -1           3           7           2           0         (3.71073325000173795E-049,0.0000000000000000)
          -1           3           0           3           0        (-6.10115953486504653E-041,0.0000000000000000)
          -1           3           1           3           0         (9.67515996811382354E-040,0.0000000000000000)
          -1           3           2           3           0        (-1.04349878897290208E-038,0.0000000000000000)
          -1           3           3           3           0        (-8.67025654787856404E-038,0.0000000000000000)
          -1           3           4           3           0         (5.86736387378452865E-037,0.0000000000000000)
          -1           3           5           3           0         (3.32748105570998475E-036,0.0000000000000000)
          -1           3           6           3           0        (-1.60543721084905156E-035,0.0000000000000000)
          -1           3           7           3           0         (6.64352162362819932E-035,0.0000000000000000)
          -1           3           0           4           0        (-1.15061103242352942E-039,0.0000000000000000)
          -1           3           1           4           0         (1.82462788198841756E-038,0.0000000000000000)
          -1           3           2           4           0        (-1.96792300226152235E-037,0.0000000000000000)
          -1           3           3           4           0        (-1.63511424032154646E-036,0.0000000000000000)
          -1           3           4           4           0         (1.10651976330742894E-035,0.0000000000000000)
          -1           3           5           4           0         (6.27526028618244861E-035,0.0000000000000000)
          -1           3           6           4           0        (-3.02767655248181942E-034,0.0000000000000000)
          -1           3           7           4           0         (1.25289450810270718E-033,0.0000000000000000)
          -1           3           0           1           1        (-1.39915345391091470E-055,0.0000000000000000)
          -1           3           1           1           1         (2.21876405774504995E-054,0.0000000000000000)
          -1           3           2           1           1        (-2.39301222398798902E-053,0.0000000000000000)
          -1           3           3           1           1        (-1.98831375018721697E-052,0.0000000000000000)
          -1           3           4           1           1         (1.34553807066435487E-051,0.0000000000000000)
          -1           3           5           1           1         (7.63077343792607814E-051,0.0000000000000000)
          -1           3           6           1           1        (-3.68168215526959086E-050,0.0000000000000000)
          -1           3           7           1           1         (1.52353108826498648E-049,0.0000000000000000)
          -1           3           0           2           1        (-9.05530148228589955E-084,0.0000000000000000)
          -1           3           1           2           1        (-1.26109830212140517E-083,0.0000000000000000)
          -1           3           2           2           1        (-8.76929204881351122E-084,0.0000000000000000)
          -1           3           3           2           1         (1.50999985010810550E-085,0.0000000000000000)
          -1           3           4           2           1        (-7.17192206063039507E-084,0.0000000000000000)
          -1           3           5           2           1         (8.50016875485964201E-084,0.0000000000000000)
          -1           3           6           2           1         (3.78041895864575326E-084,0.0000000000000000)
          -1           3           7           2           1        (-3.01267739039883325E-084,0.0000000000000000)
          -1           3           0           3           1         (3.48001726987522384E-066,0.0000000000000000)
          -1           3           1           3           1         (4.84649117312983545E-066,0.0000000000000000)
          -1           3           2           3           1         (3.37010179441831104E-066,0.0000000000000000)
          -1           3           3           3           1        (-5.80303766380916882E-068,0.0000000000000000)
          -1           3           4           3           1         (2.75622105768834414E-066,0.0000000000000000)
          -1           3           5           3           1        (-3.26667578342162934E-066,0.0000000000000000)
          -1           3           6           3           1        (-1.45284210461537066E-066,0.0000000000000000)
          -1           3           7           3           1         (1.15779351661121739E-066,0.0000000000000000)
          -1           3           0           4           1         (1.74000863493761192E-066,0.0000000000000000)
          -1           3           1           4           1         (2.42324558656491772E-066,0.0000000000000000)
          -1           3           2           4           1         (1.68505089720915552E-066,0.0000000000000000)
          -1           3           3           4           1        (-2.90151883190458441E-068,0.0000000000000000)
          -1           3           4           4           1         (1.37811052884417207E-066,0.0000000000000000)
          -1           3           5           4           1        (-1.63333789171081467E-066,0.0000000000000000)
          -1           3           6           4           1        (-7.26421052307685332E-067,0.0000000000000000)
          -1           3           7           4           1         (5.78896758305608693E-067,0.0000000000000000)
          -1           3           0           2           2        (-3.48001726987522384E-066,0.0000000000000000)
          -1           3           1           2           2        (-4.84649117312983545E-066,0.0000000000000000)
          -1           3           2           2           2        (-3.37010179441831104E-066,0.0000000000000000)
          -1           3           3           2           2         (5.80303766380916882E-068,0.0000000000000000)
          -1           3           4           2           2        (-2.75622105768834414E-066,0.0000000000000000)
          -1           3           5           2           2         (3.26667578342162934E-066,0.0000000000000000)
          -1           3           6           2           2         (1.45284210461537066E-066,0.0000000000000000)
          -1           3           7           2           2        (-1.15779351661121739E-066,0.0000000000000000)
          -1           3           0           3           2         (1.08750539683600745E-067,0.0000000000000000)
          -1           3           1           3           2         (1.51452849160307358E-067,0.0000000000000000)
          -1           3           2           3           2         (1.05315681075572220E-067,0.0000000000000000)
          -1           3           3           3           2        (-1.81344926994036526E-069,0.0000000000000000)
          -1           3           4           3           2         (8.61319080527607545E-068,0.0000000000000000)
          -1           3           5           3           2        (-1.02083618231925917E-067,0.0000000000000000)
          -1           3           6           3           2        (-4.54013157692303332E-068,0.0000000000000000)
          -1           3           7           3           2         (3.61810473941005433E-068,0.0000000000000000)
          -1           3           0           4           2        (-2.17501079367201490E-067,0.0000000000000000)
