 # index, n, v, n_p, v_p
 # To plot a given transition, get the index from the list and plot in xmgrace block data mode with X_column = index-1 and Y_column = index

           2           1           0           1           0
           4           1           0           1           1
           6           1           0           1           2
           8           1           0           1           3
          10           1           0           1           4
          12           1           1           1           0
          14           1           1           1           1
          16           1           1           1           2
          18           1           1           1           3
          20           1           1           1           4
          22           1           2           1           0
          24           1           2           1           1
          26           1           2           1           2
          28           1           2           1           3
          30           1           2           1           4
          32           1           3           1           0
          34           1           3           1           1
          36           1           3           1           2
          38           1           3           1           3
          40           1           3           1           4
          42           1           4           1           0
          44           1           4           1           1
          46           1           4           1           2
          48           1           4           1           3
          50           1           4           1           4
          52           2           0           1           0
          54           2           0           1           1
          56           2           0           1           2
          58           2           0           1           3
          60           2           0           1           4
          62           2           1           1           0
          64           2           1           1           1
          66           2           1           1           2
          68           2           1           1           3
          70           2           1           1           4
          72           2           2           1           0
          74           2           2           1           1
          76           2           2           1           2
          78           2           2           1           3
          80           2           2           1           4
          82           2           3           1           0
          84           2           3           1           1
          86           2           3           1           2
          88           2           3           1           3
          90           2           3           1           4
          92           2           4           1           0
          94           2           4           1           1
          96           2           4           1           2
          98           2           4           1           3
         100           2           4           1           4
         102           2           0           2           0
         104           2           0           2           1
         106           2           0           2           2
         108           2           0           2           3
         110           2           0           2           4
         112           2           1           2           0
         114           2           1           2           1
         116           2           1           2           2
         118           2           1           2           3
         120           2           1           2           4
         122           2           2           2           0
         124           2           2           2           1
         126           2           2           2           2
         128           2           2           2           3
         130           2           2           2           4
         132           2           3           2           0
         134           2           3           2           1
         136           2           3           2           2
         138           2           3           2           3
         140           2           3           2           4
         142           2           4           2           0
         144           2           4           2           1
         146           2           4           2           2
         148           2           4           2           3
         150           2           4           2           4
         152           3           0           1           0
         154           3           0           1           1
         156           3           0           1           2
         158           3           0           1           3
         160           3           0           1           4
         162           3           1           1           0
         164           3           1           1           1
         166           3           1           1           2
         168           3           1           1           3
         170           3           1           1           4
         172           3           2           1           0
         174           3           2           1           1
         176           3           2           1           2
         178           3           2           1           3
         180           3           2           1           4
         182           3           3           1           0
         184           3           3           1           1
         186           3           3           1           2
         188           3           3           1           3
         190           3           3           1           4
         192           3           4           1           0
         194           3           4           1           1
         196           3           4           1           2
         198           3           4           1           3
         200           3           4           1           4
         202           3           0           2           0
         204           3           0           2           1
         206           3           0           2           2
         208           3           0           2           3
         210           3           0           2           4
         212           3           1           2           0
         214           3           1           2           1
         216           3           1           2           2
         218           3           1           2           3
         220           3           1           2           4
         222           3           2           2           0
         224           3           2           2           1
         226           3           2           2           2
         228           3           2           2           3
         230           3           2           2           4
         232           3           3           2           0
         234           3           3           2           1
         236           3           3           2           2
         238           3           3           2           3
         240           3           3           2           4
         242           3           4           2           0
         244           3           4           2           1
         246           3           4           2           2
         248           3           4           2           3
         250           3           4           2           4
         252           3           0           3           0
         254           3           0           3           1
         256           3           0           3           2
         258           3           0           3           3
         260           3           0           3           4
         262           3           1           3           0
         264           3           1           3           1
         266           3           1           3           2
         268           3           1           3           3
         270           3           1           3           4
         272           3           2           3           0
         274           3           2           3           1
         276           3           2           3           2
         278           3           2           3           3
         280           3           2           3           4
         282           3           3           3           0
         284           3           3           3           1
         286           3           3           3           2
         288           3           3           3           3
         290           3           3           3           4
         292           3           4           3           0
         294           3           4           3           1
         296           3           4           3           2
         298           3           4           3           3
         300           3           4           3           4
         302           4           0           1           0
         304           4           0           1           1
         306           4           0           1           2
         308           4           0           1           3
         310           4           0           1           4
         312           4           1           1           0
         314           4           1           1           1
         316           4           1           1           2
         318           4           1           1           3
         320           4           1           1           4
         322           4           2           1           0
         324           4           2           1           1
         326           4           2           1           2
         328           4           2           1           3
         330           4           2           1           4
         332           4           3           1           0
         334           4           3           1           1
         336           4           3           1           2
         338           4           3           1           3
         340           4           3           1           4
         342           4           4           1           0
         344           4           4           1           1
         346           4           4           1           2
         348           4           4           1           3
         350           4           4           1           4
         352           4           0           2           0
         354           4           0           2           1
         356           4           0           2           2
         358           4           0           2           3
         360           4           0           2           4
         362           4           1           2           0
         364           4           1           2           1
         366           4           1           2           2
         368           4           1           2           3
         370           4           1           2           4
         372           4           2           2           0
         374           4           2           2           1
         376           4           2           2           2
         378           4           2           2           3
         380           4           2           2           4
         382           4           3           2           0
         384           4           3           2           1
         386           4           3           2           2
         388           4           3           2           3
         390           4           3           2           4
         392           4           4           2           0
         394           4           4           2           1
         396           4           4           2           2
         398           4           4           2           3
         400           4           4           2           4
         402           4           0           3           0
         404           4           0           3           1
         406           4           0           3           2
         408           4           0           3           3
         410           4           0           3           4
         412           4           1           3           0
         414           4           1           3           1
         416           4           1           3           2
         418           4           1           3           3
         420           4           1           3           4
         422           4           2           3           0
         424           4           2           3           1
         426           4           2           3           2
         428           4           2           3           3
         430           4           2           3           4
         432           4           3           3           0
         434           4           3           3           1
         436           4           3           3           2
         438           4           3           3           3
         440           4           3           3           4
         442           4           4           3           0
         444           4           4           3           1
         446           4           4           3           2
         448           4           4           3           3
         450           4           4           3           4
         452           4           0           4           0
         454           4           0           4           1
         456           4           0           4           2
         458           4           0           4           3
         460           4           0           4           4
         462           4           1           4           0
         464           4           1           4           1
         466           4           1           4           2
         468           4           1           4           3
         470           4           1           4           4
         472           4           2           4           0
         474           4           2           4           1
         476           4           2           4           2
         478           4           2           4           3
         480           4           2           4           4
         482           4           3           4           0
         484           4           3           4           1
         486           4           3           4           2
         488           4           3           4           3
         490           4           3           4           4
         492           4           4           4           0
         494           4           4           4           1
         496           4           4           4           2
