       (0.36362652549025315,-2.17304143827359506E-002)
       (-0.36217017301122467,2.12695309008467809E-002)
       (0.12988699054051769,-7.00811831314740452E-003)
  (8.69497922097038078E-002,-5.96983402065888891E-003)
  (1.15383620836016619E-004,-6.64282773674092816E-005)
 (-1.37204294398923218E-005,-8.88091169856093470E-006)
  (-1.54687460038976942E-004,1.22467991498823709E-004)
  (2.10721601342752805E-004,-1.55032589131085267E-004)
  (2.05860302999472935E-004,-7.08921523435266808E-005)
  (-7.25036109011017120E-005,4.14934063847662355E-005)
 (-4.97750925997958633E-005,-7.95385159948537070E-006)
   (6.90301198964693479E-005,7.81009125410289835E-003)
 (-1.55537416373270225E-004,-1.79687082847747176E-002)
   (2.24769830071855966E-004,2.67919000963628418E-002)
 (-2.42379603553964000E-004,-3.04482005035211258E-002)
  (-5.98856217005623020E-008,3.82613268768806453E-006)
  (4.79803202986083163E-007,-6.97114988636321785E-006)
  (-1.49724029792867866E-006,6.64692802427744549E-006)
  (3.20581164622023447E-006,-1.18731317589979176E-006)
  (-3.25616595942733401E-005,4.53275960304833862E-006)
  (7.47839219186761169E-005,-1.10839436258733850E-005)
  (-1.11183647019657858E-004,1.79011557388589193E-005)
  (1.25693874835733143E-004,-2.27537985851583562E-005)
  (-1.09643072205970241E-005,2.80727765908302456E-005)
  (2.48645306751516097E-005,-6.46341409485081596E-005)
  (-3.62522217627104200E-005,9.63304467690403906E-005)
  (3.96234757411265706E-005,-1.09089132108965272E-004)
  (2.13892062918825746E-005,-4.16759932408099944E-006)
  (-4.90769144360521777E-005,1.01919555677627628E-005)
  (7.28484060668587314E-005,-1.64662046530664978E-005)
  (-8.21194157131978651E-005,2.09471394295512020E-005)
 (-6.47537816958458464E-006,-3.95416219185731367E-003)
   (1.37025246891842989E-005,9.13956990903301396E-003)
 (-1.78398760489303721E-005,-1.37191893698661860E-002)
   (1.55559588483277116E-005,1.57596654802061378E-002)
  (-2.10764625170580455E-005,9.71026126476596608E-006)
  (-1.26459010959580997E-004,6.03174925991097896E-005)
  (6.35059044010299195E-005,-4.24999655377308305E-005)
  (8.10142862624531888E-005,-2.43294916064952957E-005)
       (-0.36217017301122462,2.12695309008467809E-002)
       (0.43362251620218983,-2.49356933061760447E-002)
       (-0.27395402394952706,1.49384170842962790E-002)
  (5.67614784097121017E-002,-1.98579253873324302E-003)
 (-1.37204294398923218E-005,-8.88091169856093470E-006)
  (-1.15039160398251844E-004,1.09484026731825599E-004)
  (2.58176686306987304E-004,-2.11405222680396000E-004)
  (-2.76925842461508346E-004,2.20979344021792281E-004)
  (-2.45994910177458226E-004,9.96825525309698150E-005)
  (1.56025093549919233E-004,-8.82462800208378789E-005)
  (-3.46643848117343629E-005,5.59350178367153597E-005)
 (-5.52233775033237901E-005,-6.69996417431429660E-003)
   (1.28478251095814455E-004,1.61525785988341081E-002)
 (-1.94093912195177385E-004,-2.56643988679969987E-002)
   (2.24016821553235060E-004,3.20052603513852757E-002)
  (4.67847939122867355E-007,-1.05161463033439309E-006)
  (-1.68250700286595352E-006,3.79992051609627220E-007)
   (3.92641897051775588E-006,3.64601037749006125E-006)
 (-7.25459234395948995E-006,-1.13916177887033711E-005)
  (2.77740629235028564E-005,-4.68663365417283755E-006)
  (-6.67052428712476688E-005,1.21325812795532879E-005)
  (1.05377870378046577E-004,-2.09908478937492208E-005)
  (-1.30199577281793255E-004,2.90897076806543374E-005)
  (8.96613922262271214E-006,-2.41398274908460208E-005)
  (-2.10376193539585569E-005,5.79984256369901947E-005)
  (3.21182447267725788E-005,-9.14384556355622941E-005)
  (-3.75827118376059977E-005,1.12136524205712460E-004)
  (-1.81866200943516245E-005,4.31021600290382234E-006)
  (4.35881216638375638E-005,-1.11661699835042666E-005)
  (-6.86449920539982782E-005,1.93414439271631705E-005)
  (8.44002069383630434E-005,-2.68544246179046402E-005)
   (4.09924924889732510E-006,3.44352265257866393E-003)
 (-8.20661260015077301E-006,-8.36156574536042752E-003)
   (9.44071002038456272E-006,1.34151833738473010E-002)
 (-5.33926633162333219E-006,-1.69654682904608160E-002)
  (-8.56690764978223682E-005,4.13697657058338246E-005)
  (1.70919382635824482E-004,-9.74773392331881324E-005)
  (-6.22190131326440016E-005,5.90875285787627623E-005)
  (-8.50413921425614930E-005,2.27741825234993215E-005)
       (0.12988699054051772,-7.00811831314740452E-003)
       (-0.27395402394952711,1.49384170842962790E-002)
       (0.34286616265066627,-1.86318852489808992E-002)
       (-0.28293458117835701,1.50123071877698334E-002)
  (-1.54687460038976942E-004,1.22467991498823709E-004)
  (2.58176686306987304E-004,-2.11405222680396000E-004)
  (-2.90590331340651227E-004,2.48780590988206222E-004)
  (2.51557171094599985E-004,-2.30132748590053632E-004)
  (1.56025093549919206E-004,-8.82462800208378925E-005)
  (-1.98273211205895089E-004,1.18399329206445757E-004)
  (1.65676551786333223E-004,-1.14572698394307135E-004)
  (-1.14636717937857735E-006,7.19072966408248202E-004)
 (-4.29715942821554947E-006,-3.00733370017352555E-003)
   (2.06060502388263832E-005,7.42907583293346378E-003)
 (-4.75149168185245746E-005,-1.38334358851802137E-002)
 (-8.44955207282689723E-007,-3.46762583690437853E-006)
   (2.64645493829262257E-006,8.99905842873663440E-006)
 (-5.63314619190505117E-006,-1.56282361879375924E-005)
   (9.81387735182053338E-006,2.17918088009088884E-005)
  (-2.64237367752523964E-006,1.83609447652466360E-006)
  (1.13478658353959185E-005,-5.77242431587924159E-006)
  (-2.82727105241389481E-005,1.20507938141372139E-005)
  (5.26665686732112162E-005,-2.01609180420785381E-005)
  (-1.29180971495379461E-007,2.47188825267527346E-006)
  (1.47546808212806942E-006,-9.89318629599238416E-006)
  (-4.58369984648095412E-006,2.34665297570509456E-005)
  (9.18700276071606232E-006,-4.16279478189060428E-005)
  (1.60823290243546031E-006,-1.69605640796747351E-006)
  (-7.03524472619321227E-006,5.34462657318866746E-006)
  (1.76479819148441680E-005,-1.11860552971592289E-005)
  (-3.29538169169110037E-005,1.87693364658464964E-005)
  (2.12020850747480611E-006,-4.60461107439099617E-004)
  (-5.53807348576154512E-006,1.80985901115826120E-003)
  (1.00060189528837507E-005,-4.34687108727502616E-003)
  (-1.52346894254393112E-005,7.99044312291098159E-003)
  (2.05423144130449805E-004,-1.07903999559171070E-004)
  (-1.57995925165290021E-004,1.14400888448391573E-004)
