          -4           2           3          -3   4.7359471669340000E-002
          -4           2           1          -1  -5.6431866433850002E-005
          -4           2           3          -1   1.2582743864000000E-005
          -4           3           3          -2  -3.7370372683140001E-010
           4           2           1           1  -4.8425784557760000E-004
           4           2           3           1  -1.0481203193130000E-004
           4           2           3           3   4.7310859053020002E-002
           4           3           3          -3  -5.1710724719950002E-002
           4           3           1          -1  -6.0768806273470003E-004
           4           3           3          -1   1.2572223368660001E-004
