       N2_  0.127663260707E+05  0.700335000000E+01
   177   -->   176    0.4108877379E+03
   178   -->   177    0.4132104044E+03
   179   -->   178    0.4155465770E+03
   180   -->   179    0.4178621536E+03
   181   -->   180    0.4201944803E+03
   182   -->   181    0.4225028445E+03
   183   -->   182    0.4248317985E+03
   184   -->   183    0.4271327658E+03
   185   -->   184    0.4294588845E+03
   186   -->   185    0.4317521753E+03
   187   -->   186    0.4340760392E+03
   188   -->   187    0.4363612961E+03
   189   -->   188    0.4386835719E+03
   190   -->   189    0.4409603370E+03
   191   -->   190    0.4432817926E+03
   192   -->   191    0.4455494886E+03
   193   -->   192    0.4478709714E+03
   194   -->   193    0.4501289232E+03
   195   -->   194    0.4524515998E+03
   196   -->   195    0.4546990220E+03
   197   -->   196    0.4570239860E+03
   198   -->   197    0.4592597525E+03
   199   -->   198    0.4615883947E+03
   200   -->   199    0.4638112136E+03
   201   -->   200    0.4661450753E+03
   202   -->   201    0.4683534039E+03
   203   -->   202    0.4706944282E+03
   204   -->   203    0.4728864661E+03
   205   -->   204    0.4752368893E+03
   206   -->   205    0.4774105336E+03
   207   -->   206    0.4797728730E+03
   208   -->   207    0.4819253451E+03
   209   -->   208    0.4843026605E+03
   210   -->   209    0.4864307791E+03
   211   -->   210    0.4888265235E+03
   212   -->   211    0.4909267498E+03
   213   -->   212    0.4933451127E+03
   214   -->   213    0.4954129507E+03
   215   -->   214    0.4978590331E+03
   216   -->   215    0.4998893202E+03
   217   -->   216    0.5023686351E+03
   218   -->   217    0.5043553145E+03
   219   -->   218    0.5068746828E+03
   220   -->   219    0.5088103937E+03
   221   -->   220    0.5113778374E+03
   222   -->   221    0.5132541652E+03
   223   -->   222    0.5158788716E+03
   224   -->   223    0.5176859377E+03
   225   -->   224    0.5203788900E+03
   226   -->   225    0.5221048909E+03
   227   -->   226    0.5248789340E+03
   228   -->   227    0.5265102205E+03
   229   -->   228    0.5293801570E+03
   230   -->   229    0.5309006749E+03
   231   -->   230    0.5338840038E+03
   232   -->   231    0.5352749702E+03
   233   -->   232    0.5383921272E+03
   234   -->   233    0.5396317095E+03
   235   -->   234    0.5429064298E+03
   236   -->   235    0.5439690565E+03
   237   -->   236    0.5474289430E+03
   238   -->   237    0.5482848652E+03
   239   -->   238    0.5519621092E+03
   240   -->   239    0.5525767980E+03
   241   -->   240    0.5565088121E+03
   242   -->   241    0.5568421128E+03
   243   -->   242    0.5610721740E+03
   244   -->   243    0.5610774751E+03
   245   -->   244    0.5656557285E+03
   246   -->   245    0.5652790925E+03
   247   -->   246    0.5702636054E+03
   248   -->   247    0.5694426904E+03
   249   -->   248    0.5749005286E+03
   250   -->   249    0.5735633310E+03
   251   -->   250    0.5795718124E+03
   252   -->   251    0.5776352955E+03
   253   -->   252    0.5842834574E+03
   254   -->   253    0.5816520542E+03
   255   -->   254    0.5890422955E+03
   256   -->   255    0.5856061975E+03
   257   -->   256    0.5938560979E+03
   258   -->   257    0.5894893455E+03
   259   -->   258    0.5987336743E+03
   260   -->   259    0.5932920208E+03
   261   -->   260    0.6036849773E+03
   262   -->   261    0.5970035283E+03
   263   -->   262    0.6087212195E+03
   264   -->   263    0.6006118082E+03
   265   -->   264    0.6138549781E+03
   266   -->   265    0.6041033188E+03
   267   -->   266    0.6191003701E+03
   268   -->   267    0.6074629405E+03
   269   -->   268    0.6244732083E+03
   270   -->   269    0.6106738101E+03
   271   -->   270    0.6299910798E+03
   272   -->   271    0.6137171380E+03
   273   -->   272    0.6356735001E+03
   274   -->   273    0.6165721314E+03
   275   -->   274    0.6415420885E+03
   276   -->   275    0.6192158654E+03
   277   -->   276    0.6476206710E+03
   278   -->   277    0.6216231451E+03
   279   -->   278    0.6539353672E+03
   280   -->   279    0.6237664260E+03
   281   -->   280    0.6605146889E+03
   282   -->   281    0.6256157656E+03
   283   -->   282    0.6673896449E+03
   284   -->   283    0.6271388274E+03
   285   -->   284    0.6745936395E+03
   286   -->   285    0.6283009163E+03
   287   -->   286    0.6821625673E+03
   288   -->   287    0.6290651060E+03
   289   -->   288    0.6901345074E+03
   290   -->   289    0.6293924253E+03
   291   -->   290    0.6985496477E+03
   292   -->   291    0.6292422772E+03
   293   -->   292    0.7074499260E+03
   294   -->   293    0.6285728078E+03
   295   -->   294    0.7168784390E+03
   296   -->   295    0.6273415722E+03
   297   -->   296    0.7268788739E+03
   298   -->   297    0.6255063860E+03
   299   -->   298    0.7374948279E+03
   300   -->   299    0.6230264233E+03
   301   -->   300    0.7487686995E+03
   302   -->   301    0.6198632833E+03
   303   -->   302    0.7607402974E+03
   304   -->   303    0.6159821923E+03
   305   -->   304    0.7734456899E+03
   306   -->   305    0.6113537416E+03
   307   -->   306    0.7869156244E+03
   308   -->   307    0.6059556493E+03
   309   -->   308    0.8011737867E+03
   310   -->   309    0.5997741536E+03
   311   -->   310    0.8162350520E+03
   312   -->   311    0.5928056091E+03
   313   -->   312    0.8321039484E+03
   314   -->   313    0.5850582266E+03
   315   -->   314    0.8487731196E+03
   316   -->   315    0.5765531883E+03
   317   -->   316    0.8662221183E+03
   318   -->   317    0.5673251788E+03
   319   -->   318    0.8844166865E+03
   320   -->   319    0.5574226438E+03
   321   -->   320    0.9033085668E+03
   322   -->   321    0.5469073421E+03
   323   -->   322    0.9228360051E+03
   324   -->   323    0.5358532100E+03
   325   -->   324    0.9429249590E+03
   326   -->   325    0.5243444086E+03
   327   -->   326    0.9634909506E+03
   328   -->   327    0.5124726926E+03
   329   -->   328    0.9844415738E+03
   330   -->   329    0.5003347001E+03
   331   -->   330    0.1005679465E+04
   332   -->   331    0.4880288374E+03
   333   -->   332    0.1027105428E+04
   334   -->   333    0.4756518820E+03
   335   -->   334    0.1048621612E+04
   336   -->   335    0.4632961959E+03
   337   -->   336    0.1070134501E+04
   338   -->   337    0.4510472930E+03
   339   -->   338    0.1091557417E+04
   340   -->   339    0.4389817015E+03
   341   -->   340    0.1112812490E+04
   342   -->   341    0.4271657193E+03
   343   -->   342    0.1133831992E+04
   344   -->   343    0.4156548829E+03
   345   -->   344    0.1154559019E+04
   346   -->   345    0.4044937926E+03
   347   -->   346    0.1174947621E+04
   348   -->   347    0.3937164043E+03
   349   -->   348    0.1194962468E+04
   350   -->   349    0.3833468320E+03
   351   -->   350    0.1214578098E+04
   352   -->   351    0.3734004184E+03
   353   -->   352    0.1233777924E+04
   354   -->   353    0.3638848423E+03
   355   -->   354    0.1252553133E+04
   356   -->   355    0.3548012320E+03
   357   -->   356    0.1270901560E+04
   358   -->   357    0.3461452588E+03
   359   -->   358    0.1288826544E+04
   360   -->   359    0.3379082436E+03
   361   -->   360    0.1306335825E+04
   362   -->   361    0.3300782411E+03
   363   -->   362    0.1323440536E+04
   364   -->   363    0.3226408705E+03
   365   -->   364    0.1340154364E+04
   366   -->   365    0.3155799639E+03
   367   -->   366    0.1356492821E+04
   368   -->   367    0.3088782420E+03
   369   -->   368    0.1372472598E+04
   370   -->   369    0.3025178518E+03
   371   -->   370    0.1388111054E+04
   372   -->   371    0.2964807483E+03
   373   -->   372    0.1403425807E+04
   374   -->   373    0.2907489730E+03
   375   -->   374    0.1418434419E+04
   376   -->   375    0.2853049664E+03
   377   -->   376    0.1433154115E+04
   378   -->   377    0.2801317213E+03
   379   -->   378    0.1447601601E+04
   380   -->   379    0.2752129647E+03
   381   -->   380    0.1461792936E+04
   382   -->   381    0.2705331538E+03
   383   -->   382    0.1475743425E+04
   384   -->   383    0.2660776279E+03
   385   -->   384    0.1489467541E+04
   386   -->   385    0.2618326420E+03
   387   -->   386    0.1502978923E+04
   388   -->   387    0.2577852820E+03
   389   -->   388    0.1516290376E+04
   390   -->   389    0.2539234830E+03
   391   -->   390    0.1529413851E+04
   392   -->   391    0.2502360831E+03
   393   -->   392    0.1542360506E+04
   394   -->   393    0.2467126555E+03
   395   -->   394    0.1555140819E+04
   396   -->   395    0.2433433430E+03
   397   -->   396    0.1567764613E+04
   398   -->   397    0.2401189632E+03
   399   -->   398    0.1580241005E+04
   400   -->   399    0.2370311076E+03
