 -----------------------------------
  Energy=   6.4603100000000011E-002
 -----------------------------------

 *** Ion channel=      1

   6.4603100000000011E-002      1     -1   7.4143464423573328E-011   6.6816818956420688E-011   3.8187553635810545E-011   3.6996753499500607E-011  -3.8303766016366383E-002  0.25353573072273955     
   6.4603100000000011E-002      2     -1   4.9294023982671674E-012  -4.1619484993646737E-011   2.3511797442848063E-012  -2.2840046444915629E-011 -0.45781065813011440       0.44716821673111073     
   6.4603100000000011E-002      3     -1   4.3663187315507590E-011   1.5337911066681318E-012   1.7380632676502338E-011   5.0144758858591414E-013  0.29220126941137992       -6.9362570961931880E-002
   6.4603100000000011E-002      3     -3  -5.0181745977160517E-011   1.8703482836318250E-013   5.0187037591788332E-011  -1.7602119477646699E-013  -1.8534893288906681E-005   1.9583669340881398E-005
   6.4603100000000011E-002      4     -1  -9.1872530984244797E-012  -2.3817234896854541E-012  -2.4147709098302269E-012  -1.2485315443348836E-012  -1.9389447305134790E-002   2.3344778831132590E-002
   6.4603100000000011E-002      4     -3   8.4165680392278058E-012   8.2024439860422275E-013  -8.4160782313251759E-012  -8.2205396037090363E-013   2.4715476625123697E-005   7.6829877756020062E-007
   6.4603100000000011E-002      5     -1   9.4279825962942578E-013   1.6937095310034188E-013   2.5885831110722041E-013   3.1754161306922787E-014   3.5553457852431553E-003  -2.2892397103572919E-003
   6.4603100000000011E-002      5     -3  -8.2828713002304190E-013  -1.4999729494747070E-013   8.2914597671227493E-013   1.4984527041443189E-013  -2.0567351360457420E-006  -1.4403481871877057E-006
   6.4603100000000011E-002      6     -1  -1.1349464884889875E-013  -1.3505250903365065E-014  -3.3456306000521582E-014  -2.9457694414783556E-015  -3.5425124101403916E-004   2.8349481810855125E-004
   6.4603100000000011E-002      6     -3   6.3631298722769920E-014   1.4461503030840921E-014  -6.3544120419305209E-014  -1.4461740351578148E-014   2.6068703606419735E-007   4.0078299161343922E-007

 *** Ion channel=      2

   6.4603100000000011E-002      2      2  -1.2809347440111553E-013   1.6607909297706276E-014   7.9214448357196475E-014  -2.9926260660411905E-014   3.4544131651665314E-003  -1.1789454885833520E-003
   6.4603100000000011E-002      3      2   2.3424199058584120E-013   1.2754602115123456E-013   2.2128655159120756E-013   1.3802763095669305E-013  -1.0329572078991848E-003  -2.3994336415898368E-004
   6.4603100000000011E-002      4      2  -1.9666129394335350E-014  -4.9078287991211752E-014  -1.9962835573039030E-014  -4.8074275834760705E-014  -1.2017916023367606E-004   1.0215917649956947E-004
   6.4603100000000011E-002      5      2  -7.2611805543741762E-015  -4.1436615933054633E-015  -6.5631767644933415E-015  -5.2695366934369658E-015  -1.1977805034938469E-005   9.4530844898112527E-006
   6.4603100000000011E-002      6      2  -1.6373170744215367E-015   1.7184535730618951E-015  -1.9212898365605650E-015   1.8427059377962609E-015   1.9375972902961117E-006  -5.7164908525808483E-006

 *** Ion channel=      3

   6.4603100000000011E-002      0      0   1.5148997052646964E-011  -1.3842567350805220E-011   1.4952325091688682E-011  -1.3840893645924282E-011  -1.1536403427483034E-002  -6.3088362897925927E-003
   6.4603100000000011E-002      1      0   1.4791089933647268E-011  -9.6454258333070765E-012   1.4893006371982233E-011  -9.5902914158566803E-012  -1.0396959485357635E-002   2.1765260120422635E-002
   6.4603100000000011E-002      2      0  -1.5563066870805522E-011  -2.2363585232225683E-011  -1.5400823674076745E-011  -2.2293022060964831E-011  -6.2049306278153752E-003  -2.1716142234088472E-002
   6.4603100000000011E-002      2     -2  -6.4202162404450600E-012   6.7914024965644913E-012   6.6200240059073481E-012  -7.0229802410539700E-012   4.1496558304654930E-004  -3.8836834042379836E-004
   6.4603100000000011E-002      3      0  -4.1901849714133884E-012   2.5379403715452162E-012  -4.4843219805021994E-012   2.9346423706396146E-012   4.6543843745411963E-002  -2.0380065143649876E-002
   6.4603100000000011E-002      3     -2  -1.7589384133526513E-011  -5.9880808048928157E-014   1.6837151338238082E-011  -2.7992448954044540E-013  -2.3785698860070918E-004   1.0433897070201802E-004
   6.4603100000000011E-002      4      0   1.0062905211210725E-012   6.1651516906310596E-013   7.7805121640530495E-013   3.3093346406075266E-013  -2.4992325907208317E-003  -2.5045195479419288E-004
   6.4603100000000011E-002      4     -2   3.3707250832401496E-012   1.2463326709586291E-012  -3.4723816927609236E-012  -1.1543242814211138E-012  -2.3037118091678426E-004  -4.2219269018851517E-005
   6.4603100000000011E-002      5      0   2.2344268112516130E-013  -1.0053752963613214E-013   2.7971195025902586E-013  -6.6592513802287260E-014   6.3905474375120083E-004  -1.7459973304571660E-004
   6.4603100000000011E-002      5     -2   2.8344686186299850E-013  -5.5692911936486846E-013  -2.8354830775535322E-013   5.8189633900201205E-013  -1.4149815572882242E-005   2.3859289577884044E-005
   6.4603100000000011E-002      6      0   1.5067251686774278E-014  -3.5702740691200014E-014   3.3174138997411409E-015  -3.9135712004069531E-014   1.9843146322748595E-005  -4.4747360346966110E-005
   6.4603100000000011E-002      6     -2  -7.1504681312873968E-014   7.0121987519346070E-014   7.7132900106858622E-014  -7.4979310191660444E-014   2.3333612206577256E-006   3.1311549921912443E-006
