  0.735000008717E-03 -0.436437338591E+00  0.643456950784E-01
  0.147000001743E-02 -0.168975222111E+01  0.371184349060E+00
  0.220500002615E-02 -0.168349993229E+01  0.376928031445E+00
  0.294000003487E-02 -0.167722010612E+01  0.382545471191E+00
  0.367500004359E-02 -0.167091345787E+01  0.388038456440E+00
  0.441000005230E-02 -0.166458117962E+01  0.393409222364E+00
  0.514500029385E-02 -0.165822398663E+01  0.398659467697E+00
  0.588000006974E-02 -0.165184235573E+01  0.403791069984E+00
  0.661499984562E-02 -0.164543747902E+01  0.408805906773E+00
  0.734999962151E-02 -0.163900971413E+01  0.413705706596E+00
  0.808500032872E-02 -0.163256037235E+01  0.418492436409E+00
  0.882000010461E-02 -0.162608921528E+01  0.423167616129E+00
  0.955499988049E-02 -0.161959779263E+01  0.427733212709E+00
  0.102899996564E-01 -0.161308622360E+01  0.432190775871E+00
  0.110250003636E-01 -0.160655546188E+01  0.436542034149E+00
  0.117600001395E-01 -0.160000610352E+01  0.440788805485E+00
  0.124949999154E-01 -0.159343850613E+01  0.444932460785E+00
  0.132299996912E-01 -0.158685338497E+01  0.448974788189E+00
  0.139649994671E-01 -0.158025097847E+01  0.452917277813E+00
  0.147000001743E-01 -0.157363200188E+01  0.456761598587E+00
  0.154349999502E-01 -0.156699740887E+01  0.460509181023E+00
  0.161700006574E-01 -0.156034708023E+01  0.464161604643E+00
  0.169050004333E-01 -0.155368161201E+01  0.467720299959E+00
  0.176400002092E-01 -0.154700183868E+01  0.471186846495E+00
  0.183749999851E-01 -0.154030776024E+01  0.474562525749E+00
  0.191099997610E-01 -0.153360009193E+01  0.477848768234E+00
  0.198449995369E-01 -0.152687919140E+01  0.481047064066E+00
  0.205799993128E-01 -0.152014553547E+01  0.484158664942E+00
  0.213150009513E-01 -0.151339924335E+01  0.487185060978E+00
  0.220500007272E-01 -0.150664091110E+01  0.490127325058E+00
  0.227850005031E-01 -0.149987077713E+01  0.492987066507E+00
  0.235200002789E-01 -0.149308943748E+01  0.495765328407E+00
  0.242550000548E-01 -0.148629689217E+01  0.498463422060E+00
  0.249899998307E-01 -0.147949421406E+01  0.501082599163E+00
  0.257249996066E-01 -0.147268056870E+01  0.503623962402E+00
  0.264599993825E-01 -0.146585738659E+01  0.506088852882E+00
  0.271949991584E-01 -0.145902454853E+01  0.508478403091E+00
  0.279300007969E-01 -0.145218217373E+01  0.510793566704E+00
  0.286650005728E-01 -0.144533073902E+01  0.513035655022E+00
  0.294000003487E-01 -0.143847084045E+01  0.515205860138E+00
  0.301350001246E-01 -0.143160247803E+01  0.517304956913E+00
  0.308699999005E-01 -0.142472589016E+01  0.519334256649E+00
  0.316050015390E-01 -0.141784155369E+01  0.521294772625E+00
  0.323400013149E-01 -0.141094934940E+01  0.523187398911E+00
  0.330750010908E-01 -0.140404999256E+01  0.525013327599E+00
  0.338100008667E-01 -0.139714360237E+01  0.526773393154E+00
  0.345450006425E-01 -0.139023017883E+01  0.528468608856E+00
