  0.735000008717E-03 -0.530347600579E-01 -0.309198021889E+00
  0.147000001743E-02 -0.221212521195E+00 -0.124749863148E+01
  0.220500002615E-02 -0.214571490884E+00 -0.121890878677E+01
  0.294000003487E-02 -0.208016946912E+00 -0.119051897526E+01
  0.367500004359E-02 -0.201548233628E+00 -0.116232931614E+01
  0.441000005230E-02 -0.195164680481E+00 -0.113434004784E+01
  0.514500029385E-02 -0.188865616918E+00 -0.110655081272E+01
  0.588000006974E-02 -0.182650402188E+00 -0.107896208763E+01
  0.661499984562E-02 -0.176518395543E+00 -0.105157387257E+01
  0.734999962151E-02 -0.170468986034E+00 -0.102438592911E+01
  0.808500032872E-02 -0.164501488209E+00 -0.997398257256E+00
  0.882000010461E-02 -0.158615350723E+00 -0.970611035824E+00
  0.955499988049E-02 -0.152809962630E+00 -0.944024264812E+00
  0.102899996564E-01 -0.147084698081E+00 -0.917637526989E+00
  0.110250003636E-01 -0.141438990831E+00 -0.891451060772E+00
  0.117600001395E-01 -0.135872244835E+00 -0.865464508533E+00
  0.124949999154E-01 -0.130383923650E+00 -0.839677870274E+00
  0.132299996912E-01 -0.124973393977E+00 -0.814091026783E+00
  0.139649994671E-01 -0.119640119374E+00 -0.788703620434E+00
  0.147000001743E-01 -0.114383541048E+00 -0.763515591621E+00
  0.154349999502E-01 -0.109203100204E+00 -0.738526642323E+00
  0.161700006574E-01 -0.104098230600E+00 -0.713736653328E+00
  0.169050004333E-01 -0.990683883429E-01 -0.689145267010E+00
  0.176400002092E-01 -0.941130444407E-01 -0.664752185345E+00
  0.183749999851E-01 -0.892316326499E-01 -0.640557229519E+00
  0.191099997610E-01 -0.844236388803E-01 -0.616560041904E+00
  0.198449995369E-01 -0.796884894371E-01 -0.592760384083E+00
  0.205799993128E-01 -0.750256851315E-01 -0.569157779217E+00
  0.213150009513E-01 -0.704346820712E-01 -0.545751929283E+00
  0.220500007272E-01 -0.659149587154E-01 -0.522542536259E+00
  0.227850005031E-01 -0.614659748971E-01 -0.499529063702E+00
  0.235200002789E-01 -0.570872128010E-01 -0.476711332798E+00
  0.242550000548E-01 -0.527781471610E-01 -0.454088807106E+00
  0.249899998307E-01 -0.485382564366E-01 -0.431661039591E+00
  0.257249996066E-01 -0.443670190871E-01 -0.409427613020E+00
  0.264599993825E-01 -0.402639098465E-01 -0.387388080359E+00
  0.271949991584E-01 -0.362284183502E-01 -0.365542054176E+00
  0.279300007969E-01 -0.322600156069E-01 -0.343888908625E+00
  0.286650005728E-01 -0.283581949770E-01 -0.322428256273E+00
  0.294000003487E-01 -0.245224311948E-01 -0.301159590483E+00
  0.301350001246E-01 -0.207522083074E-01 -0.280082434416E+00
  0.308699999005E-01 -0.170470122248E-01 -0.259196192026E+00
  0.316050015390E-01 -0.134063288569E-01 -0.238500326872E+00
  0.323400013149E-01 -0.982963945717E-02 -0.217994377017E+00
  0.330750010908E-01 -0.631642993540E-02 -0.197677701712E+00
  0.338100008667E-01 -0.286618247628E-02 -0.177549794316E+00
  0.345450006425E-01  0.521615322214E-03 -0.157610088587E+00
  0.352800004184E-01  0.384748121724E-02 -0.137857958674E+00
  0.360150001943E-01  0.711193028837E-02 -0.118292845786E+00
  0.367499999702E-01  0.103154759854E-01 -0.989141389728E-01
  0.374849997461E-01  0.134586347267E-01 -0.797212570906E-01
  0.382199995220E-01  0.165419243276E-01 -0.607135370374E-01
  0.389549992979E-01  0.195658560842E-01 -0.418904013932E-01
  0.396899990737E-01  0.225309543312E-01 -0.232511889189E-01
  0.404249988496E-01  0.254377257079E-01 -0.479527749121E-02
  0.411599986255E-01  0.282866880298E-01  0.134779894724E-01
  0.418950021267E-01  0.310783628374E-01  0.315692536533E-01
  0.426300019026E-01  0.338132604957E-01  0.494791716337E-01
  0.433650016785E-01  0.364919044077E-01  0.672084093094E-01
  0.441000014544E-01  0.391148030758E-01  0.847576409578E-01
  0.448350012302E-01  0.416824892163E-01  0.102127552032E+00
  0.455700010061E-01  0.441954545677E-01  0.119318805635E+00
  0.463050007820E-01  0.466542430222E-01  0.136332094669E+00
  0.470400005579E-01  0.490593500435E-01  0.153168126941E+00
  0.477750003338E-01  0.514113008976E-01  0.169827550650E+00
  0.485100001097E-01  0.537106171250E-01  0.186311140656E+00
  0.492449998856E-01  0.559578090906E-01  0.202619522810E+00
  0.499799996614E-01  0.581533908844E-01  0.218753457069E+00
  0.507149994373E-01  0.602978877723E-01  0.234713628888E+00
  0.514499992132E-01  0.623918101192E-01  0.250500828028E+00
  0.521849989891E-01  0.644356757402E-01  0.266115665436E+00
  0.529199987650E-01  0.664300024509E-01  0.281558930874E+00
  0.536549985409E-01  0.683753043413E-01  0.296831399202E+00
  0.543900020421E-01  0.702720880508E-01  0.311933696270E+00
  0.551250018179E-01  0.721208751202E-01  0.326866626740E+00
  0.558600015938E-01  0.739221721888E-01  0.341630905867E+00
  0.565950013697E-01  0.756765007973E-01  0.356227278709E+00
  0.573300011456E-01  0.773843824863E-01  0.370656430721E+00
  0.580650009215E-01  0.790463164449E-01  0.384919226170E+00
  0.588000006974E-01  0.806628093123E-01  0.399016380310E+00
  0.595350004733E-01  0.822343677282E-01  0.412948518991E+00
  0.602700002491E-01  0.837615206838E-01  0.426716506481E+00
  0.610050000250E-01  0.852447673678E-01  0.440321117640E+00
  0.617399998009E-01  0.866846144199E-01  0.453762978315E+00
  0.624749995768E-01  0.880815759301E-01  0.467042982578E+00
  0.632100030780E-01  0.894361287355E-01  0.480161815882E+00
  0.639450028539E-01  0.907488092780E-01  0.493120342493E+00
