           1           0           0           0             (-1.1983630423168334,0.36078724730746564)  (1.29643931382225487E-015,-4.89758776570454053E-016)  (3.48799479178477132E-011,-5.64529716092648696E-012)
           1           0           1          -1   (2.31753221471849625E-011,6.23164514305758116E-011)   (5.50115570911746128E-012,1.89677147478397767E-011)            (-0.27443115307616972,0.38736744302850051)
           1           0           1           0        (9.72017263113734015E-002,0.76646489605615753) (-2.50736431467755411E-017,-8.74746200543127241E-016)  (3.81587968077223263E-012,-1.37350394858301910E-011)
           1           0           1           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           0           2          -2            (0.62035869782714204,-0.17342489355939669)   (1.80897172541126077E-015,1.04253146764077571E-015) (-5.51924375943289568E-011,-3.00940362368763772E-011)
           1           0           2          -1  (2.59987112618929330E-011,-4.88436269805082024E-011)  (1.04914062846200111E-011,-1.46752132457573929E-011)            (-0.74523260462154928,0.26291164592298066)
           1           0           2           0           (-0.44609480120568329,-0.30267613956951539)   (2.14671185091365776E-016,5.45340174104752199E-016)   (1.30818197593054026E-011,5.27589538846070599E-012)
           1           0           2           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           0           2           2 (-9.03214753561024692E-016,-4.26306177408478149E-016)       (0.48190410816797136,-4.07183478277168068E-003) (-6.59151372318563161E-011,-4.37644956724127510E-011)
           1           0           3          -3  (-4.78568219009620699E-011,1.38350966517121201E-012)  (4.78026470015461124E-011,-1.40653471123990783E-012)  (3.98496992440275062E-004,-3.93794997184125073E-005)
           1           0           3          -2       (-0.21146269524398281,2.30568244429797155E-002) (-6.49343063608039507E-016,-3.34331162348930809E-016)   (5.84753878704926626E-011,1.27610436826168120E-011)
           1           0           3          -1  (4.50758622654830781E-011,-2.38101759250865101E-012)  (2.48317097928853142E-011,-5.77397396459056546E-013)        (0.49905492317410444,4.92272095296751588E-002)
           1           0           3           0        (0.23162785438118652,6.49277415452451240E-002) (-4.77507397696943186E-016,-1.36462633740004045E-016) (-5.27832722809717985E-011,-5.92391326686913226E-012)
           1           0           3           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           0           3           2   (5.10725614265797412E-016,1.03360898816909139E-016)      (-0.18670806569329168,-1.06073610047983952E-002)   (6.05142336252807664E-011,1.68199866411805520E-011)
           1           0           3           3               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           0           4          -3   (1.03712205949032368E-011,1.43460927285729290E-012) (-1.03552597355874965E-011,-1.42035217094808237E-012)  (-1.32618570120964527E-004,1.33385102461829409E-006)
           1           0           4          -2   (2.40988547102273104E-002,2.56382741603910537E-003)   (1.41728928368164718E-017,4.81905798507389198E-017) (-1.33508530220881820E-011,-3.90473701358782295E-012)
           1           0           4          -1 (-1.20478537874755646E-011,-2.35849042928095918E-012) (-4.27789884933152974E-012,-1.21093371843589240E-012)  (-5.36482271358572071E-002,1.50750705460538283E-002)
           1           0           4           0 (-2.64717156728432081E-002,-1.39005045060693888E-002)   (1.62362138534840997E-016,1.36958564896496890E-017)   (1.27070880433120265E-011,3.14203976645264709E-012)
           1           0           4           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           0           4           2 (-7.23241174983689393E-017,-2.04153469002884373E-017)   (3.08742664555191927E-002,3.18223898529565365E-003) (-1.32218720407653690E-011,-4.75478649650992888E-012)
           1           0           4           3               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           0           4           4               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           1           3           0        (0.23162785438118652,6.49277415452451240E-002) (-4.77507397696943186E-016,-1.36462633740004045E-016) (-5.27832722809717985E-011,-5.92391326686913226E-012)
           1           1           2           0           (-0.44609480120568329,-0.30267613956951539)   (2.14671185091365776E-016,5.45340174104752199E-016)   (1.30818197593054026E-011,5.27589538846070599E-012)
           1           1           3           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           1           1           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
           1           1           3           2   (5.10725614265797412E-016,1.03360898816909139E-016)      (-0.18670806569329168,-1.06073610047983952E-002)   (6.05142336252807664E-011,1.68199866411805520E-011)
           1           1           2           1               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)
