  0.100773309940E+01 -0.171731980434E-07  0.000000000000E+00  0.294918731037E-15  0.100773309940E+01  0.209006887547E-02
  0.100982316827E+01 -0.285815622711E-07  0.000000000000E+00  0.816905701857E-15  0.100982316827E+01  0.209006887547E-02
  0.101191323715E+01 -0.470532861748E-07  0.000000000000E+00  0.221401173985E-14  0.101191323715E+01  0.209006887547E-02
  0.101400330602E+01 -0.766326884033E-07  0.000000000000E+00  0.587256893191E-14  0.101400330602E+01  0.209006887547E-02
  0.101609337490E+01 -0.123485555768E-06  0.000000000000E+00  0.152486824834E-13  0.101609337490E+01  0.209006887547E-02
  0.101818344377E+01 -0.196906561911E-06  0.000000000000E+00  0.387721941237E-13  0.101818344377E+01  0.209006887547E-02
  0.102027351265E+01 -0.310751456464E-06  0.000000000000E+00  0.965664676947E-13  0.102027351265E+01  0.209006887547E-02
  0.102236358152E+01 -0.485449467197E-06  0.000000000000E+00  0.235661185202E-12  0.102236358152E+01  0.209006887547E-02
  0.102445365040E+01 -0.750797697896E-06  0.000000000000E+00  0.563697183166E-12  0.102445365040E+01  0.209006887547E-02
  0.102654371928E+01 -0.114979681603E-05  0.000000000000E+00  0.132203271816E-11  0.102654371928E+01  0.209006887547E-02
  0.102863378815E+01 -0.174385647655E-05  0.000000000000E+00  0.304103541082E-11  0.102863378815E+01  0.209006887547E-02
  0.103072385703E+01 -0.261978110140E-05  0.000000000000E+00  0.686325301928E-11  0.103072385703E+01  0.209006887547E-02
  0.103281392590E+01 -0.389904266631E-05  0.000000000000E+00  0.152025337137E-10  0.103281392590E+01  0.209006887547E-02
  0.103490399478E+01 -0.574995830852E-05  0.000000000000E+00  0.330620205497E-10  0.103490399478E+01  0.209006887547E-02
  0.103699406365E+01 -0.840351636700E-05  0.000000000000E+00  0.706190873304E-10  0.103699406365E+01  0.209006887547E-02
  0.103908413253E+01 -0.121737358487E-04  0.000000000000E+00  0.148199844513E-09  0.103908413253E+01  0.209006887547E-02
  0.104117420140E+01 -0.174836001373E-04  0.000000000000E+00  0.305676273761E-09  0.104117420140E+01  0.209006887547E-02
  0.104326427028E+01 -0.248977776674E-04  0.000000000000E+00  0.619899332777E-09  0.104326427028E+01  0.209006887547E-02
  0.104535433915E+01 -0.351635259847E-04  0.000000000000E+00  0.123647355968E-08  0.104535433915E+01  0.209006887547E-02
  0.104744440803E+01 -0.492613763585E-04  0.000000000000E+00  0.242668320073E-08  0.104744440803E+01  0.209006887547E-02
  0.104953447691E+01 -0.684674077884E-04  0.000000000000E+00  0.468778592926E-08  0.104953447691E+01  0.209006887547E-02
  0.105162454578E+01 -0.944291479578E-04  0.000000000000E+00  0.891686398403E-08  0.105162454578E+01  0.209006887547E-02
  0.105371461466E+01 -0.129257381905E-03  0.000000000000E+00  0.167074707769E-07  0.105371461466E+01  0.209006887547E-02
  0.105580468353E+01 -0.175636412105E-03  0.000000000000E+00  0.308481492571E-07  0.105580468353E+01  0.209006887547E-02
  0.105789475241E+01 -0.236955598550E-03  0.000000000000E+00  0.561479556842E-07  0.105789475241E+01  0.209006887547E-02
  0.105998482128E+01 -0.317465320053E-03  0.000000000000E+00  0.100784229436E-06  0.105998482128E+01  0.209006887547E-02
  0.106207489016E+01 -0.422460843674E-03  0.000000000000E+00  0.178473164438E-06  0.106207489016E+01  0.209006887547E-02
  0.106416495903E+01 -0.558497975999E-03  0.000000000000E+00  0.311919989195E-06  0.106416495903E+01  0.209006887547E-02
  0.106625502791E+01 -0.733644802772E-03  0.000000000000E+00  0.538234696634E-06  0.106625502791E+01  0.209006887547E-02
  0.106834509678E+01 -0.957774309986E-03  0.000000000000E+00  0.917331628869E-06  0.106834509678E+01  0.209006887547E-02
  0.107043516566E+01 -0.124290322282E-02  0.000000000000E+00  0.154480842130E-05  0.107043516566E+01  0.209006887547E-02
