0.1	-0.08044	-1.118	-1.184	0.04755	-1.474	-0.4492	-0.4495	-0.2957
0.11	-0.06301	-1.104	-1.145	0.05766	-1.348	-0.4445	-0.4462	-0.08567
0.12	-0.04278	-1.097	-1.127	0.0694	-1.317	-0.4407	-0.4437	-0.04413
0.13	-0.01548	-1.092	-1.116	0.08597	-1.302	-0.4374	-0.4418	-0.02628
0.14	0.03068	-1.089	-1.108	0.1166	-1.292	-0.4343	-0.4403	-0.01624
0.15	0.1664	-1.086	-1.102	0.2144	-1.284	-0.4311	-0.439	-0.00972
0.16	-0.3981	-1.084	-1.097	-0.4934	-1.277	-0.4273	-0.4378	-0.005085
0.17	-0.0308	-1.082	-1.093	-0.0902	-1.272	-0.4218	-0.4367	-0.001569
0.18	0.1823	-1.081	-1.089	-0.02221	-1.266	-0.4119	-0.4352	0.001233
0.19	1.308	-1.079	-1.086	0.001768	-1.261	-0.3818	-0.4321	0.003554
0.2	-0.5158	-1.078	-1.083	0.01488	-1.256	-0.7981	-0.4709	0.005543
0.21	-0.3196	-1.076	-1.079	0.02355	-1.25	-0.4774	-0.4396	0.007297
0.22	-0.2482	-1.075	-1.076	0.02998	-1.244	-0.4566	-0.4373	0.008885
0.23	-0.2099	-1.074	-1.073	0.03515	-1.237	-0.4485	-0.4361	0.01036
0.24	-0.1851	-1.072	-1.07	0.03955	-1.228	-0.4439	-0.4352	0.01176
0.25	-0.167	-1.07	-1.066	0.0435	-1.218	-0.4406	-0.4344	0.01312
0.26	-0.1527	-1.068	-1.062	0.04721	-1.204	-0.438	-0.4335	0.01447
0.27	-0.1405	-1.065	-1.057	0.05085	-1.184	-0.4355	-0.4325	0.01585
0.28	-0.1296	-1.062	-1.05	0.05458	-1.152	-0.433	-0.4312	0.01729
0.29	-0.1191	-1.058	-1.041	0.0586	-1.089	-0.4303	-0.4296	0.01886
0.3	-0.1084	-1.05	-1.028	0.0632	-0.9088	-0.4269	-0.4274	0.0206
0.31	-0.0964	-1.037	-1.003	0.06894	0.4765	-0.4223	-0.4241	0.02263
0.32	-0.0813	-0.9982	-0.9287	0.07698	1.563	-0.4151	-0.4186	0.02511
0.33	-0.05794	-1.116	-1.153	0.09077	1.718592653589793	-0.4015	-0.4076	0.02835
0.34	-8.103E-4	-1.43	-1.652	0.1274	1.7805926535897931	-0.3624	-0.3741	0.03298
0.35	-1.245	-0.8657	-1.181	-0.548	1.906592653589793	-0.1611	-0.1519	0.04298
0.36	-0.1734	-1.119	-1.105	-0.003195	1.831592653589793	-0.5216	-0.5061	0.05441
0.37	-0.115	-1.048	-0.967	0.03753	1.8845926535897932	-0.4781	-0.4732	0.1024
0.38	-0.08304	-1.136	-1.197	0.05633	1.5845926535897932	-0.4633	-0.4622	-0.3972
0.39	-0.04947	-1.111	-1.137	0.07485	1.799592653589793	-0.455	-0.4566	-0.04529
0.4	0.01022	-1.102	-1.119	0.1115	1.827592653589793	-0.4488	-0.453	-0.0159
0.41	1.018	-1.097	-1.108	0.7048	1.8425926535897932	-0.4423	-0.4504	-0.0046
0.42	0.05189	-1.093	-1.1	-0.03481	1.8545926535897932	-0.4315	-0.4478	0.001662
0.43	-1.087	-1.089	-1.094	0.01473	1.8665926535897932	-0.3658	-0.4403	0.005852
0.44	-0.3086	-1.086	-1.088	0.03149	1.8785926535897932	-0.482	-0.4501	0.009027
0.45	-0.2146	-1.083	-1.082	0.04111	1.8935926535897931	-0.4592	-0.4468	0.01167
0.46	-0.1744	-1.079	-1.076	0.04818	1.9135926535897931	-0.4516	-0.4448	0.01407
0.47	-0.1493	-1.075	-1.068	0.05436	1.948592653589793	-0.4465	-0.4427	0.01643
0.48	-0.1296	-1.068	-1.056	0.06064	2.036592653589793	-0.4416	-0.4401	0.01894
0.49	-0.1104	-1.055	-1.032	0.06827	2.804392653589793	-0.4353	-0.4358	0.02189
0.5	-0.08589	-0.994	-0.9163	0.08047	1.6265926535897932	-0.4237	-0.427	0.02584
