073.000000000	∞	000.233786347	000.026538147	000.018570090	000.002890569	000.000461397
074.000000000	∞	000.231468833	000.026366772	000.018462121	000.002874773	000.000459294
075.000000000	∞	000.229198816	000.026197433	000.018355150	000.002859097	000.000457195
076.000000000	∞	000.226974834	000.026030111	000.018249182	000.002843543	000.000455101
077.000000000	∞	000.224795486	000.025864784	000.018144218	000.002828113	000.000453014
078.000000000	∞	000.222659427	000.025701431	000.018040261	000.002812807	000.000450934
079.000000000	∞	000.220565364	000.025540029	000.017937309	000.002797628	000.000448861
080.000000000	∞	000.218512056	000.025380555	000.017835361	000.002782576	000.000446797
081.000000000	∞	000.216498312	000.025222985	000.017734414	000.002767652	000.000444742
082.000000000	∞	000.214522985	000.025067295	000.017634466	000.002752857	000.000442696
083.000000000	∞	000.212584974	000.024913462	000.017535510	000.002738191	000.000440661
084.000000000	∞	000.210683217	000.024761460	000.017437544	000.002723654	000.000438636
085.000000000	∞	000.208816695	000.024611266	000.017340559	000.002709246	000.000436622
086.000000000	∞	000.206984426	000.024462854	000.017244552	000.002694968	000.000434619
087.000000000	∞	000.205185463	000.024316200	000.017149513	000.002680818	000.000432628
088.000000000	∞	000.203418895	000.024171279	000.017055437	000.002666797	000.000430648
089.000000000	∞	000.201683844	000.024028066	000.016962315	000.002652905	000.000428681
090.000000000	∞	000.199979464	000.023886538	000.016870138	000.002639140	000.000426726
091.000000000	∞	000.198304937	000.023746669	000.016778900	000.002625502	000.000424784
092.000000000	∞	000.196659476	000.023608435	000.016688590	000.002611990	000.000422854
093.000000000	∞	000.195042322	000.023471813	000.016599201	000.002598605	000.000420937
094.000000000	∞	000.193452740	000.023336778	000.016510721	000.002585344	000.000419034
095.000000000	∞	000.191890021	000.023203306	000.016423144	000.002572207	000.000417143
096.000000000	∞	000.190353483	000.023071375	000.016336458	000.002559194	000.000415265
097.000000000	∞	000.188842464	000.022940961	000.016250654	000.002546302	000.000413401
098.000000000	∞	000.187356324	000.022812042	000.016165723	000.002533532	000.000411550
099.000000000	∞	000.185894446	000.022684594	000.016081655	000.002520882	000.000409713
100.000000000	∞	000.184456233	000.022558596	000.015998439	000.002508351	000.000407889
101.000000000	∞	000.183041107	000.022434024	000.015916067	000.002495938	000.000406078
102.000000000	∞	000.181648509	000.022310859	000.015834528	000.002483642	000.000404281
103.000000000	∞	000.180277898	000.022189078	000.015753812	000.002471462	000.000402497
104.000000000	∞	000.178928750	000.022068659	000.015673909	000.002459397	000.000400726
105.000000000	∞	000.177600559	000.021949583	000.015594810	000.002447446	000.000398969
106.000000000	∞	000.176292833	000.021831829	000.015516505	000.002435606	000.000397226
107.000000000	∞	000.175005095	000.021715376	000.015438983	000.002423879	000.000395495
108.000000000	∞	000.173736886	000.021600205	000.015362236	000.002412261	000.000393778
109.000000000	∞	000.172487757	000.021486296	000.015286253	000.002400752	000.000392075
110.000000000	∞	000.171257276	000.021373630	000.015211025	000.002389351	000.000390384
111.000000000	∞	000.170045022	000.021262187	000.015136542	000.002378057	000.000388707
112.000000000	∞	000.168850588	000.021151950	000.015062795	000.002366868	000.000387042
113.000000000	∞	000.167673577	000.021042900	000.014989775	000.002355783	000.000385391
114.000000000	∞	000.166513607	000.020935019	000.014917471	000.002344801	000.000383752
115.000000000	∞	000.165370304	000.020828289	000.014845876	000.002333922	000.000382127
116.000000000	∞	000.164243307	000.020722693	000.014774979	000.002323143	000.000380514
117.000000000	∞	000.163132265	000.020618214	000.014704772	000.002312463	000.000378914
118.000000000	∞	000.162036835	000.020514835	000.014635246	000.002301882	000.000377326
119.000000000	∞	000.160956688	000.020412539	000.014566392	000.002291399	000.000375751
120.000000000	∞	000.159891499	000.020311310	000.014498201	000.002281011	000.000374188
121.000000000	∞	000.158840958	000.020211133	000.014430665	000.002270719	000.000372638
122.000000000	∞	000.157804758	000.020111991	000.014363775	000.002260520	000.000371100
123.000000000	∞	000.156782605	000.020013869	000.014297523	000.002250415	000.000369574
124.000000000	∞	000.155774211	000.019916752	000.014231899	000.002240401	000.000368060
125.000000000	∞	000.154779294	000.019820625	000.014166898	000.002230477	000.000366558
126.000000000	∞	000.153797584	000.019725473	000.014102509	000.002220643	000.000365068
127.000000000	∞	000.152828815	000.019631283	000.014038725	000.002210898	000.000363589
128.000000000	∞	000.151872730	000.019538040	000.013975539	000.002201240	000.000362122
129.000000000	∞	000.150929076	000.019445730	000.013912941	000.002191668	000.000360667
130.000000000	∞	000.149997610	000.019354339	000.013850926	000.002182181	000.000359223
131.000000000	∞	000.149078094	000.019263855	000.013789485	000.002172779	000.000357791
132.000000000	∞	000.148170296	000.019174264	000.013728611	000.002163460	000.000356369
133.000000000	∞	000.147273990	000.019085553	000.013668296	000.002154224	000.000354959
134.000000000	∞	000.146388956	000.018997710	000.013608533	000.002145068	000.000353560
135.000000000	∞	000.145514979	000.018910722	000.013549315	000.002135993	000.000352172
136.000000000	∞	000.144651851	000.018824576	000.013490635	000.002126998	000.000350794
137.000000000	∞	000.143799368	000.018739262	000.013432486	000.002118080	000.000349428
138.000000000	∞	000.142957331	000.018654766	000.013374861	000.002109240	000.000348072
139.000000000	∞	000.142125547	000.018571079	000.013317754	000.002100477	000.000346726
140.000000000	∞	000.141303827	000.018488187	000.013261157	000.002091789	000.000345391
141.000000000	∞	000.140491986	000.018406080	000.013205065	000.002083175	000.000344066
142.000000000	∞	000.139689845	000.018324748	000.013149470	000.002074636	000.000342752
143.000000000	∞	000.138897228	000.018244178	000.013094367	000.002066169	000.000341447
144.000000000	∞	000.138113965	000.018164361	000.013039750	000.002057774	000.000340153
145.000000000	∞	000.137339887	000.018085287	000.012985611	000.002049451	000.000338868
146.000000000	∞	000.136574833	000.018006944	000.012931945	000.002041198	000.000337593
147.000000000	∞	000.135818643	000.017929323	000.012878746	000.002033014	000.000336328
148.000000000	∞	000.135071162	000.017852414	000.012826009	000.002024899	000.000335073
149.000000000	∞	000.134332237	000.017776208	000.012773727	000.002016851	000.000333827
150.000000000	∞	000.133601720	000.017700694	000.012721894	000.002008871	000.000332591
151.000000000	∞	000.132879468	000.017625864	000.012670505	000.002000956	000.000331364
152.000000000	∞	000.132165337	000.017551708	000.012619555	000.001993108	000.000330146
153.000000000	∞	000.131459190	000.017478217	000.012569038	000.001985323	000.000328937
154.000000000	∞	000.130760892	000.017405383	000.012518948	000.001977603	000.000327738
155.000000000	∞	000.130070311	000.017333195	000.012469281	000.001969946	000.000326547
156.000000000	∞	000.129387317	000.017261647	000.012420031	000.001962351	000.000325365
157.000000000	∞	000.128711784	000.017190729	000.012371193	000.001954818	000.000324192
158.000000000	∞	000.128043589	000.017120434	000.012322762	000.001947345	000.000323028
159.000000000	∞	000.127382611	000.017050752	000.012274733	000.001939933	000.000321872
160.000000000	∞	000.126728733	000.016981677	000.012227101	000.001932580	000.000320725
161.000000000	∞	000.126081838	000.016913199	000.012179861	000.001925287	000.000319587
162.000000000	∞	000.125441813	000.016845312	000.012133009	000.001918051	000.000318456
163.000000000	∞	000.124808549	000.016778007	000.012086539	000.001910873	000.000317334
164.000000000	∞	000.124181937	000.016711278	000.012040448	000.001903751	000.000316220
165.000000000	∞	000.123561871	000.016645116	000.011994730	000.001896686	000.000315115
166.000000000	∞	000.122948247	000.016579515	000.011949381	000.001889676	000.000314017
167.000000000	∞	000.122340965	000.016514467	000.011904397	000.001882721	000.000312927
168.000000000	∞	000.121739924	000.016449966	000.011859774	000.001875820	000.000311845
169.000000000	∞	000.121145029	000.016386004	000.011815507	000.001868973	000.000310771
170.000000000	∞	000.120556183	000.016322575	000.011771592	000.001862179	000.000309705
171.000000000	∞	000.119973293	000.016259672	000.011728024	000.001855437	000.000308646
172.000000000	∞	000.119396268	000.016197289	000.011684800	000.001848747	000.000307595
173.000000000	∞	000.118825019	000.016135418	000.011641916	000.001842108	000.000306551
174.000000000	∞	000.118259458	000.016074054	000.011599367	000.001835520	000.000305515
175.000000000	∞	000.117699499	000.016013191	000.011557151	000.001828982	000.000304486
176.000000000	∞	000.117145059	000.015952821	000.011515262	000.001822493	000.000303464
177.000000000	∞	000.116596054	000.015892940	000.011473697	000.001816053	000.000302449
178.000000000	∞	000.116052404	000.015833542	000.011432453	000.001809662	000.000301442
179.000000000	∞	000.115514031	000.015774619	000.011391525	000.001803319	000.000300441
180.000000000	∞	000.114980855	000.015716167	000.011350911	000.001797023	000.000299448
181.000000000	∞	000.114452802	000.015658180	000.011310606	000.001790773	000.000298461
