           1           0           4          -4           1           0           0           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           1          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           1           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           1           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           2          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           2          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           2           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           2           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           2           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           3          -3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           3          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           3          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           3           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           3           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           3           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           3           3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4          -4             (-14.281038284301758,-9.9983711242675781)
           1           0           4          -4           1           0           4          -3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4           3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           1           0           4           4               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           0           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           1          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           1           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           1           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           2          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           2          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           2           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           2           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           2           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           3          -3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           3          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           3          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           3           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           3           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           3           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           3           3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4          -4               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4          -3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4           3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           2           0           4           4               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           0           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           1          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           1           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           1           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           2          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           2          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           2           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           2           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           2           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           3          -3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           3          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           3          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           3           0               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           3           1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           3           2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           3           3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           4          -4               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           4          -3               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           4          -2               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           4          -1               (0.0000000000000000,0.0000000000000000)
           1           0           4          -4           3           0           4           0               (0.0000000000000000,0.0000000000000000)
