 vp =            0 v_pp =            0 D =    52094.053662354680     

 vp =            0 v_pp =            1 D =    71666.424940240235     

 vp =            0 v_pp =            2 D =    49801.690608436380     

 vp =            0 v_pp =            3 D =    26445.625008625288     

 vp =            1 v_pp =            0 D =    17516.747722947410     

 vp =            1 v_pp =            1 D =    2384.8482968053609     

 vp =            1 v_pp =            2 D =    43761.160877258248     

 vp =            1 v_pp =            3 D =    72027.117621175115     

 vp =            2 v_pp =            0 D =    1836.8412606352415     

 vp =            2 v_pp =            1 D =    12151.143709637681     

 vp =            2 v_pp =            2 D =    2008.4993434943124     

 vp =            2 v_pp =            3 D =    9301.0322553706192     

 vp =            3 v_pp =            0 D =    42.483826627922852     

 vp =            3 v_pp =            1 D =    2748.1783068655627     

 vp =            3 v_pp =            2 D =    7696.6935423175692     

 vp =            3 v_pp =            3 D =    16132.200494098637     

