 vp =            0 v_pp =            0 D =   0.67953650192952553     

 vp =            0 v_pp =            1 D =   0.29792356121741648     

 vp =            0 v_pp =            2 D =    4.2117561819636995E-002

 vp =            0 v_pp =            3 D =    6.1448264200242200E-004

 vp =            1 v_pp =            0 D =   0.25239015509301299     

 vp =            1 v_pp =            1 D =   0.24951980707517182     

 vp =            1 v_pp =            2 D =   0.37073840971559585     

 vp =            1 v_pp =            3 D =   0.12509423668032144     

 vp =            2 v_pp =            0 D =    6.2236220155897547E-002

 vp =            2 v_pp =            1 D =   0.31596974123787813     

 vp =            2 v_pp =            2 D =    9.8547336467754654E-002

 vp =            2 v_pp =            3 D =   0.51489469249176911     

 vp =            3 v_pp =            0 D =    1.6108807143168358E-002

 vp =            3 v_pp =            1 D =   0.17221497519236537     

 vp =            3 v_pp =            2 D =   0.21546703394297401     

 vp =            3 v_pp =            3 D =    2.3499108041124935E-002

