       N2_  0.127663260707E+05  0.700335000000E+01
   177   -->   176    0.6965093007E+03
   178   -->   177    0.6993791206E+03
   179   -->   178    0.7040522633E+03
   180   -->   179    0.7067051418E+03
   181   -->   180    0.7116012533E+03
   182   -->   181    0.7139883902E+03
   183   -->   182    0.7191615034E+03
   184   -->   183    0.7212232872E+03
   185   -->   184    0.7267396900E+03
   186   -->   185    0.7284033479E+03
   187   -->   186    0.7343435176E+03
   188   -->   187    0.7355200475E+03
   189   -->   188    0.7419818551E+03
   190   -->   189    0.7425633752E+03
   191   -->   190    0.7496657855E+03
   192   -->   191    0.7495214329E+03
   193   -->   192    0.7574082557E+03
   194   -->   193    0.7563795717E+03
   195   -->   194    0.7652244832E+03
   196   -->   195    0.7631204375E+03
   197   -->   196    0.7731328456E+03
   198   -->   197    0.7697236727E+03
   199   -->   198    0.7811551788E+03
   200   -->   199    0.7761651373E+03
   201   -->   200    0.7893171341E+03
   202   -->   201    0.7824162927E+03
   203   -->   202    0.7976488502E+03
   204   -->   203    0.7884436766E+03
   205   -->   204    0.8061856445E+03
   206   -->   205    0.7942082836E+03
   207   -->   206    0.8149687626E+03
   208   -->   207    0.7996647936E+03
   209   -->   208    0.8240459452E+03
   210   -->   209    0.8047607415E+03
   211   -->   210    0.8334722859E+03
   212   -->   211    0.8094359824E+03
   213   -->   212    0.8433110130E+03
   214   -->   213    0.8136218815E+03
   215   -->   214    0.8536340806E+03
   216   -->   215    0.8172407906E+03
   217   -->   216    0.8645228590E+03
   218   -->   217    0.8202057167E+03
   219   -->   218    0.8760684952E+03
   220   -->   219    0.8224200778E+03
   221   -->   220    0.8883720284E+03
   222   -->   221    0.8237781699E+03
   223   -->   222    0.9015440435E+03
   224   -->   223    0.8241659636E+03
   225   -->   224    0.9157040031E+03
   226   -->   225    0.8234626932E+03
   227   -->   226    0.9309783220E+03
   228   -->   227    0.8215433579E+03
   229   -->   228    0.9474981886E+03
   230   -->   229    0.8182825135E+03
   231   -->   230    0.9653957359E+03
   232   -->   231    0.8135584167E+03
   233   -->   232    0.9847987364E+03
   234   -->   233    0.8072589667E+03
   235   -->   234    0.1005825024E+04
   236   -->   235    0.7992896382E+03
   237   -->   236    0.1028574972E+04
   238   -->   237    0.7895808537E+03
   239   -->   238    0.1053122796E+04
   240   -->   239    0.7780967302E+03
   241   -->   240    0.1079508336E+04
   242   -->   241    0.7648439806E+03
   243   -->   242    0.1107728428E+04
   244   -->   243    0.7498780659E+03
   245   -->   244    0.1137729786E+04
   246   -->   245    0.7333077627E+03
   247   -->   246    0.1169404946E+04
   248   -->   247    0.7152959145E+03
   249   -->   248    0.1202591639E+04
   250   -->   249    0.6960550653E+03
   251   -->   250    0.1237076795E+04
   252   -->   251    0.6758383512E+03
   253   -->   252    0.1272605463E+04
   254   -->   253    0.6549271413E+03
   255   -->   254    0.1308893962E+04
   256   -->   255    0.6336149498E+03
   257   -->   256    0.1345645327E+04
   258   -->   257    0.6121910091E+03
   259   -->   258    0.1382566060E+04
   260   -->   259    0.5909256614E+03
   261   -->   260    0.1419381107E+04
   262   -->   261    0.5700579446E+03
   263   -->   262    0.1455846081E+04
   264   -->   263    0.5497881001E+03
   265   -->   264    0.1491755521E+04
   266   -->   265    0.5302733371E+03
   267   -->   266    0.1526946835E+04
   268   -->   267    0.5116277046E+03
   269   -->   268    0.1561300545E+04
   270   -->   269    0.4939254493E+03
   271   -->   270    0.1594737423E+04
   272   -->   271    0.4772055810E+03
   273   -->   272    0.1627213691E+04
   274   -->   273    0.4614777561E+03
   275   -->   274    0.1658715142E+04
   276   -->   275    0.4467287303E+03
   277   -->   276    0.1689250890E+04
   278   -->   277    0.4329282588E+03
   279   -->   278    0.1718847527E+04
   280   -->   279    0.4200341891E+03
   281   -->   280    0.1747543965E+04
   282   -->   281    0.4079967615E+03
   283   -->   282    0.1775387062E+04
   284   -->   283    0.3967622498E+03
   285   -->   284    0.1802428083E+04
   286   -->   285    0.3862756018E+03
   287   -->   286    0.1828720017E+04
   288   -->   287    0.3764823493E+03
   289   -->   288    0.1854315644E+04
   290   -->   289    0.3673299249E+03
   291   -->   290    0.1879266135E+04
   292   -->   291    0.3587685887E+03
   293   -->   292    0.1903620211E+04
   294   -->   293    0.3507517874E+03
   295   -->   294    0.1927423685E+04
   296   -->   295    0.3432363176E+03
   297   -->   296    0.1950719273E+04
   298   -->   297    0.3361822191E+03
   299   -->   298    0.1973546565E+04
   300   -->   299    0.3295528092E+03
   301   -->   300    0.1995942090E+04
   302   -->   301    0.3233143680E+03
   303   -->   302    0.2017939468E+04
   304   -->   303    0.3174359494E+03
   305   -->   304    0.2039569402E+04
   306   -->   305    0.3118897045E+03
   307   -->   306    0.2060859818E+04
   308   -->   307    0.3066502938E+03
   309   -->   308    0.2081836229E+04
   310   -->   309    0.3016944376E+03
   311   -->   310    0.2102521877E+04
   312   -->   311    0.2970012493E+03
   313   -->   312    0.2122937853E+04
   314   -->   313    0.2925516989E+03
   315   -->   314    0.2143103396E+04
   316   -->   315    0.2883283828E+03
   317   -->   316    0.2163036044E+04
   318   -->   317    0.2843155665E+03
   319   -->   318    0.2182751767E+04
   320   -->   319    0.2804988785E+03
   321   -->   320    0.2202265218E+04
   322   -->   321    0.2768650473E+03
   323   -->   322    0.2221589812E+04
   324   -->   323    0.2734020299E+03
   325   -->   324    0.2240737784E+04
   326   -->   325    0.2700988877E+03
   327   -->   326    0.2259720370E+04
   328   -->   327    0.2669454036E+03
   329   -->   328    0.2278547892E+04
   330   -->   329    0.2639323688E+03
   331   -->   330    0.2297229763E+04
   332   -->   331    0.2610513401E+03
   333   -->   332    0.2315774589E+04
   334   -->   333    0.2582946136E+03
   335   -->   334    0.2334190223E+04
   336   -->   335    0.2556552158E+03
   337   -->   336    0.2352483890E+04
   338   -->   337    0.2531266066E+03
   339   -->   338    0.2370662249E+04
   340   -->   339    0.2507028556E+03
   341   -->   340    0.2388731376E+04
   342   -->   341    0.2483785784E+03
   343   -->   342    0.2406696869E+04
   344   -->   343    0.2461487291E+03
   345   -->   344    0.2424563922E+04
   346   -->   345    0.2440086701E+03
   347   -->   346    0.2442337374E+04
   348   -->   347    0.2419540225E+03
   349   -->   348    0.2460021744E+04
   350   -->   349    0.2399807251E+03
   351   -->   350    0.2477621225E+04
   352   -->   351    0.2380850398E+03
   353   -->   352    0.2495139766E+04
   354   -->   353    0.2362633406E+03
   355   -->   354    0.2512581110E+04
   356   -->   355    0.2345122385E+03
   357   -->   356    0.2529948746E+04
   358   -->   357    0.2328286112E+03
   359   -->   358    0.2547245943E+04
   360   -->   359    0.2312094837E+03
   361   -->   360    0.2564475791E+04
   362   -->   361    0.2296520398E+03
   363   -->   362    0.2581641148E+04
   364   -->   363    0.2281537543E+03
   365   -->   364    0.2598744623E+04
   366   -->   365    0.2267123195E+03
   367   -->   366    0.2615788666E+04
   368   -->   367    0.2253254871E+03
   369   -->   368    0.2632775575E+04
   370   -->   369    0.2239912286E+03
   371   -->   370    0.2649707466E+04
   372   -->   371    0.2227076623E+03
   373   -->   372    0.2666586357E+04
   374   -->   373    0.2214729296E+03
   375   -->   374    0.2683414223E+04
   376   -->   375    0.2202851940E+03
   377   -->   376    0.2700192914E+04
   378   -->   377    0.2191428334E+03
   379   -->   378    0.2716924121E+04
   380   -->   379    0.2180443474E+03
   381   -->   380    0.2733609458E+04
   382   -->   381    0.2169882390E+03
   383   -->   382    0.2750250470E+04
   384   -->   383    0.2159731245E+03
   385   -->   384    0.2766848596E+04
   386   -->   385    0.2149977115E+03
   387   -->   386    0.2783405175E+04
   388   -->   387    0.2140608157E+03
   389   -->   388    0.2799921449E+04
   390   -->   389    0.2131613311E+03
   391   -->   390    0.2816398600E+04
   392   -->   391    0.2122981792E+03
   393   -->   392    0.2832837784E+04
   394   -->   393    0.2114702858E+03
   395   -->   394    0.2849240064E+04
   396   -->   395    0.2106767540E+03
   397   -->   396    0.2865606400E+04
   398   -->   397    0.2099167298E+03
   399   -->   398    0.2881937724E+04
   400   -->   399    0.2091893471E+03
   401   -->   400    0.2898234921E+04
   402   -->   401    0.2084938422E+03
   403   -->   402    0.2914498832E+04
   404   -->   403    0.2078294297E+03
   405   -->   404    0.2930730257E+04
   406   -->   405    0.2071954197E+03
   407   -->   406    0.2946929944E+04
   408   -->   407    0.2065911422E+03
   409   -->   408    0.2963098668E+04
   410   -->   409    0.2060158233E+03
   411   -->   410    0.2979237193E+04
   412   -->   411    0.2054688049E+03
   413   -->   412    0.2995346260E+04
   414   -->   413    0.2049493737E+03
   415   -->   414    0.3011426586E+04
   416   -->   415    0.2044568810E+03
   417   -->   416    0.3027478731E+04
   418   -->   417    0.2039909680E+03
   419   -->   418    0.3043503228E+04
   420   -->   419    0.2035510480E+03
   421   -->   420    0.3059500698E+04
   422   -->   421    0.2031365087E+03
   423   -->   422    0.3075471645E+04
   424   -->   423    0.2027470469E+03
   425   -->   424    0.3091416474E+04
   426   -->   425    0.2023822649E+03
   427   -->   426    0.3107335630E+04
   428   -->   427    0.2020417253E+03
   429   -->   428    0.3123229489E+04
   430   -->   429    0.2017251922E+03
   431   -->   430    0.3139098332E+04
   432   -->   431    0.2014324432E+03
   433   -->   432    0.3154942546E+04
   434   -->   433    0.2011629853E+03
   435   -->   434    0.3170762519E+04
   436   -->   435    0.2009165772E+03
   437   -->   436    0.3186558545E+04
   438   -->   437    0.2006929690E+03
   439   -->   438    0.3202330973E+04
   440   -->   439    0.2004917579E+03
   441   -->   440    0.3218080166E+04
   442   -->   441    0.2003126662E+03
   443   -->   442    0.3233806425E+04
   444   -->   443    0.2001554258E+03
   445   -->   444    0.3249509983E+04
   446   -->   445    0.2000198981E+03
   447   -->   446    0.3265191028E+04
   448   -->   447    0.1999059174E+03
   449   -->   448    0.3280849813E+04
   450   -->   449    0.1998131816E+03
   451   -->   450    0.3296486598E+04
   452   -->   451    0.1997415071E+03
   453   -->   452    0.3312101537E+04
   454   -->   453    0.1996908300E+03
   455   -->   454    0.3327694779E+04
   456   -->   455    0.1996609730E+03
   457   -->   456    0.3343266557E+04
   458   -->   457    0.1996516705E+03
   459   -->   458    0.3358817049E+04
   460   -->   459    0.1996628609E+03
   461   -->   460    0.3374346276E+04
   462   -->   461    0.1996946291E+03
   463   -->   462    0.3389854261E+04
   464   -->   463    0.1997468996E+03
   465   -->   464    0.3405341110E+04
   466   -->   465    0.1998195663E+03
   467   -->   466    0.3420806930E+04
   468   -->   467    0.1999125510E+03
   469   -->   468    0.3436251827E+04
   470   -->   469    0.2000257654E+03
   471   -->   470    0.3451675916E+04
   472   -->   471    0.2001590901E+03
   473   -->   472    0.3467079330E+04
   474   -->   473    0.2003124152E+03
   475   -->   474    0.3482462234E+04
   476   -->   475    0.2004855307E+03
   477   -->   476    0.3497824717E+04
   478   -->   477    0.2006784866E+03
   479   -->   478    0.3513166745E+04
   480   -->   479    0.2008913558E+03
   481   -->   480    0.3528488286E+04
   482   -->   481    0.2011241383E+03
   483   -->   482    0.3543789132E+04
   484   -->   483    0.2013773036E+03
   485   -->   484    0.3559069123E+04
   486   -->   485    0.2016507898E+03
   487   -->   486    0.3574328434E+04
   488   -->   487    0.2019442353E+03
   489   -->   488    0.3589566979E+04
   490   -->   489    0.2022582049E+03
   491   -->   490    0.3604784411E+04
   492   -->   491    0.2025929368E+03
   493   -->   492    0.3619980658E+04
   494   -->   493    0.2029483209E+03
   495   -->   494    0.3635155652E+04
   496   -->   495    0.2033246128E+03
   497   -->   496    0.3650309171E+04
   498   -->   497    0.2037220740E+03
   499   -->   498    0.3665441261E+04
   500   -->   499    0.2041403479E+03
   501   -->   500    0.3680551999E+04
   502   -->   501    0.2045795885E+03
   503   -->   502    0.3695641165E+04
   504   -->   503    0.2050401828E+03
   505   -->   504    0.3710708695E+04
   506   -->   505    0.2055218645E+03
   507   -->   506    0.3725754581E+04
   508   -->   507    0.2060248947E+03
   509   -->   508    0.3740778597E+04
   510   -->   509    0.2065495188E+03
   511   -->   510    0.3755780486E+04
   512   -->   511    0.2070960164E+03
   513   -->   512    0.3770759960E+04
   514   -->   513    0.2076647407E+03
   515   -->   514    0.3785716909E+04
   516   -->   515    0.2082555531E+03
   517   -->   516    0.3800651291E+04
   518   -->   517    0.2088686341E+03
   519   -->   518    0.3815562735E+04
   520   -->   519    0.2095046123E+03
   521   -->   520    0.3830450844E+04
   522   -->   521    0.2101636976E+03
   523   -->   522    0.3845315477E+04
   524   -->   523    0.2108459287E+03
   525   -->   524    0.3860156294E+04
   526   -->   525    0.2115519427E+03
   527   -->   526    0.3874972647E+04
   528   -->   527    0.2122825074E+03
   529   -->   528    0.3889764160E+04
   530   -->   529    0.2130376325E+03
   531   -->   530    0.3904530789E+04
   532   -->   531    0.2138173389E+03
   533   -->   532    0.3919272413E+04
   534   -->   533    0.2146218512E+03
   535   -->   534    0.3933988764E+04
   536   -->   535    0.2154515030E+03
   537   -->   536    0.3948679582E+04
   538   -->   537    0.2163064712E+03
   539   -->   538    0.3963344558E+04
   540   -->   539    0.2171872103E+03
   541   -->   540    0.3977983270E+04
   542   -->   541    0.2180941015E+03
   543   -->   542    0.3992595086E+04
   544   -->   543    0.2190280332E+03
   545   -->   544    0.4007179098E+04
   546   -->   545    0.2199900462E+03
   547   -->   546    0.4021734634E+04
   548   -->   547    0.2209804223E+03
   549   -->   548    0.4036260961E+04
   550   -->   549    0.2220003593E+03
   551   -->   550    0.4050757424E+04
   552   -->   551    0.2230501085E+03
   553   -->   552    0.4065224163E+04
   554   -->   553    0.2241289012E+03
   555   -->   554    0.4079660501E+04
   556   -->   555    0.2252388654E+03
   557   -->   556    0.4094064947E+04
   558   -->   557    0.2263811817E+03
   559   -->   558    0.4108437171E+04
   560   -->   559    0.2275551810E+03
   561   -->   560    0.4122777093E+04
   562   -->   561    0.2287615853E+03
   563   -->   562    0.4137083941E+04
   564   -->   563    0.2300013650E+03
   565   -->   564    0.4151357482E+04
   566   -->   565    0.2312739772E+03
   567   -->   566    0.4165597565E+04
   568   -->   567    0.2325800535E+03
   569   -->   568    0.4179802950E+04
   570   -->   569    0.2339217094E+03
   571   -->   570    0.4193972840E+04
   572   -->   571    0.2352984135E+03
   573   -->   572    0.4208106814E+04
   574   -->   573    0.2367113457E+03
   575   -->   574    0.4222203593E+04
   576   -->   575    0.2381620955E+03
   577   -->   576    0.4236262006E+04
   578   -->   577    0.2396513916E+03
   579   -->   578    0.4250281079E+04
   580   -->   579    0.2411804974E+03
   581   -->   580    0.4264260187E+04
   582   -->   581    0.2427493724E+03
   583   -->   582    0.4278198765E+04
   584   -->   583    0.2443589827E+03
   585   -->   584    0.4292095051E+04
   586   -->   585    0.2460120967E+03
   587   -->   586    0.4305947287E+04
   588   -->   587    0.2477096299E+03
   589   -->   588    0.4319754788E+04
   590   -->   589    0.2494518266E+03
   591   -->   590    0.4333516305E+04
   592   -->   591    0.2512409017E+03
   593   -->   592    0.4347229736E+04
   594   -->   593    0.2530791757E+03
   595   -->   594    0.4360894254E+04
   596   -->   595    0.2549659592E+03
   597   -->   596    0.4374510103E+04
   598   -->   597    0.2569010350E+03
   599   -->   598    0.4388076474E+04
   600   -->   599    0.2588862803E+03
   601   -->   600    0.4401591421E+04
   602   -->   601    0.2609238320E+03
   603   -->   602    0.4415053175E+04
   604   -->   603    0.2630150780E+03
   605   -->   604    0.4428459709E+04
   606   -->   605    0.2651626647E+03
   607   -->   606    0.4441808539E+04
   608   -->   607    0.2673689923E+03
   609   -->   608    0.4455096796E+04
   610   -->   609    0.2696374106E+03
   611   -->   610    0.4468321088E+04
   612   -->   611    0.2719717448E+03
   613   -->   612    0.4481479545E+04
   614   -->   613    0.2743717801E+03
   615   -->   614    0.4494570670E+04
   616   -->   615    0.2768404657E+03
   617   -->   616    0.4507592454E+04
   618   -->   617    0.2793793815E+03
   619   -->   618    0.4520545144E+04
   620   -->   619    0.2819855486E+03
   621   -->   620    0.4533425611E+04
   622   -->   621    0.2846681084E+03
   623   -->   622    0.4546227513E+04
   624   -->   623    0.2874323994E+03
   625   -->   624    0.4558950733E+04
   626   -->   625    0.2902723110E+03
   627   -->   626    0.4571596452E+04
   628   -->   627    0.2931906157E+03
   629   -->   628    0.4584160951E+04
   630   -->   629    0.2961928592E+03
   631   -->   630    0.4596641993E+04
   632   -->   631    0.2992779603E+03
   633   -->   632    0.4609038135E+04
   634   -->   633    0.3024487045E+03
   635   -->   634    0.4621342598E+04
   636   -->   635    0.3057172940E+03
   637   -->   636    0.4633550965E+04
   638   -->   637    0.3090806572E+03
   639   -->   638    0.4645661804E+04
   640   -->   639    0.3125430465E+03
   641   -->   640    0.4657668751E+04
   642   -->   641    0.3161144159E+03
   643   -->   642    0.4669566266E+04
   644   -->   643    0.3197958511E+03
   645   -->   644    0.4681351159E+04
   646   -->   645    0.3235923137E+03
   647   -->   646    0.4693020666E+04
   648   -->   647    0.3275042973E+03
   649   -->   648    0.4704571120E+04
   650   -->   649    0.3315373881E+03
   651   -->   650    0.4715992172E+04
   652   -->   651    0.3357083293E+03
   653   -->   652    0.4727274733E+04
   654   -->   653    0.3400199357E+03
   655   -->   654    0.4738417474E+04
