-et,symetrie,nrj
Doublet,Ag,0.0
Doublet,Ag,20.41838399999997
Doublet,Ag,21.939422999999813
Quartet,Ag,19.50412800000017
Quartet,Ag,20.79932399999986
Doublet,Au,11.417316000000072
Doublet,Au,11.73023100000002
Doublet,Au,12.323408999999993
Doublet,Au,13.142430000000113
Quartet,Au,9.450033000000111
Quartet,Au,10.639110000000146
Doublet,B1g,21.939422999999813
Quartet,B1g,19.50412800000017
Quartet,B1g,21.46596899999995
Doublet,B1u,10.677203999999865
Doublet,B1u,11.73023100000002
Doublet,B1u,12.323408999999993
Doublet,B1u,20.76395099999985
Quartet,B1u,8.217419999999796
Quartet,B1u,9.450033000000111
Doublet,B2g,11.332964999999978
Doublet,B2g,12.32613000000008
Doublet,B2g,12.434969999999828
Doublet,B2g,14.527419000000076
Doublet,B2g,20.18165699999985
Quartet,B2g,10.290821999999798
Doublet,B2u,0.6829709999998583
Quartet,B2u,21.41427000000017
Doublet,B3g,11.332964999999978
Doublet,B3g,12.32613000000008
Doublet,B3g,12.434969999999828
Doublet,B3g,14.527419000000076
Doublet,B3g,20.18165699999985
Quartet,B3g,10.290821999999798
Doublet,B3u,0.6829709999998583
Quartet,B3u,21.41427000000017
