-et,symetrie,nrj
Doublet,Ag,0.0
Doublet,Ag,16.29062699999983
Doublet,Ag,17.710989000000193
Doublet,Ag,18.127302000000096
Quartet,Ag,15.360044999999872
Quartet,Ag,16.535516999999842
Doublet,Au,9.56159399999995
Doublet,Au,9.822810000000114
Doublet,Au,10.486734000000114
Doublet,Au,11.210520000000168
Quartet,Au,7.556216999999887
Quartet,Au,8.807877000000063
Doublet,B1g,17.710989000000193
Doublet,B1g,18.127302000000096
Doublet,B1g,19.653783000000114
Quartet,B1g,15.360044999999872
Quartet,B1g,17.32732799999983
Doublet,B1u,8.622849000000109
Doublet,B1u,9.822810000000114
Doublet,B1u,10.486734000000114
Doublet,B1u,19.033395000000013
Quartet,B1u,6.255579000000018
Quartet,B1u,7.556216999999887
Doublet,B2g,8.79699300000009
Doublet,B2g,9.855462000000038
Doublet,B2g,10.701692999999905
Doublet,B2g,12.067635000000006
Doublet,B2g,17.77357199999995
Quartet,B2g,7.760292000000088
Doublet,B2u,0.209516999999995
Doublet,B2u,18.87013500000001
Doublet,B2u,19.776227999999925
Quartet,B2u,17.923226999999894
Quartet,B2u,19.96397699999997
Doublet,B3g,8.79699300000009
Doublet,B3g,9.855462000000038
Doublet,B3g,10.701692999999905
Doublet,B3g,12.067635000000006
Doublet,B3g,17.77357199999995
Quartet,B3g,7.760292000000088
Doublet,B3u,0.209516999999995
Doublet,B3u,18.87013500000001
Doublet,B3u,19.776227999999925
Quartet,B3u,17.923226999999894
Quartet,B3u,19.96397699999997
