-et,symetrie,nrj
Doublet,Ag,0.0
Doublet,Ag,18.304167000000167
Doublet,Ag,19.77894900000001
Quartet,Ag,17.38174800000009
Quartet,Ag,18.619803000000203
Doublet,Au,10.470407999999958
Doublet,Au,10.761554999999955
Doublet,Au,11.381943000000058
Doublet,Au,12.160148999999985
Quartet,Au,8.48407800000014
Quartet,Au,9.703086000000008
Doublet,B1g,19.77894900000001
Quartet,B1g,17.38174800000009
Quartet,B1g,19.34630999999996
Doublet,B1u,9.632339999999978
Doublet,B1u,10.761554999999955
Doublet,B1u,11.381943000000058
Doublet,B1u,19.91499899999989
Quartet,B1u,7.216092000000196
Quartet,B1u,8.48407800000014
Doublet,B2g,10.0350480000002
Doublet,B2g,11.107122000000215
Doublet,B2g,11.531598
Doublet,B2g,13.23766500000018
Doublet,B2g,18.992580000000206
Quartet,B2g,8.987463000000226
Doublet,B2u,0.432639000000055
Quartet,B2u,19.64834099999993
Doublet,B3g,10.0350480000002
Doublet,B3g,11.107122000000215
Doublet,B3g,11.531598
Doublet,B3g,13.23766500000018
Doublet,B3g,18.992580000000206
Quartet,B3g,8.987463000000226
Doublet,B3u,0.432639000000055
Quartet,B3u,19.64834099999993
