  0.735000008717E-03  0.285971313715E-01 -0.187041275203E-01
  0.141120001674E+00 -0.128002181649E+00  0.116333112121E+00
  0.141855001450E+00 -0.126337423921E+00  0.115666784346E+00
  0.142590001225E+00 -0.124679207802E+00  0.114999063313E+00
  0.143325001001E+00 -0.123027510941E+00  0.114330030978E+00
  0.144060000777E+00 -0.121382415295E+00  0.113659724593E+00
  0.144795000553E+00 -0.119743898511E+00  0.112988241017E+00
  0.145530000329E+00 -0.118112027645E+00  0.112315602601E+00
  0.146265000105E+00 -0.116486787796E+00  0.111641913652E+00
  0.146999999881E+00 -0.114868238568E+00  0.110967189074E+00
  0.147734999657E+00 -0.113256409764E+00  0.110291510820E+00
  0.148469999433E+00 -0.111651286483E+00  0.109614938498E+00
  0.149204999208E+00 -0.110052928329E+00  0.108937501907E+00
  0.149939998984E+00 -0.108461335301E+00  0.108259290457E+00
  0.150674998760E+00 -0.106876552105E+00  0.107580341399E+00
  0.151409998536E+00 -0.105298571289E+00  0.106900751591E+00
  0.152144998312E+00 -0.103727459908E+00  0.106220513582E+00
  0.152879998088E+00 -0.102163188159E+00  0.105539724231E+00
  0.153614997864E+00 -0.100605800748E+00  0.104858420789E+00
  0.154349997640E+00 -0.990553125739E-01  0.104176670313E+00
  0.155084997416E+00 -0.975117385387E-01  0.103494524956E+00
  0.155819997191E+00 -0.959751009941E-01  0.102812044322E+00
  0.156554996967E+00 -0.944454222918E-01  0.102129258215E+00
  0.157289996743E+00 -0.929226949811E-01  0.101446233690E+00
  0.158024996519E+00 -0.914069637656E-01  0.100763037801E+00
  0.158759996295E+00 -0.898982286453E-01  0.100079692900E+00
  0.159494996071E+00 -0.883964970708E-01  0.993962511420E-01
  0.160229995847E+00 -0.869017988443E-01  0.987127944827E-01
  0.160964995623E+00 -0.854141339660E-01  0.980293527246E-01
  0.161699995399E+00 -0.839335322380E-01  0.973459556699E-01
  0.162434995174E+00 -0.824599787593E-01  0.966626927257E-01
  0.163169994950E+00 -0.809935033321E-01  0.959795787930E-01
  0.163904994726E+00 -0.795341357589E-01  0.952966883779E-01
  0.164639994502E+00 -0.780818238854E-01  0.946140512824E-01
  0.165375009179E+00 -0.766366496682E-01  0.939317122102E-01
  0.166110008955E+00 -0.751985684037E-01  0.932497158647E-01
  0.166845008731E+00 -0.737676173449E-01  0.925681293011E-01
  0.167580008507E+00 -0.723437890410E-01  0.918869748712E-01
  0.168315008283E+00 -0.709271058440E-01  0.912063196301E-01
  0.169050008059E+00 -0.695175677538E-01  0.905261784792E-01
  0.169785007834E+00 -0.681151822209E-01  0.898466259241E-01
  0.170520007610E+00 -0.667199343443E-01  0.891676694155E-01
  0.171255007386E+00 -0.653318464756E-01  0.884893834591E-01
  0.171990007162E+00 -0.639509335160E-01  0.878117904067E-01
  0.172725006938E+00 -0.625771805644E-01  0.871349424124E-01
  0.173460006714E+00 -0.612106025219E-01  0.864588692784E-01
  0.174195006490E+00 -0.598511882126E-01  0.857836306095E-01
  0.174930006266E+00 -0.584989599884E-01  0.851092413068E-01
  0.175665006042E+00 -0.571539066732E-01  0.844357535243E-01
  0.176400005817E+00 -0.558160319924E-01  0.837632045150E-01
  0.177135005593E+00 -0.544853433967E-01  0.830916464329E-01
  0.177870005369E+00 -0.531618185341E-01  0.824211016297E-01
  0.178605005145E+00 -0.518454946578E-01  0.817515775561E-01
  0.179340004921E+00 -0.505363233387E-01  0.810831636190E-01
  0.180075004697E+00 -0.492343492806E-01  0.804158672690E-01
  0.180810004473E+00 -0.479395464063E-01  0.797497257590E-01
  0.181545004249E+00 -0.466519184411E-01  0.790847837925E-01
  0.182280004025E+00 -0.453714653850E-01  0.784210488200E-01
  0.183015003800E+00 -0.440981760621E-01  0.777585878968E-01
  0.183750003576E+00 -0.428320579231E-01  0.770974233747E-01
  0.184485003352E+00 -0.415730960667E-01  0.764375701547E-01
  0.185220003128E+00 -0.403212904930E-01  0.757790729403E-01
  0.185955002904E+00 -0.390766449273E-01  0.751219615340E-01
  0.186690002680E+00 -0.378391481936E-01  0.744662731886E-01
  0.187425002456E+00 -0.366088040173E-01  0.738120302558E-01
  0.188160002232E+00 -0.353855863214E-01  0.731592550874E-01
  0.188895002007E+00 -0.341695025563E-01  0.725079998374E-01
  0.189630001783E+00 -0.329605489969E-01  0.718582719564E-01
  0.190365001559E+00 -0.317587070167E-01  0.712100937963E-01
  0.191100001335E+00 -0.305639803410E-01  0.705635175109E-01
  0.191835001111E+00 -0.293763615191E-01  0.699185431004E-01
  0.192570000887E+00 -0.281958337873E-01  0.692752078176E-01
  0.193305000663E+00 -0.270224008709E-01  0.686335489154E-01
  0.194040000439E+00 -0.258560497314E-01  0.679935738444E-01
  0.194775000215E+00 -0.246967710555E-01  0.673553124070E-01
  0.195509999990E+00 -0.235445555300E-01  0.667187944055E-01
  0.196244999766E+00 -0.223993957043E-01  0.660840421915E-01
  0.196979999542E+00 -0.212612785399E-01  0.654510632157E-01
  0.197714999318E+00 -0.201301984489E-01  0.648198947310E-01
  0.198449999094E+00 -0.190061423928E-01  0.641905590892E-01
  0.199184998870E+00 -0.178891029209E-01  0.635630711913E-01
  0.199919998646E+00 -0.167790669948E-01  0.629374533892E-01
  0.200654998422E+00 -0.156760271639E-01  0.623137205839E-01
  0.201389998198E+00 -0.145799713209E-01  0.616919100285E-01
  0.202124997973E+00 -0.134908836335E-01  0.610720217228E-01
  0.202859997749E+00 -0.124087594450E-01  0.604540742934E-01
  0.203594997525E+00 -0.113335838541E-01  0.598381012678E-01
  0.204329997301E+00 -0.102653456852E-01  0.592241063714E-01
  0.205064997077E+00 -0.920403189957E-02  0.586121194065E-01
  0.205799996853E+00 -0.814963225275E-02  0.580021366477E-01
  0.206534996629E+00 -0.710213230923E-02  0.573941953480E-01
  0.207269996405E+00 -0.606152135879E-02  0.567883066833E-01
  0.208004996181E+00 -0.502778403461E-02  0.561844669282E-01
  0.208739995956E+00 -0.400091009215E-02  0.555827207863E-01
  0.209474995732E+00 -0.298088602722E-02  0.549830533564E-01
  0.210209995508E+00 -0.196769740433E-02  0.543854944408E-01
  0.210944995284E+00 -0.961331359576E-03  0.537900552154E-01
  0.211679995060E+00  0.382245634682E-04  0.531967468560E-01
  0.212414994836E+00  0.103098526597E-02  0.526055879891E-01
  0.213150009513E+00  0.201696390286E-02  0.520165823400E-01
  0.213885009289E+00  0.299617438577E-02  0.514297373593E-01
  0.214620009065E+00  0.396863184869E-02  0.508450753987E-01
  0.215355008841E+00  0.493434863165E-02  0.502625927329E-01
  0.216090008616E+00  0.589334033430E-02  0.496823154390E-01
  0.216825008392E+00  0.684562092647E-02  0.491042472422E-01
  0.217560008168E+00  0.779120344669E-02  0.485283955932E-01
  0.218295007944E+00  0.873010512441E-02  0.479547679424E-01
  0.219030007720E+00  0.966233760118E-02  0.473833717406E-01
  0.219765007496E+00  0.105879167095E-01  0.468142144382E-01
  0.220500007272E+00  0.115068592131E-01  0.462473072112E-01
  0.221235007048E+00  0.124191790819E-01  0.456826612353E-01
  0.221970006824E+00  0.133248884231E-01  0.451202765107E-01
  0.222705006599E+00  0.142240040004E-01  0.445601530373E-01
  0.223440006375E+00  0.151165397838E-01  0.440023168921E-01
  0.224175006151E+00  0.160025134683E-01  0.434467494488E-01
  0.224910005927E+00  0.168819390237E-01  0.428934805095E-01
  0.225645005703E+00  0.177548304200E-01  0.423424914479E-01
  0.226380005479E+00  0.186212025583E-01  0.417938046157E-01
  0.227115005255E+00  0.194810703397E-01  0.412474125624E-01
  0.227850005031E+00  0.203344505280E-01  0.407033190131E-01
  0.228585004807E+00  0.211813617498E-01  0.401615388691E-01
  0.229320004582E+00  0.220218151808E-01  0.396220646799E-01
  0.230055004358E+00  0.228558238596E-01  0.390849001706E-01
  0.230790004134E+00  0.236834045500E-01  0.385500565171E-01
  0.231525003910E+00  0.245045721531E-01  0.380175262690E-01
  0.232260003686E+00  0.253193471581E-01  0.374873131514E-01
  0.232995003462E+00  0.261277407408E-01  0.369594208896E-01
  0.233730003238E+00  0.269297659397E-01  0.364338457584E-01
  0.234465003014E+00  0.277254432440E-01  0.359105952084E-01
  0.235200002789E+00  0.285147856921E-01  0.353896617889E-01
  0.235935002565E+00  0.292978063226E-01  0.348710529506E-01
  0.236670002341E+00  0.300745237619E-01  0.343547686934E-01
  0.237405002117E+00  0.308449491858E-01  0.338408015668E-01
  0.238140001893E+00  0.316091030836E-01  0.333291552961E-01
  0.238875001669E+00  0.323669910431E-01  0.328198373318E-01
  0.239610001445E+00  0.331186391413E-01  0.323128290474E-01
  0.240345001221E+00  0.338640585542E-01  0.318081453443E-01
  0.241080000997E+00  0.346032679081E-01  0.313057713211E-01
  0.241815000772E+00  0.353362746537E-01  0.308057107031E-01
  0.242550000548E+00  0.360630936921E-01  0.303079672158E-01
  0.243285000324E+00  0.367837473750E-01  0.298125296831E-01
  0.244020000100E+00  0.374982506037E-01  0.293194036931E-01
  0.244754999876E+00  0.382066108286E-01  0.288285743445E-01
  0.245489999652E+00  0.389088504016E-01  0.283400472254E-01
  0.246224999428E+00  0.396049730480E-01  0.278538204730E-01
  0.246959999204E+00  0.402950085700E-01  0.273698903620E-01
  0.247694998980E+00  0.409789532423E-01  0.268882438540E-01
  0.248429998755E+00  0.416568368673E-01  0.264088883996E-01
  0.249164998531E+00  0.423286780715E-01  0.259318146855E-01
  0.249899998307E+00  0.429944768548E-01  0.254570171237E-01
  0.250634998083E+00  0.436542443931E-01  0.249844975770E-01
  0.251370012760E+00  0.443080142140E-01  0.245142430067E-01
  0.252105027437E+00  0.449557900429E-01  0.240462552756E-01
  0.252840012312E+00  0.455975830555E-01  0.235805287957E-01
  0.253575026989E+00  0.462334118783E-01  0.231170523912E-01
  0.254310011864E+00  0.468632876873E-01  0.226558260620E-01
  0.255045026541E+00  0.474872291088E-01  0.221968460828E-01
  0.255780011415E+00  0.481052435935E-01  0.217401012778E-01
  0.256515026093E+00  0.487173572183E-01  0.212855953723E-01
  0.257250010967E+00  0.493235662580E-01  0.208333116025E-01
  0.257985025644E+00  0.499239005148E-01  0.203832462430E-01
  0.258720010519E+00  0.505183637142E-01  0.199353974313E-01
  0.259455025196E+00  0.511069744825E-01  0.194897577167E-01
  0.260190010071E+00  0.516897439957E-01  0.190463233739E-01
  0.260925024748E+00  0.522666797042E-01  0.186050850898E-01
  0.261660009623E+00  0.528378114104E-01  0.181660316885E-01
  0.262395024300E+00  0.534031353891E-01  0.177291613072E-01
  0.263130009174E+00  0.539626702666E-01  0.172944739461E-01
  0.263865023851E+00  0.545164346695E-01  0.168619472533E-01
  0.264600008726E+00  0.550644397736E-01  0.164315886796E-01
  0.265335023403E+00  0.556066930294E-01  0.160033833236E-01
  0.266070008278E+00  0.561432093382E-01  0.155773274601E-01
  0.266805022955E+00  0.566740110517E-01  0.151534145698E-01
  0.267540007830E+00  0.571990907192E-01  0.147316362709E-01
  0.268275022507E+00  0.577184855938E-01  0.143119860440E-01
  0.269010007381E+00  0.582321844995E-01  0.138944536448E-01
  0.269745022058E+00  0.587402209640E-01  0.134790381417E-01
  0.270480006933E+00  0.592425987124E-01  0.130657237023E-01
  0.271215021610E+00  0.597393214703E-01  0.126545103267E-01
  0.271950006485E+00  0.602304115891E-01  0.122453877702E-01
  0.272685021162E+00  0.607158839703E-01  0.118383467197E-01
  0.273420006037E+00  0.611957460642E-01  0.114333853126E-01
  0.274155020714E+00  0.616700015962E-01  0.110304914415E-01
  0.274890005589E+00  0.621386766434E-01  0.106296576560E-01
  0.275625020266E+00  0.626017749310E-01  0.102308783680E-01
  0.276360005140E+00  0.630593150854E-01  0.983414612710E-02
  0.277095019817E+00  0.635112971067E-01  0.943945161998E-02
  0.277830004692E+00  0.639577582479E-01  0.904678832740E-02
  0.278565019369E+00  0.643986836076E-01  0.865614879876E-02
  0.279300004244E+00  0.648340880871E-01  0.826752651483E-02
  0.280035018921E+00  0.652639940381E-01  0.788091309369E-02
  0.280770003796E+00  0.656883940101E-01  0.749629968777E-02
  0.281505018473E+00  0.661073252559E-01  0.711368164048E-02
  0.282240003347E+00  0.665207952261E-01  0.673305010423E-02
  0.282975018024E+00  0.669287964702E-01  0.635439669713E-02
  0.283710032701E+00  0.673313438892E-01  0.597771676257E-02
  0.284445017576E+00  0.677284598351E-01  0.560300098732E-02
  0.285180032253E+00  0.681201592088E-01  0.523024192080E-02
  0.285915017128E+00  0.685064494610E-01  0.485943397507E-02
  0.286650031805E+00  0.688873231411E-01  0.449056830257E-02
  0.287385016680E+00  0.692628100514E-01  0.412363791838E-02
  0.288120031357E+00  0.696329250932E-01  0.375863816589E-02
  0.288855016232E+00  0.699976608157E-01  0.339555880055E-02
  0.289590030909E+00  0.703570321202E-01  0.303439423442E-02
  0.290325015783E+00  0.707110613585E-01  0.267513818108E-02
  0.291060030460E+00  0.710597559810E-01  0.231778295711E-02
  0.291795015335E+00  0.714031308889E-01  0.196232344024E-02
  0.292530030012E+00  0.717411786318E-01  0.160874985158E-02
  0.293265014887E+00  0.720739290118E-01  0.125705834944E-02
  0.294000029564E+00  0.724013745785E-01  0.907242007088E-03
  0.294735014439E+00  0.727235376835E-01  0.559292617254E-03
  0.295470029116E+00  0.730404332280E-01  0.213205901673E-03
  0.296205013990E+00  0.733520612121E-01 -0.131025168230E-03
  0.296940028667E+00  0.736584514380E-01 -0.473406835226E-03
  0.297675013542E+00  0.739595815539E-01 -0.813945662230E-03
  0.298410028219E+00  0.742554888129E-01 -0.115264602937E-02
  0.299145013094E+00  0.745461806655E-01 -0.148951506708E-02
  0.299880027771E+00  0.748316496611E-01 -0.182455813047E-02
  0.300615012646E+00  0.751119330525E-01 -0.215778127313E-02
  0.301350027323E+00  0.753870159388E-01 -0.248918938451E-02
  0.302085012197E+00  0.756569206715E-01 -0.281879003160E-02
  0.302820026875E+00  0.759216621518E-01 -0.314658507705E-02
  0.303555011749E+00  0.761812329292E-01 -0.347258266993E-02
  0.304290026426E+00  0.764356553555E-01 -0.379678490572E-02
  0.305025011301E+00  0.766849592328E-01 -0.411920063198E-02
  0.305760025978E+00  0.769291222095E-01 -0.443983310834E-02
  0.306495010853E+00  0.771681666374E-01 -0.475868443027E-02
  0.307230025530E+00  0.774020999670E-01 -0.507576251402E-02
  0.307965010405E+00  0.776309520006E-01 -0.539107108489E-02
  0.308700025082E+00  0.778547152877E-01 -0.570461479947E-02
  0.309435009956E+00  0.780733823776E-01 -0.601639598608E-02
  0.310170024633E+00  0.782870128751E-01 -0.632642162964E-02
  0.310905009508E+00  0.784955844283E-01 -0.663469359279E-02
  0.311640024185E+00  0.786991119385E-01 -0.694121466950E-02
  0.312375009060E+00  0.788975879550E-01 -0.724599091336E-02
  0.313110023737E+00  0.790910497308E-01 -0.754902744666E-02
  0.313845008612E+00  0.792795121670E-01 -0.785032473505E-02
  0.314580023289E+00  0.794629603624E-01 -0.814988557249E-02
  0.315315008163E+00  0.796414315701E-01 -0.844771508127E-02
  0.316050022840E+00  0.798149183393E-01 -0.874381791800E-02
  0.316785007715E+00  0.799834281206E-01 -0.903819128871E-02
  0.317520022392E+00  0.801469832659E-01 -0.933084264398E-02
  0.318255007267E+00  0.803055986762E-01 -0.962177198380E-02
  0.318990021944E+00  0.804592594504E-01 -0.991098582745E-02
  0.319725006819E+00  0.806080102921E-01 -0.101984813809E-01
  0.320460021496E+00  0.807518512011E-01 -0.104842642322E-01
  0.321195006371E+00  0.808907747269E-01 -0.107683343813E-01
  0.321930021048E+00  0.810248181224E-01 -0.110506983474E-01
  0.322665005922E+00  0.811539888382E-01 -0.113313496113E-01
