       N2_  0.127663260707E+05  0.700335000000E+01
   177   -->   176    0.7015411883E+03
   178   -->   177    0.7053798514E+03
   179   -->   178    0.7092148936E+03
   180   -->   179    0.7130398155E+03
   181   -->   180    0.7168623093E+03
   182   -->   181    0.7206738618E+03
   183   -->   182    0.7244845028E+03
   184   -->   183    0.7282830022E+03
   185   -->   184    0.7320825008E+03
   186   -->   185    0.7358681598E+03
   187   -->   186    0.7396572687E+03
   188   -->   187    0.7434302243E+03
   189   -->   188    0.7472097375E+03
   190   -->   189    0.7509700011E+03
   191   -->   190    0.7547408009E+03
   192   -->   191    0.7584881987E+03
   193   -->   192    0.7622512409E+03
   194   -->   193    0.7659853836E+03
   195   -->   194    0.7697418056E+03
   196   -->   195    0.7734620857E+03
   197   -->   196    0.7772131759E+03
   198   -->   197    0.7809186605E+03
   199   -->   198    0.7846660234E+03
   200   -->   199    0.7883554100E+03
   201   -->   200    0.7921010091E+03
   202   -->   201    0.7957725035E+03
   203   -->   202    0.7995187768E+03
   204   -->   203    0.8031700381E+03
   205   -->   204    0.8069200375E+03
   206   -->   205    0.8105479129E+03
   207   -->   206    0.8143054701E+03
   208   -->   207    0.8179059242E+03
   209   -->   208    0.8216759730E+03
   210   -->   209    0.8252438076E+03
   211   -->   210    0.8290326517E+03
   212   -->   211    0.8325612513E+03
   213   -->   212    0.8363768432E+03
   214   -->   213    0.8398576279E+03
   215   -->   214    0.8437100359E+03
   216   -->   215    0.8471320677E+03
   217   -->   216    0.8510340334E+03
   218   -->   217    0.8543835179E+03
   219   -->   218    0.8583511651E+03
   220   -->   219    0.8616103934E+03
   221   -->   220    0.8656639977E+03
   222   -->   221    0.8688105896E+03
   223   -->   222    0.8729755270E+03
   224   -->   223    0.8759812763E+03
   225   -->   224    0.8802894252E+03
   226   -->   225    0.8831187358E+03
   227   -->   226    0.8876099710E+03
   228   -->   227    0.8902182135E+03
   229   -->   228    0.8949424898E+03
   230   -->   229    0.8972739237E+03
   231   -->   230    0.9022934242E+03
   232   -->   231    0.9042786020E+03
   233   -->   232    0.9096705834E+03
   234   -->   233    0.9112232127E+03
   235   -->   234    0.9170835989E+03
   236   -->   235    0.9180966702E+03
   237   -->   236    0.9245440958E+03
   238   -->   237    0.9248855239E+03
   239   -->   238    0.9320662684E+03
   240   -->   239    0.9315734417E+03
   241   -->   240    0.9396672832E+03
   242   -->   241    0.9381406265E+03
   243   -->   242    0.9473680031E+03
   244   -->   243    0.9445634363E+03
   245   -->   244    0.9551936053E+03
   246   -->   245    0.9508135246E+03
   247   -->   246    0.9631742057E+03
   248   -->   247    0.9568569687E+03
   249   -->   248    0.9713455746E+03
   250   -->   249    0.9626534211E+03
   251   -->   250    0.9797502414E+03
   252   -->   251    0.9681552841E+03
   253   -->   252    0.9884383751E+03
   254   -->   253    0.9733065496E+03
   255   -->   254    0.9974687617E+03
   256   -->   255    0.9780417472E+03
   257   -->   256    0.1006910000E+04
   258   -->   257    0.9822851350E+03
   259   -->   258    0.1016841712E+04
   260   -->   259    0.9859497404E+03
   261   -->   260    0.1027355466E+04
   262   -->   261    0.9889364760E+03
   263   -->   262    0.1038555599E+04
   264   -->   263    0.9911337104E+03
   265   -->   264    0.1050559851E+04
   266   -->   265    0.9924171667E+03
   267   -->   266    0.1063499441E+04
   268   -->   267    0.9926503609E+03
   269   -->   268    0.1077518442E+04
   270   -->   269    0.9916858064E+03
   271   -->   270    0.1092772412E+04
   272   -->   271    0.9893674022E+03
   273   -->   272    0.1109425848E+04
   274   -->   273    0.9855340077E+03
   275   -->   274    0.1127648295E+04
   276   -->   275    0.9800247537E+03
   277   -->   276    0.1147608838E+04
   278   -->   277    0.9726861416E+03
   279   -->   278    0.1169468853E+04
   280   -->   279    0.9633811280E+03
   281   -->   280    0.1193372791E+04
   282   -->   281    0.9519998184E+03
   283   -->   282    0.1219437351E+04
   284   -->   283    0.9384712680E+03
   285   -->   284    0.1247739387E+04
   286   -->   285    0.9227753939E+03
   287   -->   286    0.1278303690E+04
   288   -->   287    0.9049537224E+03
   289   -->   288    0.1311092131E+04
   290   -->   289    0.8851171986E+03
   291   -->   290    0.1345995754E+04
   292   -->   291    0.8634491075E+03
   293   -->   292    0.1382831562E+04
   294   -->   293    0.8402018064E+03
   295   -->   294    0.1421345807E+04
   296   -->   295    0.8156869114E+03
   297   -->   296    0.1461224090E+04
   298   -->   297    0.7902587889E+03
   299   -->   298    0.1502107795E+04
   300   -->   299    0.7642934460E+03
   301   -->   300    0.1543615318E+04
   302   -->   301    0.7381658487E+03
   303   -->   302    0.1585365036E+04
   304   -->   303    0.7122282752E+03
   305   -->   304    0.1626997145E+04
   306   -->   305    0.6867928145E+03
   307   -->   306    0.1668191662E+04
   308   -->   307    0.6621190838E+03
   309   -->   308    0.1708680730E+04
   310   -->   309    0.6384082998E+03
   311   -->   310    0.1748254775E+04
   312   -->   311    0.6158031980E+03
   313   -->   312    0.1786762774E+04
   314   -->   313    0.5943924984E+03
   315   -->   314    0.1824108036E+04
   316   -->   315    0.5742182927E+03
   317   -->   316    0.1860240898E+04
   318   -->   317    0.5552849923E+03
   319   -->   318    0.1895150070E+04
   320   -->   319    0.5375683195E+03
   321   -->   320    0.1928853789E+04
   322   -->   321    0.5210233544E+03
   323   -->   322    0.1961391729E+04
   324   -->   323    0.5055914768E+03
   325   -->   324    0.1992818013E+04
   326   -->   325    0.4912061423E+03
   327   -->   326    0.2023195569E+04
   328   -->   327    0.4777970239E+03
   329   -->   328    0.2052591826E+04
   330   -->   329    0.4652930283E+03
   331   -->   330    0.2081075498E+04
   332   -->   331    0.4536246556E+03
   333   -->   332    0.2108714271E+04
   334   -->   333    0.4427254468E+03
   335   -->   334    0.2135573289E+04
   336   -->   335    0.4325327424E+03
   337   -->   336    0.2161714201E+04
   338   -->   337    0.4229882559E+03
   339   -->   338    0.2187194583E+04
   340   -->   339    0.4140383049E+03
   341   -->   340    0.2212067685E+04
   342   -->   341    0.4056337603E+03
   343   -->   342    0.2236382443E+04
   344   -->   343    0.3977298098E+03
   345   -->   344    0.2260183616E+04
   346   -->   345    0.3902857576E+03
   347   -->   346    0.2283512034E+04
   348   -->   347    0.3832646271E+03
   349   -->   348    0.2306404910E+04
   350   -->   349    0.3766328058E+03
   351   -->   350    0.2328896134E+04
   352   -->   351    0.3703597727E+03
   353   -->   352    0.2351016538E+04
   354   -->   353    0.3644178423E+03
   355   -->   354    0.2372794140E+04
   356   -->   355    0.3587819236E+03
   357   -->   356    0.2394254378E+04
   358   -->   357    0.3534292842E+03
   359   -->   358    0.2415420361E+04
   360   -->   359    0.3483392912E+03
   361   -->   360    0.2436313086E+04
   362   -->   361    0.3434932381E+03
   363   -->   362    0.2456951602E+04
   364   -->   363    0.3388742007E+03
   365   -->   364    0.2477353196E+04
   366   -->   365    0.3344668471E+03
   367   -->   366    0.2497533580E+04
   368   -->   367    0.3302572252E+03
   369   -->   368    0.2517507035E+04
   370   -->   369    0.3262327001E+03
