  #energies calculated with respect to the asymptotic limit  -0.295277469696E+04   in eV
  0.140000000000E+01  0.221391815342E+02
  0.140737732148E+01  0.213286307540E+02
  0.141475464296E+01  0.205197704376E+02
  0.142213196443E+01  0.197142910487E+02
  0.142950928591E+01  0.189138830514E+02
  0.143688660739E+01  0.181202369092E+02
  0.144426392887E+01  0.173350430861E+02
  0.145164125035E+01  0.165599920459E+02
  0.145901857183E+01  0.157967742523E+02
  0.146639589330E+01  0.150470801692E+02
  0.147377321478E+01  0.143126002604E+02
  0.148115053626E+01  0.135950249897E+02
  0.148852785774E+01  0.128960448209E+02
  0.149590517922E+01  0.122173502179E+02
  0.150328250070E+01  0.115605932876E+02
  0.151065982217E+01  0.109262659196E+02
  0.151803714365E+01  0.103135204238E+02
  0.152541446513E+01  0.972143464806E+01
  0.153279178661E+01  0.914908644054E+01
  0.154016910809E+01  0.859555364922E+01
  0.154754642957E+01  0.805991412212E+01
  0.155492375104E+01  0.754124570726E+01
  0.156230107252E+01  0.703862625266E+01
  0.156967839400E+01  0.655113360634E+01
  0.157705571548E+01  0.607784561634E+01
  0.158443303696E+01  0.561784013066E+01
  0.159181035844E+01  0.517019499733E+01
  0.159918767991E+01  0.473398806438E+01
  0.160656500139E+01  0.430839471583E+01
  0.161394232287E+01  0.389313444831E+01
  0.162131964435E+01  0.348811536538E+01
  0.162869696583E+01  0.309324575540E+01
  0.163607428731E+01  0.270843390669E+01
  0.164345160878E+01  0.233358810760E+01
  0.165082893026E+01  0.196861664648E+01
  0.165820625174E+01  0.161342781166E+01
  0.166558357322E+01  0.126792989148E+01
  0.167296089470E+01  0.932031174293E+00
  0.168033821618E+01  0.605639948427E+00
  0.168771553765E+01  0.288664502227E+00
  0.169509285913E+01 -0.189868759659E-01
  0.170247018061E+01 -0.317406708972E+00
  0.170984750209E+01 -0.606735667705E+00
  0.171722482357E+01 -0.887188754199E+00
  0.172460214505E+01 -0.115898732981E+01
  0.173197946652E+01 -0.142235275590E+01
  0.173935678800E+01 -0.167750639382E+01
  0.174673410948E+01 -0.192466960493E+01
  0.175411143096E+01 -0.216406375059E+01
  0.176148875244E+01 -0.239591019215E+01
  0.176886607391E+01 -0.262043029097E+01
  0.177624339539E+01 -0.283784540842E+01
  0.178362071687E+01 -0.304837690584E+01
  0.179099803835E+01 -0.325224614459E+01
  0.179837535983E+01 -0.344967448603E+01
  0.180575268131E+01 -0.364087524657E+01
  0.181313000278E+01 -0.382599826748E+01
  0.182050732426E+01 -0.400516328826E+01
  0.182788464574E+01 -0.417848986719E+01
  0.183526196722E+01 -0.434609756256E+01
  0.184263928870E+01 -0.450810593266E+01
  0.185001661018E+01 -0.466463453578E+01
  0.185739393165E+01 -0.481580293020E+01
  0.186477125313E+01 -0.496173067422E+01
  0.187214857461E+01 -0.510253732612E+01
  0.187952589609E+01 -0.523834244418E+01
  0.188690321757E+01 -0.536926558670E+01
  0.189428053905E+01 -0.549542631197E+01
  0.190165786052E+01 -0.561694414158E+01
  0.190903518200E+01 -0.573393280535E+01
  0.191641250348E+01 -0.584649397173E+01
  0.192378982496E+01 -0.595472780279E+01
  0.193116714644E+01 -0.605873446061E+01
  0.193854446792E+01 -0.615861410724E+01
  0.194592178939E+01 -0.625446690477E+01
  0.195329911087E+01 -0.634639301525E+01
  0.196067643235E+01 -0.643449260076E+01
  0.196805375383E+01 -0.651886582337E+01
  0.197543107531E+01 -0.659961284514E+01
  0.198280839679E+01 -0.667683382814E+01
  0.199018571826E+01 -0.675062893445E+01
  0.199756303974E+01 -0.682109832612E+01
  0.200494036122E+01 -0.688834057881E+01
  0.201231768270E+01 -0.695243602524E+01
  0.201969500418E+01 -0.701345332255E+01
  0.202707232566E+01 -0.707146093747E+01
  0.203444964713E+01 -0.712652733670E+01
  0.204182696861E+01 -0.717872098696E+01
  0.204920429009E+01 -0.722811035498E+01
  0.205658161157E+01 -0.727476390747E+01
  0.206395893305E+01 -0.731875011115E+01
  0.207133625453E+01 -0.736013743274E+01
  0.207871357600E+01 -0.739899433895E+01
  0.208609089748E+01 -0.743538929650E+01
  0.209346821896E+01 -0.746939077212E+01
  0.210084554044E+01 -0.750106723021E+01
  0.210822286192E+01 -0.753048502460E+01
  0.211560018339E+01 -0.755770449958E+01
  0.212297750487E+01 -0.758278493694E+01
  0.213035482635E+01 -0.760578561847E+01
  0.213773214783E+01 -0.762676582597E+01
  0.214510946931E+01 -0.764578484122E+01
  0.215248679079E+01 -0.766290194603E+01
  0.215986411226E+01 -0.767817642217E+01
  0.216724143374E+01 -0.769166755145E+01
  0.217461875522E+01 -0.770343461566E+01
  0.218199607670E+01 -0.771353689659E+01
  0.218937339818E+01 -0.772203367603E+01
  0.219675071966E+01 -0.772898423578E+01
  0.220412804113E+01 -0.773444686983E+01
  0.221150536261E+01 -0.773846243684E+01
  0.221888268409E+01 -0.774105687143E+01
  0.222626000557E+01 -0.774225562649E+01
  0.223363732705E+01 -0.774208415490E+01
  0.224101464853E+01 -0.774056790953E+01
  0.224839197000E+01 -0.773773234328E+01
  0.225576929148E+01 -0.773360290902E+01
  0.226314661296E+01 -0.772820505963E+01
  0.227052393444E+01 -0.772156424800E+01
  0.227790125592E+01 -0.771370592702E+01
  0.228527857740E+01 -0.770465554955E+01
  0.229265589887E+01 -0.769443856849E+01
  0.230003322035E+01 -0.768308043672E+01
  0.230741054183E+01 -0.767060842660E+01
  0.231478786331E+01 -0.765705699080E+01
  0.232216518479E+01 -0.764246235299E+01
  0.232954250627E+01 -0.762686073684E+01
